match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
22909,10100,Thamara Ferreira,,Vedha Toscano,L,0,Pts: 2x0,NoGi Worlds,69KG,4F,2019
23023,10100,Thamara Ferreira,10153,Gabrieli Pessanha,L,0,RNC,Queen Of Mats,95KG,RR,2020
23026,10100,Thamara Ferreira,7000,Nathiely Jesus,L,0,Choke,Queen Of Mats,95KG,SF,2020
23343,10100,Thamara Ferreira,10153,Gabrieli Pessanha,L,0,Adv,France Nat. Pro,95KG,F,2020
23602,10100,Thamara Ferreira,,Sabatha Lais,L,0,Choke from back,South American Pro,70KG,F,2020
24409,10100,Thamara Ferreira,1119,Beatriz Mesquita,L,0,Pts: 4x0,BJJ Stars 4,69KG,SPF,2020
24801,10100,Thamara Ferreira,,Julia Boscher,L,0,Pts: 2x1,Grand Slam RJ,70KG,F,2020
25098,10100,Thamara Ferreira,1119,Beatriz Mesquita,L,0,Pts: 2x0,BJJ Stars 5,N/A,SPF,2021
25994,10100,Thamara Ferreira,,Izadora Cristina,L,0,Pts: 7x4,The New Star,70KG,SF,2021
29638,10100,Thamara Ferreira,,Andresa Cintra,L,0,"Pts: 2x2, Adv",World Champ.,69KG,F,2021
33093,10100,Thamara Ferreira,12845,Thalyta Silva,L,0,Pts: 2x0,World Champ.,69KG,SF,2022
34690,10100,Thamara Ferreira,,Izadora Cristina,L,0,Pts: 2x2,Grand Slam MIA,70KG,SF,2022
38503,10100,Thamara Ferreira,11762,Elisabeth Clay,L,0,Referee Decision,Pan American,69KG,SF,2023
40434,10100,Thamara Ferreira,,Andressa Cintra,L,0,"Pts: 4x4, Adv",World Champ.,69KG,SF,2023
41191,10100,Thamara Ferreira,,Melissa Cueto,L,0,"Pts: 2x2, Adv",American Nats,ABS,F,2023
41249,10100,Thamara Ferreira,11762,Elisabeth Clay,L,0,Inside heel hook,American NNG,ABS,F,2023
42977,10100,Thamara Ferreira,,Izadora Cristina,L,0,Pts: 3x0,ADGS Miami,70KG,SF,2023
42979,10100,Thamara Ferreira,,Gio Carneiro,L,0,Armbar,ADGS Miami,70KG,RPC,2023
20849,10100,Thamara Ferreira,,Claudia Do Val,W,1,Referee Decision,F2W 114,N/A,SPF,2019
