match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21067,10159,Victor Hugo,7478,Adam Wardzinski,L,0,Pts: 2x0,ACB World Champ.,ABS,SF,2019
21251,10159,Victor Hugo,8532,Gerard Labinski,L,0,Pts: 2x0,Grand Slam TYO,120KG,F,2019
21482,10159,Victor Hugo,224,Roberto Abreu,L,0,"Pts: 0x0, Adv",IBJJF GP,ABS,4F,2019
21703,10159,Victor Hugo,1534,R. Evangelista,L,0,Pts: 8x4,Grand Slam LA,120KG,SF,2019
21824,10159,Victor Hugo,984,Marcus Almeida,L,0,Pts: 3x0,ADCC,O99KG,4F,2019
22021,10159,Victor Hugo,7507,Nicholas Meregali,L,0,Pts: 6x2,BJJ Stars,ABS,4F,2019
22352,10159,Victor Hugo,4430,Patrick Gaudio,L,0,Pts: 2x0,Grand Slam RJ,120KG,SF,2019
22907,10159,Victor Hugo,224,Roberto Abreu,L,0,"Pts: 0x0, Adv",NoGi Worlds,O97KG,SF,2019
24408,10159,Victor Hugo,11693,Erich Munis,L,0,Pts: 6x4,BJJ Stars 4,ABS,SPF,2020
25583,10159,Victor Hugo,8974,Kaynan Duarte,L,0,Referee Decision,3CG 6 Absolute,ABS,F,2021
28196,10159,Victor Hugo,11991,Pedro Marinho,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,4F,2021
28337,10159,Victor Hugo,224,Roberto Abreu,L,0,Pts: 4x0,NoGi Worlds,O97KG,F,2021
29437,10159,Victor Hugo,7507,Nicholas Meregali,L,0,"Pts: 2x2, Adv",World Champ.,ABS,4F,2021
29591,10159,Victor Hugo,7507,Nicholas Meregali,L,0,"Pts: 0x0, Adv",World Champ.,O100KG,SF,2021
33039,10159,Victor Hugo,8357,Gustavo Batista,L,0,Referee Decision,World Champ.,ABS,4F,2022
35072,10159,Victor Hugo,6550,Gordon Ryan,L,0,Pts: 8x0,ADCC,O99KG,4F,2022
35104,10159,Victor Hugo,224,Roberto Abreu,L,0,Pts: 2x0,ADCC,ABS,4F,2022
36773,10159,Victor Hugo,224,Roberto Abreu,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,SF,2022
36903,10159,Victor Hugo,224,Roberto Abreu,L,0,Pts: 2x0,NoGi Worlds,O97KG,F,2022
38980,10159,Victor Hugo,11693,Erich Munis,L,0,"Pts: 0x0, Adv",BJJ Stars,ABS,SF,2023
42380,10159,Victor Hugo,7507,Nicholas Meregali,L,0,Pts: 2x0,IBJJF GP,ABS,F,2023
20794,10159,Victor Hugo,,S. Varhavskiyy,W,1,Armbar,Grand Slam MSK,120KG,4F,2019
20795,10159,Victor Hugo,1534,R. Evangelista,W,1,Pts: 2x0,Grand Slam MSK,120KG,SF,2019
20796,10159,Victor Hugo,8762,Rodrigo Ribeiro,W,1,"Pts: 0x0, Adv",Grand Slam MSK,120KG,F,2019
21060,10159,Victor Hugo,,Dimitri Vostrikov,W,1,Bow and arrow,ACB World Champ.,O95KG,4F,2019
21062,10159,Victor Hugo,1534,R. Evangelista,W,1,Referee Decision,ACB World Champ.,O95KG,F,2019
21064,10159,Victor Hugo,2235,Renato Cardoso,W,1,"Pts: 2x2, Adv",ACB World Champ.,ABS,4F,2019
21249,10159,Victor Hugo,,Daewong Lee,W,1,Kimura,Grand Slam TYO,120KG,SF,2019
21448,10159,Victor Hugo,,Josh Guerra,W,1,N/A,Las Vegas Open,O100KG,SF,2019
21450,10159,Victor Hugo,6592,Dany Gerard,W,1,Clock choke,Las Vegas Open,O100KG,F,2019
21702,10159,Victor Hugo,7537,Felipe Bezerra,W,1,Pts: 4x0,Grand Slam LA,120KG,4F,2019
21817,10159,Victor Hugo,5861,Jared Dopp,W,1,Pts: 4x0,ADCC,O99KG,R1,2019
22348,10159,Victor Hugo,,Joao Paulo,W,1,Triangle,Grand Slam RJ,120KG,R1,2019
22350,10159,Victor Hugo,11572,Waldyr Filho,W,1,Pts: 7x0,Grand Slam RJ,120KG,4F,2019
22354,10159,Victor Hugo,,Raul Almeida,W,1,Submission,Grand Slam RJ,120KG,RPC,2019
22357,10159,Victor Hugo,,Gilmar Oliveira,W,1,Submission,Grand Slam RJ,120KG,3RD,2019
22694,10159,Victor Hugo,7704,Helton Jose,W,1,Arm in guillotine,F2W 132,109KG,SPF,2019
22810,10159,Victor Hugo,5636,Manuel Ribamar,W,1,"Pts: 0x0, Adv",NoGi Worlds,ABS,R1,2019
