match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21002,10162,Ronaldo Junior,,Kyle Chambers,L,0,EBI/OT,Subversiv 2,83KG,SPF,2019
21508,10162,Ronaldo Junior,8974,Kaynan Duarte,L,0,Pts: 2x0,Marianas Open,ABS,SPF,2019
21685,10162,Ronaldo Junior,5636,Manuel Ribamar,L,0,"Pts: 0x0, Adv",Grand Slam LA,85KG,R1,2019
22480,10162,Ronaldo Junior,9250,Gabriel Almeida,L,0,Pts: 2x0,SJJIF Worlds,88KG,F,2019
22885,10162,Ronaldo Junior,9573,Marcos Martins,L,0,Points,NoGi Worlds,85KG,R1,2019
23030,10162,Ronaldo Junior,10240,Jake Watson,L,0,Referee Decision,F2W 135,85KG,SPF,2020
23116,10162,Ronaldo Junior,8105,Tommy Langaker,L,0,Triangle,European Open,82KG,SF,2020
23854,10162,Ronaldo Junior,8394,Vagner Rocha,L,0,Referee Decision,WNO,86KG,SPF,2020
23882,10162,Ronaldo Junior,4163,Marcio Andre,L,0,Referee Decision,F2W 150,86KG,SPF,2020
24044,10162,Ronaldo Junior,10199,Guthierry Barbosa,L,0,Pts: 1x0,Grand Slam MIA,85KG,F,2020
25175,10162,Ronaldo Junior,8346,Craig Jones,L,0,Inside heel hook,WNO 6,88KG,SPF,2021
26675,10162,Ronaldo Junior,10509,Mathias Luna,L,0,"Pts: 2x2, Pen",American Nats,82KG,F,2021
27599,10162,Ronaldo Junior,11697,Tainan Dalpra,L,0,Injury,Pan American,82KG,SF,2021
29529,10162,Ronaldo Junior,11697,Tainan Dalpra,L,0,Pts: 8x4,World Champ.,82KG,4F,2021
31679,10162,Ronaldo Junior,11697,Tainan Dalpra,L,0,Pts: 2x0,Pan American,82KG,SF,2022
32949,10162,Ronaldo Junior,11697,Tainan Dalpra,L,0,Pts: 10x0,World Champ.,82KG,SF,2022
35871,10162,Ronaldo Junior,5636,Manuel Ribamar,L,0,"Pts: 0x0, Adv",IBJJF GP,88KG,SF,2022
38441,10162,Ronaldo Junior,12506,Jansen Gomes,L,0,Referee Decision,Pan American,88KG,SF,2023
41146,10162,Ronaldo Junior,7399,Horlando Monteiro,L,0,Armbar,American Nats,88KG,SF,2023
20962,10162,Ronaldo Junior,9637,Sergio Rios,W,1,Referee Decision,F2W 117,88KG,SPF,2019
21134,10162,Ronaldo Junior,,Jeffrey Preston,W,1,Choke from back,Fresno Open,82KG,SF,2019
21135,10162,Ronaldo Junior,,Victor Araujo,W,1,Armbar,Fresno Open,82KG,F,2019
21142,10162,Ronaldo Junior,9150,Cole Franson,W,1,Armbar,Fresno Open,ABS,4F,2019
21143,10162,Ronaldo Junior,11465,Kauan Barboza,W,1,Choke from back,Fresno Open,ABS,SF,2019
21145,10162,Ronaldo Junior,9117,Hygor Brito,W,1,Pts: 2x0,Fresno Open,ABS,F,2019
21502,10162,Ronaldo Junior,9606,Inseong Jang,W,1,Submission,Marianas Open,85KG,SF,2019
21504,10162,Ronaldo Junior,,J. Souza,W,1,Submission,Marianas Open,85KG,F,2019
21759,10162,Ronaldo Junior,10658,Matheus Luna,W,1,Referee Decision,F2W 126,84KG,SPF,2019
22396,10162,Ronaldo Junior,,Vinicius Wong,W,1,Bow and arrow,Long Beach Open,82KG,SF,2019
22398,10162,Ronaldo Junior,7143,Breno Bittencourt,W,1,Injury,Long Beach Open,82KG,F,2019
22409,10162,Ronaldo Junior,,Gabriel Araujo,W,1,Estima lock,Long Beach Open,ABS,4F,2019
22411,10162,Ronaldo Junior,7399,Horlando Monteiro,W,1,Armbar,Long Beach Open,ABS,SF,2019
22477,10162,Ronaldo Junior,10509,Mathias Luna,W,1,Pen,SJJIF Worlds,88KG,4F,2019
22479,10162,Ronaldo Junior,,Carlos Souza,W,1,Pts: 7x0,SJJIF Worlds,88KG,SF,2019
22484,10162,Ronaldo Junior,,Carlos Souza,W,1,Pts: 2x0,SJJIF Worlds,ABS,SF,2019
22486,10162,Ronaldo Junior,2107,Otavio Sousa,W,1,Pts: 2x0,SJJIF Worlds,ABS,F,2019
23107,10162,Ronaldo Junior,631,Rodrigo Caporal,W,1,Armbar,European Open,82KG,R1,2020
23113,10162,Ronaldo Junior,,Lucas Valle,W,1,Pts: 4x2,European Open,82KG,4F,2020
23489,10162,Ronaldo Junior,9253,Michael Trasso,W,1,Triangle,San Jose Open,82KG,4F,2020
23491,10162,Ronaldo Junior,,Hector Beltran,W,1,Points,San Jose Open,82KG,SF,2020
23492,10162,Ronaldo Junior,,Daniel Speirn,W,1,Pts: 7x4,San Jose Open,82KG,F,2020
23965,10162,Ronaldo Junior,,Alexander Scott,W,1,Choke from back,Austin Open,82KG,SF,2020
23967,10162,Ronaldo Junior,12566,Rodrigo Tatu,W,1,Choke from back,Austin Open,82KG,F,2020
23973,10162,Ronaldo Junior,,Matheus Rocha,W,1,Choke from back,Austin Open,ABS,4F,2020
23974,10162,Ronaldo Junior,12566,Rodrigo Tatu,W,1,Triangle,Austin Open,ABS,SF,2020
23976,10162,Ronaldo Junior,10085,Johnatha Alves,W,1,Pts: 10x8,Austin Open,ABS,F,2020
24034,10162,Ronaldo Junior,,Vinicius Wong,W,1,Triangle,Grand Slam MIA,85KG,R1,2020
24039,10162,Ronaldo Junior,,Kevin Cuervo,W,1,Triangle,Grand Slam MIA,85KG,4F,2020
24042,10162,Ronaldo Junior,,Felipe Silva,W,1,Pts: 4x3,Grand Slam MIA,85KG,SF,2020
24176,10162,Ronaldo Junior,,Dylan Whyte,W,1,Choke from back,Pan American,82KG,8F,2020
24180,10162,Ronaldo Junior,4542,Felipe Cesar,W,1,"Pts: 0x0, Adv",Pan American,82KG,4F,2020
24182,10162,Ronaldo Junior,8516,Lucas Valente,W,1,Pts: 15x2,Pan American,82KG,SF,2020
24184,10162,Ronaldo Junior,11208,Jackson Nagai,W,1,Pts: 6x2,Pan American,82KG,F,2020
24291,10162,Ronaldo Junior,,Diego Herzog,W,1,Pts: 7x2,Foley Open,ABS,4F,2020
24295,10162,Ronaldo Junior,,Alexander Lane,W,1,Pts: 6x4,Foley Open,ABS,SF,2020
24398,10162,Ronaldo Junior,11027,Pedro Rocha,W,1,Pts: 22x2,Houston Open,88KG,F,2020
24403,10162,Ronaldo Junior,,Cameron Graves,W,1,Choke from back,Houston Open,ABS,SF,2020
24431,10162,Ronaldo Junior,,Matheus Oliveira,W,1,Armbar,Atlanta Open,88KG,F,2020
24434,10162,Ronaldo Junior,12372,Francisco Cuneo,W,1,Triangle,Atlanta Open,ABS,4F,2020
24438,10162,Ronaldo Junior,,Gilvan Costa,W,1,Armbar,Atlanta Open,ABS,SF,2020
24470,10162,Ronaldo Junior,9845,Chad Hardy,W,1,Pts: 5x0,No Gi Pan Am.,79KG,R1,2020
24480,10162,Ronaldo Junior,10506,Jeferson Guaresi,W,1,Pts: 4x2,No Gi Pan Am.,79KG,8F,2020
24482,10162,Ronaldo Junior,,Stephen Simms,W,1,"Pts: 0x0, Adv",No Gi Pan Am.,79KG,4F,2020
24486,10162,Ronaldo Junior,10220,Paulo Gabriel,W,1,Pts: 2x0,No Gi Pan Am.,79KG,SF,2020
24570,10162,Ronaldo Junior,,Enrique March,W,1,Pts: 14x2,American Nats,82KG,4F,2020
24572,10162,Ronaldo Junior,11646,Andre Gois,W,1,Armbar,American Nats,82KG,SF,2020
24574,10162,Ronaldo Junior,,Lucas Valle,W,1,Pts: 6x0,American Nats,82KG,F,2020
26584,10162,Ronaldo Junior,,Antonio Zuazo,W,1,Choke from back,Boise Open,ABS,SF,2021
26586,10162,Ronaldo Junior,12203,Austin Baker,W,1,Pts: 2x0,Boise Open,ABS,F,2021
26592,10162,Ronaldo Junior,,Joshua Bacallao,W,1,Pts: 12x2,Boise NGO,ABS,SF,2021
26593,10162,Ronaldo Junior,,Antonio Zuazo,W,1,Pts: 16x0,Boise NGO,ABS,F,2021
