match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21104,10174,Rafael Paganini,9573,Marcos Martins,L,0,Pts: 4x2,BH Winter Open,88KG,F,2019
21305,10174,Rafael Paganini,12243,Leon Brito,L,0,Points,Vitoria Open,ABS,SF,2019
21352,10174,Rafael Paganini,8514,Fellipe Andrew,L,0,Injury,Floripa WO,ABS,SF,2019
22112,10174,Rafael Paganini,9554,Henrique Cardoso,L,0,Points,Curitiba SPO,88KG,F,2019
22329,10174,Rafael Paganini,7652,C. Negromonte,L,0,Arm in Ezekiel,Grand Slam RJ,85KG,SF,2019
22612,10174,Rafael Paganini,6432,Yan Lucas,L,0,Referee Decision,South American,ABS,F,2019
22890,10174,Rafael Paganini,9250,Gabriel Almeida,L,0,Pts: 2x0,NoGi Worlds,85KG,SF,2019
23128,10174,Rafael Paganini,5636,Manuel Ribamar,L,0,Pts: 12x0,European Open,88KG,4F,2020
24350,10174,Rafael Paganini,9554,Henrique Cardoso,L,0,Pts: 5x0,Copa Podio,86KG,RR,2020
24742,10174,Rafael Paganini,9573,Marcos Martins,L,0,Pts: 4x2,Grand Slam RJ,85KG,4F,2020
24845,10174,Rafael Paganini,11709,Wallace Costa,L,0,"Pts: 2x2, Pen",Mundial CBJJE,ABS,4F,2020
25166,10174,Rafael Paganini,5756,Wellington Luis,L,0,Pts: 4x2,Big Deal Pro 2,85KG,SPF,2021
25918,10174,Rafael Paganini,9554,Henrique Cardoso,L,0,Pts: 4x2,S. American NG,91KG,4F,2021
25942,10174,Rafael Paganini,,Antonio Assef,L,0,Referee Decision,S. American NG,ABS,4F,2021
26428,10174,Rafael Paganini,410,Claudio Calasans,L,0,Pts: 4x2,SA Cont. Pro,85KG,R2,2021
27076,10174,Rafael Paganini,1188,Leandro Lo,L,0,Pts: 10x0,BJJ Bet,88KG,4F,2021
28069,10174,Rafael Paganini,9573,Marcos Martins,L,0,"Pts: 0x0, Adv",Brasileiro,88KG,4F,2021
28546,10174,Rafael Paganini,9573,Marcos Martins,L,0,Referee Decision,Grand Slam RJ,85KG,R1,2021
30059,10174,Rafael Paganini,10501,Valdir Araujo,L,0,Referee Decision,ADCC BR1 Trials,88KG,R2,2022
30362,10174,Rafael Paganini,9793,Alexandre Jesus,L,0,Referee Decision,ADCC BR2 Trials,88KG,F,2022
31030,10174,Rafael Paganini,5756,Wellington Luis,L,0,Pts: 4x2,Curitiba Open,88KG,SF,2022
31689,10174,Rafael Paganini,5636,Manuel Ribamar,L,0,Armbar,Pan American,88KG,4F,2022
32131,10174,Rafael Paganini,10130,Marcus Ribeiro,L,0,"Pts: 0x0, Adv",Brasileiro,ABS,4F,2022
32185,10174,Rafael Paganini,7047,Matheus Spirandeli,L,0,Triangle,Brasileiro,88KG,F,2022
32965,10174,Rafael Paganini,11384,Andre Porfirio,L,0,"Pts: 6x6, Adv",World Champ.,88KG,8F,2022
33592,10174,Rafael Paganini,,Vitor Peres,L,0,Pts: 10x2,Betim Open,88KG,F,2022
33613,10174,Rafael Paganini,10817,Gabriel Henrique,L,0,"Pts: 0x0, Adv",Betim Open,ABS,SF,2022
33628,10174,Rafael Paganini,,Erick Diovano,L,0,Pts: 7x2,Betim NGO,91KG,SF,2022
33639,10174,Rafael Paganini,,Leonardo Andrade,L,0,Referee Decision,Betim NGO,ABS,F,2022
34028,10174,Rafael Paganini,12506,Jansen Gomes,L,0,Pts: 5x0,Grand Slam RJ,85KG,F,2022
