match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
20941,10199,Guthierry Barbosa,4460,Jaime Canuto,L,0,Pts: 2x0,American Nats,88KG,4F,2019
20957,10199,Guthierry Barbosa,8514,Fellipe Andrew,L,0,Submission,American Nats,ABS,SF,2019
21281,10199,Guthierry Barbosa,9361,Guilherme Cordiviola,L,0,"Pts: 0x0, Adv",Chicago SMNGO,ABS,F,2019
21687,10199,Guthierry Barbosa,10509,Mathias Luna,L,0,Referee Decision,Grand Slam LA,85KG,4F,2019
21691,10199,Guthierry Barbosa,8996,Mauricio Oliveira,L,0,Pts: 7x0,Grand Slam LA,85KG,RPC,2019
23098,10199,Guthierry Barbosa,2035,Vitor Oliveira,L,0,Choke,European Open,76KG,4F,2020
24183,10199,Guthierry Barbosa,11208,Jackson Nagai,L,0,Choke from back,Pan American,82KG,SF,2020
24347,10199,Guthierry Barbosa,11746,Alex Munis,L,0,Pts: 2x0,Copa Podio,86KG,RR,2020
26051,10199,Guthierry Barbosa,12243,Leon Brito,L,0,Triangle,Copa Podio,98KG,RR,2021
26055,10199,Guthierry Barbosa,1895,Rodrigo Fajardo,L,0,Pts: 2x0,Copa Podio,98KG,RR,2021
28061,10199,Guthierry Barbosa,,Wallisson Oliveira,L,0,Pts: 4x2,Brasileiro,82KG,SF,2021
28530,10199,Guthierry Barbosa,11872,Luiz Paulo,L,0,Pts: 5x0,Grand Slam RJ,77KG,4F,2021
29526,10199,Guthierry Barbosa,10162,Ronaldo Junior,L,0,Pts: 7x2,World Champ.,82KG,8F,2021
31590,10199,Guthierry Barbosa,11991,Pedro Marinho,L,0,Choke from back,Pan American,ABS,R2,2022
31685,10199,Guthierry Barbosa,12215,Sebastian Rodriguez,L,0,Armlock,Pan American,88KG,R1,2022
32061,10199,Guthierry Barbosa,4521,Erberth Santos,L,0,Kneebar,Warrior Challenger,ABS,R1,2022
32463,10199,Guthierry Barbosa,7478,Adam Wardzinski,L,0,Submission,SD Open,ABS,F,2022
32478,10199,Guthierry Barbosa,,Vinicius Wong,L,0,Heel hook,SD NGO,85KG,SF,2022
33412,10199,Guthierry Barbosa,10103,Jonnatas Gracie,L,0,Referee Decision,American Nat.,88KG,SF,2022
34621,10199,Guthierry Barbosa,,Fausto Godoy,L,0,Pts: 2x2,Grand Slam MIA,85KG,R1,2022
35554,10199,Guthierry Barbosa,12566,Rodrigo Tatu,L,0,Katagatame,NoGi Pan,85KG,8F,2022
37731,10199,Guthierry Barbosa,10162,Ronaldo Junior,L,0,Triangle,Memphis Open,88KG,F,2023
20935,10199,Guthierry Barbosa,,Scott Thomez,W,1,Pts: 8x0,American Nats,82KG,R1,2019
20937,10199,Guthierry Barbosa,,Chad Shaule,W,1,Omoplata,American Nats,82KG,4F,2019
20939,10199,Guthierry Barbosa,8081,Nathan Mendelsohn,W,1,Pts: 2x0,American Nats,82KG,SF,2019
20953,10199,Guthierry Barbosa,,Orlando Castillo,W,1,N/A,American Nats,ABS,4F,2019
21271,10199,Guthierry Barbosa,,Joshua McKinney,W,1,Points,Chicago SMO,88KG,SF,2019
21272,10199,Guthierry Barbosa,,Stanley Rosa,W,1,Points,Chicago SMO,88KG,F,2019
21275,10199,Guthierry Barbosa,9361,Guilherme Cordiviola,W,1,Referee Decision,Chicago SMO,ABS,4F,2019
21276,10199,Guthierry Barbosa,,Ashur Darmo,W,1,Armbar,Chicago SMO,ABS,SF,2019
21277,10199,Guthierry Barbosa,,Lucas Valle,W,1,Pts: 10x4,Chicago SMO,ABS,F,2019
21279,10199,Guthierry Barbosa,,Stanley Rosa,W,1,Pts: 14x0,Chicago SMNGO,79KG,F,2019
21280,10199,Guthierry Barbosa,11093,Emilio Hernandez,W,1,RNC,Chicago SMNGO,ABS,4F,2019
21435,10199,Guthierry Barbosa,,Lucas Wilhan,W,1,Submission,Las Vegas Open,82KG,4F,2019
21437,10199,Guthierry Barbosa,,Scott Jutras,W,1,Submission,Las Vegas Open,82KG,SF,2019
21439,10199,Guthierry Barbosa,4460,Jaime Canuto,W,1,Points,Las Vegas Open,82KG,F,2019
21454,10199,Guthierry Barbosa,,Lucas Wilhan,W,1,Points,Las Vegas Open,ABS,R1,2019
21457,10199,Guthierry Barbosa,,Alvaro Oliveira,W,1,Points,Las Vegas Open,ABS,4F,2019
21459,10199,Guthierry Barbosa,,Tyrone Gonsalves,W,1,Submission,Las Vegas Open,ABS,SF,2019
21460,10199,Guthierry Barbosa,6592,Dany Gerard,W,1,Pts: 2x0,Las Vegas Open,ABS,F,2019
21763,10199,Guthierry Barbosa,4163,Marcio Andre,W,1,Referee Decision,F2W 126,76KG,SPF,2019
21938,10199,Guthierry Barbosa,,Cristian Junious,W,1,Armbar,Phoenix Open,82KG,SF,2019
21939,10199,Guthierry Barbosa,10835,Eduardo Avelar,W,1,Armbar,Phoenix Open,82KG,F,2019
23097,10199,Guthierry Barbosa,,Shinsuke Moribe,W,1,"Pts: 2x2, Adv",European Open,76KG,R1,2020
23715,10199,Guthierry Barbosa,,C. Caramajo,W,1,Pts: 2x0,Copa Podio,76KG,RR,2020
23716,10199,Guthierry Barbosa,11465,Kauan Barboza,W,1,Choke from back,Copa Podio,76KG,RR,2020
23718,10199,Guthierry Barbosa,,A. Munis,W,1,Pts: 2x0,Copa Podio,76KG,RR,2020
23720,10199,Guthierry Barbosa,10352,Leo Silva,W,1,Pts: 2x0,Copa Podio,76KG,SF,2020
23721,10199,Guthierry Barbosa,,A. Munis,W,1,Pts: 2x0,Copa Podio,76KG,F,2020
24040,10199,Guthierry Barbosa,,Carlos Souza,W,1,Choke from back,Grand Slam MIA,85KG,4F,2020
24043,10199,Guthierry Barbosa,11646,Andre Gois,W,1,Pts: 2x1,Grand Slam MIA,85KG,SF,2020
24044,10199,Guthierry Barbosa,10162,Ronaldo Junior,W,1,Pts: 1x0,Grand Slam MIA,85KG,F,2020
24177,10199,Guthierry Barbosa,,Juan Cleber,W,1,Choke from back,Pan American,82KG,8F,2020
24181,10199,Guthierry Barbosa,7636,Vinicius Garcia,W,1,Choke from back,Pan American,82KG,4F,2020
24336,10199,Guthierry Barbosa,,Henrique Moicano,W,1,Pts: 2x0,Copa Podio,86KG,RR,2020
24344,10199,Guthierry Barbosa,,Diogo Dino,W,1,Kneebar,Copa Podio,86KG,RR,2020
24352,10199,Guthierry Barbosa,,Topi Alencar,D,0.5,---,Copa Podio,86KG,RR,2020
24356,10199,Guthierry Barbosa,9554,Henrique Cardoso,W,1,Pts: 4x0,Copa Podio,86KG,SF,2020
24357,10199,Guthierry Barbosa,11746,Alex Munis,W,1,Pts: 2x0,Copa Podio,86KG,F,2020
26043,10199,Guthierry Barbosa,7537,Felipe Bezerra,W,1,Pts: 2x0,Copa Podio,98KG,RR,2021
26048,10199,Guthierry Barbosa,,Neo Barbosa,D,0.5,---,Copa Podio,98KG,RR,2021
27399,10199,Guthierry Barbosa,,Vinicius Wolff,W,1,Choke from back,Sul Americano,82KG,8F,2021
27401,10199,Guthierry Barbosa,,Matheus Batista,W,1,Choke from back,Sul Americano,82KG,4F,2021
27405,10199,Guthierry Barbosa,,Wallison Souza,W,1,"Pts: 0x0, Adv",Sul Americano,82KG,SF,2021
27406,10199,Guthierry Barbosa,,Andre Ygor,W,1,Pts: 2x0,Sul Americano,82KG,F,2021
28054,10199,Guthierry Barbosa,708,Daniel Azevedo,W,1,Baseball choke,Brasileiro,82KG,R1,2021
28391,10199,Guthierry Barbosa,12348,Lucas Protasio,D,0.5,---,Copa Podio,76KG,RR,2021
28395,10199,Guthierry Barbosa,,Rafael Japa,W,1,Bow and arrow,Copa Podio,76KG,RR,2021
28396,10199,Guthierry Barbosa,,M. Sheenan,W,1,Baseball choke,Copa Podio,76KG,RR,2021
28398,10199,Guthierry Barbosa,9956,Vinicius Pereira,W,1,Choke from back,Copa Podio,76KG,RR,2021
28410,10199,Guthierry Barbosa,,Felipe Santos,W,1,Pts: 2x0,Copa Podio,76KG,SF,2021
28413,10199,Guthierry Barbosa,,Luciano Bernert,W,1,"Pts: 0x0, Adv",Copa Podio,76KG,F,2021
28511,10199,Guthierry Barbosa,,Everton Freitas,W,1,Pts: 3x0,Grand Slam RJ,77KG,R1,2021
28523,10199,Guthierry Barbosa,,Alisson Souza,W,1,RNC,Grand Slam RJ,77KG,8F,2021
29518,10199,Guthierry Barbosa,11658,Lucas Gualberto,W,1,Pts: 2x0,World Champ.,82KG,R1,2021
32448,10199,Guthierry Barbosa,,Raymond Mugica,W,1,Choke from back,SD Open,88KG,SF,2022
32449,10199,Guthierry Barbosa,11960,Joao Cizeski,W,1,Choke from back,SD Open,88KG,F,2022
32460,10199,Guthierry Barbosa,10509,Mathias Luna,W,1,Points,SD Open,ABS,4F,2022
32462,10199,Guthierry Barbosa,7664,Johnny Tama,W,1,Pts: 3x2,SD Open,ABS,SF,2022
34529,10199,Guthierry Barbosa,,Alef Silva,W,1,Points,Chicago SMO,88KG,SF,2022
34531,10199,Guthierry Barbosa,,Nathan Santos,W,1,Pts: 3x2,Chicago SMO,88KG,F,2022
