match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
20785,10216,Natan Chueng,7831,Diego Ramalho,L,0,Pts: 2x0,Grand Slam MSK,77KG,SF,2019
20788,10216,Natan Chueng,,Rodrigo Gortari,L,0,Referee Decision,Grand Slam MSK,77KG,RR,2019
20894,10216,Natan Chueng,,Sean Mcdonagh,L,0,Points,British NGN,79KG,F,2019
21676,10216,Natan Chueng,7831,Diego Ramalho,L,0,Pts: 2x0,Grand Slam LA,77KG,4F,2019
21782,10216,Natan Chueng,4115,Fabio Caloi,L,0,"Pts: 0x0, Adv",Brasileiro NoGi,73KG,4F,2019
22564,10216,Natan Chueng,9465,Endres Barbosa,L,0,Toe hold,South American,76KG,R1,2019
22858,10216,Natan Chueng,7664,Johnny Tama,L,0,Pts: 4x2,NoGi Worlds,73KG,4F,2019
22983,10216,Natan Chueng,8105,Tommy Langaker,L,0,Triangle,Grand Slam AD,77KG,4F,2020
23095,10216,Natan Chueng,11132,Leon Larman,L,0,"Pts: 6x6, Adv",European Open,76KG,R1,2020
23634,10216,Natan Chueng,8308,Max Lindblad,L,0,Pts: 3x2,Grand Slam LDN,77KG,F,2020
24709,10216,Natan Chueng,11658,Lucas Gualberto,L,0,Pts: 1x0,Grand Slam RJ,77KG,8F,2020
24884,10216,Natan Chueng,,Brenno Veloso,L,0,Botinha,South American,ABS,8F,2020
24917,10216,Natan Chueng,11534,Raul Basilio,L,0,"Pts: 0x0, Adv",South American,76KG,4F,2020
25316,10216,Natan Chueng,9793,Alexandre Jesus,L,0,Pts: 4x0,Rio Open,82KG,SF,2021
25378,10216,Natan Chueng,9121,Ygor Rodrigues,L,0,Pts: 2x0,Rio Open NG,79KG,SF,2021
26399,10216,Natan Chueng,12287,Pedro Maia,L,0,Pts: 1x1,SA Cont. Pro,77KG,R2,2021
26762,10216,Natan Chueng,11658,Lucas Gualberto,L,0,Referee Decision,BJJ Stars,82KG,SPF,2021
28049,10216,Natan Chueng,9002,Matheus Gabriel,L,0,Armbar,Brasileiro,76KG,SF,2021
28534,10216,Natan Chueng,12122,Mica Galvao,L,0,Choke from back,Grand Slam RJ,77KG,SF,2021
30256,10216,Natan Chueng,,Marco Aurelio,L,0,"Pts: 0x0, Pen",ADCC BR2 Trials,77KG,R2,2022
31075,10216,Natan Chueng,8105,Tommy Langaker,L,0,Pts: 1x0,King of Mats,85KG,RR,2022
31080,10216,Natan Chueng,12671,Uanderson Ferreira,L,0,Pts: 2x1,King of Mats,85KG,SF,2022
31113,10216,Natan Chueng,13245,Ademir Barreto,L,0,Pts: 3x2,Grand Slam LDN,77KG,SF,2022
31117,10216,Natan Chueng,12652,Marcelo Fausto,L,0,Pts: 4x2,Grand Slam LDN,77KG,RPC,2022
31659,10216,Natan Chueng,10085,Johnatha Alves,L,0,Choke from back,Pan American,76KG,SF,2022
32156,10216,Natan Chueng,,Luiz Santos,L,0,Points,Brasileiro,76KG,4F,2022
32913,10216,Natan Chueng,9014,Levi Jones,L,0,Pts: 2x0,World Champ.,76KG,8F,2022
33993,10216,Natan Chueng,12348,Lucas Protasio,L,0,Pts: 1x0,Grand Slam RJ,77KG,SF,2022
33998,10216,Natan Chueng,6432,Yan Lucas,L,0,Referee Decision,Grand Slam RJ,77KG,3RD,2022
35369,10216,Natan Chueng,,Luiz Santos,L,0,Pts: 2x0,Rio BJJ Pro,82KG,4F,2022
37202,10216,Natan Chueng,11878,Andy Murasaki,L,0,"Pts: 0x0, Adv",European Open,76KG,F,2023
37602,10216,Natan Chueng,11878,Andy Murasaki,L,0,Pts: 19x0,Spyder RTBB,75KG,F,2023
38400,10216,Natan Chueng,10085,Johnatha Alves,L,0,Armbar,Pan American,76KG,SF,2023
39491,10216,Natan Chueng,8516,Lucas Valente,L,0,Choke from back,Brasileiro,76KG,F,2023
42381,10216,Natan Chueng,11208,Jackson Nagai,L,0,Pts: 8x2,IBJJF GP,82KG,SPF,2023
20784,10216,Natan Chueng,,Antonio Silva,W,1,Pts: 2x0,Grand Slam MSK,77KG,4F,2019
20897,10216,Natan Chueng,,Samuel Canquerino,W,1,Choke from back,British National,76KG,SF,2019
20898,10216,Natan Chueng,,Oliver Lovell,W,1,Pts: 2x0,British National,76KG,F,2019
21038,10216,Natan Chueng,,Daud Adaev,W,1,Pts: 2x0,ACB World Champ.,75KG,4F,2019
