match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
23136,10252,Fabio Alano,3200,Jackson Sousa,L,0,RNC,European Open,94KG,4F,2020
25169,10252,Fabio Alano,11064,Rider Zuchi,L,0,RNC,Big Deal Pro 2,100KG,SPF,2021
29550,10252,Fabio Alano,5655,Lucas Barbosa,L,0,"Pts: 0x0, Adv",World Champ.,88KG,4F,2021
41155,10252,Fabio Alano,13379,Felipe Costa,L,0,Choke from back,American Nats,100KG,F,2023
21339,10252,Fabio Alano,,Andre Cassio,W,1,Armbar,Floripa WO,88KG,4F,2019
21341,10252,Fabio Alano,9573,Marcos Martins,W,1,Pts: 2x0,Floripa WO,88KG,SF,2019
22116,10252,Fabio Alano,,Felipe Rosa,W,1,Armbar,Curitiba SPO,100KG,SF,2019
22118,10252,Fabio Alano,11215,Harryson Pereira,W,1,Points,Curitiba SPO,100KG,F,2019
23134,10252,Fabio Alano,9741,Pedro Elias,W,1,Referee Decision,European Open,94KG,R1,2020
23599,10252,Fabio Alano,,Rafael Message,W,1,DQ,South American Pro,120KG,4F,2020
23600,10252,Fabio Alano,,Andre Rudolfo,W,1,Armbar,South American Pro,120KG,SF,2020
23601,10252,Fabio Alano,,H. Hennemann,W,1,Toe hold,South American Pro,120KG,F,2020
29534,10252,Fabio Alano,9250,Gabriel Almeida,W,1,DQ,World Champ.,88KG,R1,2021
29541,10252,Fabio Alano,12243,Leon Brito,W,1,Armbar,World Champ.,88KG,8F,2021
41152,10252,Fabio Alano,11215,Harryson Pereira,W,1,"Pts: 0x0, Adv",American Nats,100KG,4F,2023
41153,10252,Fabio Alano,,Paulo Lanzillotti,W,1,Pts: 4x2,American Nats,100KG,SF,2023
