match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
14564,10318,Eldar Rafigaev,7478,Adam Wardzinski,L,0,Pts: 13x6,Poznan Pro,110KG,F,2017
15470,10318,Eldar Rafigaev,,Mathias Ribeiro,L,0,N/A,Spanish Nat.,ABS,SF,2018
15575,10318,Eldar Rafigaev,7478,Adam Wardzinski,L,0,DQ,ACB European,ABS,F,2018
15918,10318,Eldar Rafigaev,8105,Tommy Langaker,L,0,Pts: 15x0,Torino Challenge,ABS,SF,2018
15926,10318,Eldar Rafigaev,8560,Gabriel Lucas,L,0,Pts: 2x0,ACB Asian Open,O95KG,F,2018
15937,10318,Eldar Rafigaev,8560,Gabriel Lucas,L,0,Pts: 2x0,Curitiba Open,O95KG,F,2018
16187,10318,Eldar Rafigaev,4521,Erberth Santos,L,0,Footlock,World Pro,110KG,4F,2018
16193,10318,Eldar Rafigaev,7543,Nelton Pontes,L,0,Pts: 10x0,World Pro,110KG,RPC,2018
16404,10318,Eldar Rafigaev,7478,Adam Wardzinski,L,0,Shoulder pressure,Paris Spring Open,ABS,F,2018
16803,10318,Eldar Rafigaev,7695,Sebastian Brosche,L,0,Points,German Nats,ABS,SF,2018
17126,10318,Eldar Rafigaev,9515,Seif Houmine,L,0,Pts: 5x0,ACBJJ NG Poland,O95KG,F,2018
17964,10318,Eldar Rafigaev,7831,Diego Ramalho,L,0,Pts: 4x2,German Nat. Pro,110KG,SF,2018
18027,10318,Eldar Rafigaev,7478,Adam Wardzinski,L,0,Pts: 21x2,Greece Nat. Pro,110KG,F,2018
18215,10318,Eldar Rafigaev,1534,R. Evangelista,L,0,"Pts: 2x2, Adv",Italy Nat. Pro,110KG,F,2018
18216,10318,Eldar Rafigaev,1534,R. Evangelista,L,0,Pts: 2x0,Italy Nat. NGP,ABS,F,2018
19007,10318,Eldar Rafigaev,,Luka Skoric,L,0,"Pts: 0x0, Adv",Slovenia Pro,110KG,SF,2019
19146,10318,Eldar Rafigaev,1534,R. Evangelista,L,0,Pts: 5x0,Netherlands Pro,110KG,F,2019
19525,10318,Eldar Rafigaev,,Lukasz Michalec,L,0,RNC,Budapest Open,100KG,F,2019
20146,10318,Eldar Rafigaev,1534,R. Evangelista,L,0,Pts: 3x0,World Pro,110KG,4F,2019
20841,10318,Eldar Rafigaev,7082,Luca Anacoreta,L,0,Bow and arrow,Italian Open,ABS,F,2019
21821,10318,Eldar Rafigaev,8974,Kaynan Duarte,L,0,RNC,ADCC,O99KG,R1,2019
22001,10318,Eldar Rafigaev,10698,Matheus Godoy,L,0,Pts: 2x0,Tel Aviv Open,100KG,F,2019
22002,10318,Eldar Rafigaev,10658,Matheus Luna,L,0,Pts: 3x0,Tel Aviv Open,ABS,SF,2019
22622,10318,Eldar Rafigaev,10176,Bruno Lima,L,0,Pts: 4x0,Madrid Open,ABS,SF,2019
23340,10318,Eldar Rafigaev,,Mauricio Lima,L,0,Pts: 3x0,France Nat. Pro,120KG,RR,2020
23342,10318,Eldar Rafigaev,,Mauricio Lima,L,0,Submission,France Nat. Pro,120KG,F,2020
23460,10318,Eldar Rafigaev,,I. Umarov,L,0,Points,UWW EU Open,100KG,F,2020
35407,10318,Eldar Rafigaev,,Euclides Castro,L,0,Pts: 3x2,NoGi GP Rome,120KG,SF,2022
42222,10318,Eldar Rafigaev,,John Hansen,L,0,Pts: 7x2,UWW World,130KG,4F,2023
42244,10318,Eldar Rafigaev,,Danielius Grebliunas,L,0,Pts: 5x3,UWW World NG,92KG,8F,2023
14083,10318,Eldar Rafigaev,,Martin Gobel,W,1,Kimura,Swedish Nats,100KG,SF,2017
14084,10318,Eldar Rafigaev,,Patryk Wysocki,W,1,Points,Swedish Nats,100KG,F,2017
14097,10318,Eldar Rafigaev,,Martin Gobel,W,1,Footlock,German NNG,O97KG,RR,2017
14098,10318,Eldar Rafigaev,,Marek Zbrog,W,1,Short choke,German NNG,O97KG,F,2017
14561,10318,Eldar Rafigaev,,Oualid Sbai,W,1,Footlock,Poznan Pro,110KG,4F,2017
14563,10318,Eldar Rafigaev,,Seba Szyszka,W,1,Footlock,Poznan Pro,110KG,SF,2017
14565,10318,Eldar Rafigaev,,Samir Krvavac,W,1,Footlock,Greece Nat. Pro,110KG,SF,2017
14566,10318,Eldar Rafigaev,,Samir Krvavac,W,1,Footlock,Greece Nat. Pro,110KG,F,2017
14567,10318,Eldar Rafigaev,,Samir Krvavac,W,1,Pts: 13x2,Greece Nat. Pro,ABS,F,2017
14570,10318,Eldar Rafigaev,,Antonio Junior,W,1,Footlock,Italy Nat Pro,110KG,F,2017
14571,10318,Eldar Rafigaev,7082,Luca Anacoreta,W,1,Footlock,Italy Nat Pro,ABS,4F,2017
14572,10318,Eldar Rafigaev,,Antonio Junior,W,1,Footlock,Italy Nat Pro,ABS,SF,2017
14573,10318,Eldar Rafigaev,,Bruno Reale,W,1,Footlock,Italy Nat Pro,ABS,F,2017
14809,10318,Eldar Rafigaev,,Estefan Joseph,W,1,Referee Decision,JJIF Worlds,94KG,R1,2018
14811,10318,Eldar Rafigaev,6301,Faisal AlKitbe,W,1,Footlock,JJIF Worlds,94KG,4F,2018
14812,10318,Eldar Rafigaev,,Julian Stonjek,W,1,Footlock,JJIF Worlds,94KG,SF,2018
14813,10318,Eldar Rafigaev,,B. Zawadzki,W,1,Footlock,JJIF Worlds,94KG,F,2018
