match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21386,10380,Edwin Junny,2997,Joao Miyao,L,0,Pts: 2x1,Kasai Pro 6,61KG,F,2019
21560,10380,Edwin Junny,10155,Malachi Edmond,L,0,Pts: 4x2,No Gi Pan Am.,61KG,4F,2019
22144,10380,Edwin Junny,6258,Rodnei Barbosa,L,0,Points,European NoGi,61KG,SF,2019
22437,10380,Edwin Junny,,Jose Albor,L,0,Points,Mexico City Open,70KG,SF,2019
22836,10380,Edwin Junny,6151,Hiago George,L,0,Armlock,NoGi Worlds,61KG,SF,2019
24383,10380,Edwin Junny,9031,Kennedy Maciel,L,0,Armbar,F2W 156,65KG,SPF,2020
25172,10380,Edwin Junny,4996,Geo Martinez,L,0,Referee Decision,WNO 6,65KG,SPF,2021
26086,10380,Edwin Junny,,Bebeto Oliveira,L,0,Pts: 4x2,NoGi Pan Am.,61KG,SF,2021
26604,10380,Edwin Junny,5447,Mikey Musumeci,L,0,Referee Decision,WNO 10,61KG,SPF,2021
28215,10380,Edwin Junny,,Bebeto Oliveira,L,0,"Pts: 0x0, Adv",NoGi Worlds,61KG,SF,2021
28808,10380,Edwin Junny,9934,Deandre Corbe,L,0,Referee Decision,ADCC EC Trials,66KG,4F,2021
31519,10380,Edwin Junny,9934,Deandre Corbe,L,0,Pts: 2x0,ADCC WC Trials,66KG,8F,2022
32493,10380,Edwin Junny,,Bebeto Oliveira,L,0,Pts: 8x4,Atlanta SPO,64KG,F,2022
32867,10380,Edwin Junny,8536,Yuta Shimada,L,0,"Pts: 4x4, Adv",World Champ.,64KG,R1,2022
36806,10380,Edwin Junny,6043,Lucas Pinheiro,L,0,Pts: 7x0,NoGi Worlds,61KG,SF,2022
37890,10380,Edwin Junny,,Leonardo Souza,L,0,Pts: 6x4,Dallas NGO,61KG,F,2023
40801,10380,Edwin Junny,,Joey Diehl,L,0,Kneebar,ADCC Dallas,60KG,R1,2023
21380,10380,Edwin Junny,4996,Geo Martinez,W,1,Pts: 2x0,Kasai Pro 6,61KG,RR,2019
21382,10380,Edwin Junny,8767,Jon Calestine,W,1,Pts: 3x2,Kasai Pro 6,61KG,RR,2019
21384,10380,Edwin Junny,,M. Imanari,W,1,Pts: 8x1,Kasai Pro 6,61KG,RR,2019
22142,10380,Edwin Junny,,Anthony Oliveira,W,1,Pts: 4x2,European NoGi,61KG,4F,2019
22442,10380,Edwin Junny,,Rene Lopez,W,1,DQ,Mexico City NGO,67KG,SF,2019
