match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21391,10506,Jeferson Guaresi,,L. Protasio,L,0,Pts: 4x2,Kasai Pro 6,70KG,SPF,2019
22011,10506,Jeferson Guaresi,10103,Jonnatas Gracie,L,0,Points,Templum FN,ABS,SPF,2019
22674,10506,Jeferson Guaresi,6805,Max Gimenis,L,0,Referee Decision,NYC Fall Open,ABS,4F,2019
22881,10506,Jeferson Guaresi,4460,Jaime Canuto,L,0,Referee Decision,NoGi Worlds,79KG,SF,2019
24385,10506,Jeferson Guaresi,11208,Jackson Nagai,L,0,Choke from back,F2W 156,83KG,SPF,2020
24480,10506,Jeferson Guaresi,10162,Ronaldo Junior,L,0,Pts: 4x2,No Gi Pan Am.,79KG,8F,2020
24523,10506,Jeferson Guaresi,8974,Kaynan Duarte,L,0,Pts: 6x0,No Gi Pan Am.,ABS,SF,2020
25421,10506,Jeferson Guaresi,11697,Tainan Dalpra,L,0,Pts: 5x0,Orlando Open,82KG,F,2021
25439,10506,Jeferson Guaresi,10658,Matheus Luna,L,0,Referee Decision,Orlando Open,ABS,4F,2021
27029,10506,Jeferson Guaresi,4460,Jaime Canuto,L,0,Referee Decision,F2W 179,83KG,SPF,2021
27610,10506,Jeferson Guaresi,5636,Manuel Ribamar,L,0,Referee Decision,Pan American,88KG,4F,2021
28722,10506,Jeferson Guaresi,7539,Renato Canuto,L,0,Referee Decision,3CG Underdogs,84KG,F,2021
29525,10506,Jeferson Guaresi,11697,Tainan Dalpra,L,0,Toe hold,World Champ.,82KG,8F,2021
31250,10506,Jeferson Guaresi,5423,Matheus Diniz,L,0,Referee Decision,Charleston Open,94KG,SF,2022
31681,10506,Jeferson Guaresi,11697,Tainan Dalpra,L,0,Pts: 3x0,Pan American,82KG,F,2022
32518,10506,Jeferson Guaresi,12680,Enderson Dias,L,0,Referee Decision,Atlanta SPO,94KG,SF,2022
32946,10506,Jeferson Guaresi,10162,Ronaldo Junior,L,0,Pts: 9x0,World Champ.,82KG,4F,2022
33819,10506,Jeferson Guaresi,8394,Vagner Rocha,L,0,Adv,Orlando SMNGO,ABS,F,2022
34424,10506,Jeferson Guaresi,6805,Max Gimenis,L,0,"Pts: 0x0, Adv",N. Haven NGO,ABS,F,2022
34996,10506,Jeferson Guaresi,13162,Jacob Couch,L,0,Triangle,ADCC Vegas,ABS,4F,2022
38305,10506,Jeferson Guaresi,8116,Dante Leon,L,0,RNC,Twisted Church,NA,SPF,2023
21584,10506,Jeferson Guaresi,,Kalil Muriel,W,1,Pts: 7x0,No Gi Pan Am.,79KG,R1,2019
21587,10506,Jeferson Guaresi,,Garreth Lavaggi,W,1,Armbar,No Gi Pan Am.,79KG,4F,2019
21591,10506,Jeferson Guaresi,7664,Johnny Tama,W,1,"Pts: 0x0, Adv",No Gi Pan Am.,79KG,F,2019
22164,10506,Jeferson Guaresi,,Jack Cronin,W,1,Triangle armbar,European NoGi,79KG,R1,2019
22165,10506,Jeferson Guaresi,,Burak Sarman,W,1,Pts: 10x0,European NoGi,79KG,4F,2019
22168,10506,Jeferson Guaresi,,Sean McDonagh,W,1,Pts: 16x0,European NoGi,79KG,SF,2019
22169,10506,Jeferson Guaresi,7831,Diego Ramalho,W,1,Pts: 8x0,European NoGi,79KG,F,2019
22616,10506,Jeferson Guaresi,,Oliver Lovell,W,1,Points,Madrid Open,76KG,SF,2019
22617,10506,Jeferson Guaresi,,Adria Pérez,W,1,Choke from back,Madrid Open,76KG,F,2019
22621,10506,Jeferson Guaresi,,Lee Renaut,W,1,N/A,Madrid Open,ABS,SF,2019
22623,10506,Jeferson Guaresi,10176,Bruno Lima,W,1,"Pts: 2x2, Adv",Madrid Open,ABS,F,2019
22867,10506,Jeferson Guaresi,,Guthiery Barbosa,W,1,North south choke,NoGi Worlds,79KG,R1,2019
