match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21815,10644,Marcelo Gomide,10174,Rafael Paganini,L,0,Arm in guillotine,Brasileiro NoGi,ABS,F,2019
22182,10644,Marcelo Gomide,9157,Devhonte Johnson,L,0,Adv,European NoGi,97KG,4F,2019
22372,10644,Marcelo Gomide,11215,Harryson Pereira,L,0,Points,South American NG,97KG,SF,2019
22825,10644,Marcelo Gomide,10159,Victor Hugo,L,0,Pts: 2x0,NoGi Worlds,ABS,SF,2019
22903,10644,Marcelo Gomide,7519,Eliot Kelly,L,0,Pts: 4x2,NoGi Worlds,97KG,SF,2019
22935,10644,Marcelo Gomide,,E. Muniz,L,0,Pts: 4x2,Copa Podio,100KG,SF,2019
23382,10644,Marcelo Gomide,11215,Harryson Pereira,L,0,Estima lock,Curitiba SO,100KG,4F,2020
24777,10644,Marcelo Gomide,11685,Anderson Munis,L,0,Pts: 2x0,Grand Slam RJ,120KG,4F,2020
24782,10644,Marcelo Gomide,11862,Pedro Alex,L,0,Ezekiel,Grand Slam RJ,120KG,RPC,2020
25327,10644,Marcelo Gomide,10698,Matheus Godoy,L,0,Pts: 4x0,Rio Open,94KG,4F,2021
25381,10644,Marcelo Gomide,,Victor Bomfim,L,0,Adv,Rio Open NG,91KG,F,2021
25924,10644,Marcelo Gomide,,Anderson Santos,L,0,"Pts: 2x2, Adv",S. American NG,97KG,4F,2021
25940,10644,Marcelo Gomide,9554,Henrique Cardoso,L,0,Omoplata,S. American NG,ABS,R2,2021
26041,10644,Marcelo Gomide,13339,Pedro Lucas,L,0,Pts: 2x0,Copa Podio,98KG,RR,2021
26045,10644,Marcelo Gomide,,Luciano Alfonso,L,0,"Pts: 2x2, Adv",Copa Podio,98KG,RR,2021
26054,10644,Marcelo Gomide,12084,G. Lambertucci,L,0,Pts: 2x0,Copa Podio,98KG,RR,2021
26057,10644,Marcelo Gomide,11862,Pedro Alex,L,0,Kneebar,Copa Podio,98KG,RR,2021
26834,10644,Marcelo Gomide,9793,Alexandre Jesus,L,0,Referee Decision,Copa Kings,87KG,SF,2021
27430,10644,Marcelo Gomide,12277,Pedro Agrizzi,L,0,Pts: 2x0,Sul Americano,100KG,F,2021
28087,10644,Marcelo Gomide,11215,Harryson Pereira,L,0,"Pts: 0x0, Adv",Brasileiro,100KG,4F,2021
29436,10644,Marcelo Gomide,8974,Kaynan Duarte,L,0,Choke from back,World Champ.,ABS,8F,2021
29580,10644,Marcelo Gomide,8514,Fellipe Andrew,L,0,Mounted X choke,World Champ.,100KG,4F,2021
30968,10644,Marcelo Gomide,12203,Austin Baker,L,0,Choke from back,LA Open,O100KG,F,2022
30991,10644,Marcelo Gomide,9250,Gabriel Almeida,L,0,Heel hook,LA NGO,ABS,F,2022
31917,10644,Marcelo Gomide,,Gabriel Lessa,L,0,Pts: 9x2,Rio Fall Open,100KG,SF,2022
32198,10644,Marcelo Gomide,8514,Fellipe Andrew,L,0,Katagatame,Brasileiro,100KG,4F,2022
33600,10644,Marcelo Gomide,9741,Pedro Elias,L,0,Pts: 2x0,Betim Open,100KG,F,2022
33633,10644,Marcelo Gomide,,Joao Rangel,L,0,"Pts: 2x2, Adv",Betim NGO,97KG,F,2022
35857,10644,Marcelo Gomide,13175,Ariel Tabak,L,0,Points,Pan Pacific,ABS,F,2022
37524,10644,Marcelo Gomide,,Igor Sousa,L,0,Pts: 4x0,Grand Slam SYD,94KG,SF,2023
38761,10644,Marcelo Gomide,9486,Murilo Amaral,L,0,Referee Decision,Sydney Open,ABS,F,2023
41624,10644,Marcelo Gomide,,Robert Dib,L,0,Points,Tough Roll,NA,SPF,2023
21802,10644,Marcelo Gomide,,N/A,W,1,Points,Brasileiro NoGi,97KG,4F,2019
21803,10644,Marcelo Gomide,,Andre Aguiar,W,1,Points,Brasileiro NoGi,97KG,SF,2019
21804,10644,Marcelo Gomide,,Breno Novaes,W,1,Short choke,Brasileiro NoGi,97KG,F,2019
21809,10644,Marcelo Gomide,4115,Fabio Caloi,W,1,Straight ankle lock,Brasileiro NoGi,ABS,R2,2019
