match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21103,10669,Lucas Alves,9573,Marcos Martins,L,0,Pts: 2x0,BH Winter Open,88KG,SF,2019
21350,10669,Lucas Alves,8514,Fellipe Andrew,L,0,Triangle,Floripa WO,ABS,4F,2019
21752,10669,Lucas Alves,9573,Marcos Martins,L,0,Pts: 2x0,Sao Paulo NGO,85KG,F,2019
21801,10669,Lucas Alves,7579,Romulo Azevedo,L,0,Pts: 2x0,Brasileiro NoGi,91KG,F,2019
22132,10669,Lucas Alves,10986,Jakub Zajkowski,L,0,Points,Rome Fall Open,88KG,SF,2019
22371,10669,Lucas Alves,,Gabriel Lima,L,0,Pts: 7x6,South American NG,79KG,F,2019
22377,10669,Lucas Alves,7537,Felipe Bezerra,L,0,"Pts: 0x0, Adv",South American NG,ABS,4F,2019
22574,10669,Lucas Alves,9793,Alexandre Jesus,L,0,Armbar,South American,82KG,R1,2019
22709,10669,Lucas Alves,,William Martins,L,0,Botinha,Salvador SPO,88KG,SF,2019
22712,10669,Lucas Alves,,Felipe Pimentel,L,0,Pts: 2x0,Salvador SPO,ABS,4F,2019
22883,10669,Lucas Alves,10509,Mathias Luna,L,0,RNC,NoGi Worlds,85KG,R1,2019
25117,10669,Lucas Alves,11534,Raul Basilio,L,0,Pts: 3x2,Brazil Nat. Pro,77KG,SF,2021
25299,10669,Lucas Alves,,Luiz Santos,L,0,N/A,Rio Open,76KG,R1,2021
25375,10669,Lucas Alves,,Sergio Lopes,L,0,Pts: 2x0,Rio Open NG,79KG,4F,2021
25386,10669,Lucas Alves,12084,G. Lambertucci,L,0,Inside heel hook,Rio Open NG,ABS,R1,2021
25907,10669,Lucas Alves,9121,Ygor Rodrigues,L,0,Pts: 2x0,S. American NG,79KG,F,2021
31878,10669,Lucas Alves,,Paulo Boareto,L,0,"Pts: 6x6, Adv",Rio Fall Open,82KG,R1,2022
32700,10669,Lucas Alves,,Anselmo Gomes,L,0,"Pts: 0x0, Adv",Salvador Open,76KG,4F,2022
34017,10669,Lucas Alves,5756,Wellington Luis,L,0,Pts: 4x2,Grand Slam RJ,85KG,8F,2022
34302,10669,Lucas Alves,,Pierpaolo Chiappe,L,0,N/A,Brasileiro NoGi,79KG,4F,2022
35145,10669,Lucas Alves,,Luiz Tadeu,L,0,Kneebar,SP Open,88KG,R1,2022
35182,10669,Lucas Alves,13076,Francisco Lo,L,0,Armlock,S Paulo NGO,85KG,4F,2022
35426,10669,Lucas Alves,,Reyson Lima,L,0,N/A,Curitiba SPO,88KG,SF,2022
35713,10669,Lucas Alves,,Lucas Laet,L,0,Armbar,South American,88KG,R1,2022
37012,10669,Lucas Alves,,Wallisson Oliveira,L,0,Pts: 11x8,Rio SMO,88KG,4F,2023
37055,10669,Lucas Alves,11862,Pedro Alex,L,0,Pts: 2x0,Rio SMO,ABS,4F,2023
37420,10669,Lucas Alves,,Marcus Ruiz,L,0,Kimura,Sul Brasileiro,94KG,SF,2023
37443,10669,Lucas Alves,9117,Hygor Brito,L,0,Botinha,Sul Brasileiro,ABS,SF,2023
37472,10669,Lucas Alves,,Jardel Costa,L,0,Pts: 4x2,Sul BRA NG,91KG,F,2023
37485,10669,Lucas Alves,,Darlan Casaca,L,0,Pts: 2x0,Sul BRA NG,ABS,F,2023
38055,10669,Lucas Alves,13392,Gabriel Volante,L,0,Back triangle,Curitiba SMO,94KG,SF,2023
38591,10669,Lucas Alves,11064,Rider Zuchi,L,0,Katagatame,Rio Fall Open,94KG,F,2023
38676,10669,Lucas Alves,,Jardel Costa,L,0,Inside heel hook,Rio Fall NGO,91KG,SF,2023
38880,10669,Lucas Alves,,Gustavo Lustosa,L,0,"Pts: 4x4, Adv",Salvador FO,94KG,F,2023
38900,10669,Lucas Alves,,Oliveira Souza,L,0,N/A,Salvador FO,ABS,R1,2023
38945,10669,Lucas Alves,,Leonardo Gocalves,L,0,N/A,Salvador NGO,91KG,F,2023
39506,10669,Lucas Alves,7047,Matheus Spirandeli,L,0,Choke from back,Brasileiro,88KG,R1,2023
40146,10669,Lucas Alves,,Cleiton Santos,L,0,Pts: 7x2,Floripa FO,O100KG,SF,2023
40302,10669,Lucas Alves,7552,Isaque Bahiense,L,0,Pts: 2x0,World Champ.,88KG,R1,2023
40629,10669,Lucas Alves,11746,Alex Munis,L,0,Pts: 8x3,Grand Slam RJ,85KG,8F,2023
42531,10669,Lucas Alves,10817,Gabriel Henrique,L,0,Pts: 2x0,Desafio HG,ABS,SF,2023
42764,10669,Lucas Alves,,Vital Neto,L,0,Pts: 6x4,Sul Americano,94KG,4F,2023
43060,10669,Lucas Alves,,Davi Silva,L,0,Pts: 2x0,Brasileiro NoGi,97KG,F,2023
43070,10669,Lucas Alves,,Davi Vetoraci,L,0,Pts: 2x0,Brasileiro NoGi,ABS,R1,2023
21101,10669,Lucas Alves,,Carlos Alves,W,1,Pts: 9x2,BH Winter Open,88KG,4F,2019
21337,10669,Lucas Alves,,Manoel Miguel,W,1,Pts: 4x2,Floripa WO,88KG,4F,2019
21358,10669,Lucas Alves,,Alexandre Carmusi,W,1,Armbar,Floripa WNGO,ABS,4F,2019
21359,10669,Lucas Alves,,Thomas Alban,W,1,DQ,Floripa WNGO,ABS,SF,2019
21730,10669,Lucas Alves,,N/A,W,1,Armbar,Sao Paulo Open,88KG,R1,2019
21731,10669,Lucas Alves,,Thiago Dalcol,W,1,Reverse triangle,Sao Paulo Open,88KG,4F,2019
21754,10669,Lucas Alves,,Clayton Rafael,W,1,Botinha,Sao Paulo NGO,ABS,SF,2019
21755,10669,Lucas Alves,,Welington Neller,W,1,Short choke,Sao Paulo NGO,ABS,F,2019
21800,10669,Lucas Alves,,Yuri Costa,W,1,Pts: 4x2,Brasileiro NoGi,91KG,SF,2019
