match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
22341,10817,Gabriel Henrique Oliveira,9741,Pedro Elias,L,0,Choke,Grand Slam RJ,94KG,4F,2019
22347,10817,Gabriel Henrique Oliveira,6825,Fernando Reis,L,0,Referee Decision,Grand Slam RJ,94KG,3RD,2019
26854,10817,Gabriel Henrique Oliveira,11685,Anderson Munis,L,0,Referee Decision,Big Deal Pro 3,O100KG,SF,2021
28580,10817,Gabriel Henrique Oliveira,11693,Erich Munis,L,0,Pts: 2x0,Grand Slam RJ,94KG,SF,2021
29390,10817,Gabriel Henrique Oliveira,11499,Roosevelt Sousa,L,0,Pts: 1x0,King Of Mats,120KG,RR,2021
29392,10817,Gabriel Henrique Oliveira,11709,Wallace Costa,L,0,Pts: 3x1,King Of Mats,120KG,SF,2021
29566,10817,Gabriel Henrique Oliveira,8974,Kaynan Duarte,L,0,Referee Decision,World Champ.,94KG,SF,2021
32985,10817,Gabriel Henrique Oliveira,12537,Pedro Machado,L,0,"Pts: 0x0, Adv",World Champ.,94KG,8F,2022
33247,10817,Gabriel Henrique Oliveira,10130,Marcus Ribeiro,L,0,Pts: 7x0,Floripa WO,ABS,F,2022
33341,10817,Gabriel Henrique Oliveira,,Otavio Nalati,L,0,Bread cutter choke,Rio WO,ABS,SF,2022
33597,10817,Gabriel Henrique Oliveira,11064,Rider Zuchi,L,0,Pts: 2x0,Betim Open,94KG,F,2022
33614,10817,Gabriel Henrique Oliveira,10644,Marcelo Gomide,L,0,"Pts: 0x0, Adv",Betim Open,ABS,F,2022
34047,10817,Gabriel Henrique Oliveira,11064,Rider Zuchi,L,0,Pts: 2x0,Grand Slam RJ,94KG,F,2022
34176,10817,Gabriel Henrique Oliveira,12506,Jansen Gomes,L,0,Pts: 7x2,Vitoria Open,ABS,SF,2022
35383,10817,Gabriel Henrique Oliveira,12537,Pedro Machado,L,0,Pts: 2x0,Rio BJJ Pro,94KG,F,2022
35727,10817,Gabriel Henrique Oliveira,,Leandro Carlos,L,0,Referee Decision,South American,94KG,F,2022
35746,10817,Gabriel Henrique Oliveira,8195,Gutemberg Pereira,L,0,Pts: 4x2,South American,ABS,F,2022
37144,10817,Gabriel Henrique Oliveira,12537,Pedro Machado,L,0,"Pts: 0x0, Adv",European Open,ABS,R2,2023
37237,10817,Gabriel Henrique Oliveira,11064,Rider Zuchi,L,0,Verbal tap,European Open,94KG,4F,2023
39430,10817,Gabriel Henrique Oliveira,7537,Felipe Bezerra,L,0,Referee Decision,SA Cont Pro,120KG,SF,2023
39525,10817,Gabriel Henrique Oliveira,8514,Fellipe Andrew,L,0,Pts: 11x0,Brasileiro,94KG,F,2023
40337,10817,Gabriel Henrique Oliveira,,Roberto Dib,L,0,Pts: 2x0,World Champ.,94KG,8F,2023
41285,10817,Gabriel Henrique Oliveira,13190,Vinicius Lessa,L,0,Referee Decision,SP BJJ Pro,94KG,SF,2023
42777,10817,Gabriel Henrique Oliveira,,H. Pereira,L,0,N/A,Sul Americano,100KG,F,2023
22335,10817,Gabriel Henrique Oliveira,,Luis Quiterio,W,1,Armbar,Grand Slam RJ,94KG,R1,2019
22345,10817,Gabriel Henrique Oliveira,,Marcos Junior,W,1,Choke,Grand Slam RJ,94KG,RPC,2019
23597,10817,Gabriel Henrique Oliveira,,Carlos Silva,W,1,Choke from back,South American Pro,94KG,SF,2020
23598,10817,Gabriel Henrique Oliveira,,C. Silva,W,1,Kimura,South American Pro,94KG,F,2020
26851,10817,Gabriel Henrique Oliveira,9483,Eduardo Lopes,W,1,Pts: 12x0,Big Deal Pro 3,O100KG,4F,2021
28075,10817,Gabriel Henrique Oliveira,,Gustavo Borges,W,1,"Pts: 0x0, Adv",Brasileiro,94KG,R1,2021
28080,10817,Gabriel Henrique Oliveira,9554,Henrique Cardoso,W,1,Injury,Brasileiro,94KG,4F,2021
28572,10817,Gabriel Henrique Oliveira,,Kelvin Cruz,W,1,Pts: 6x2,Grand Slam RJ,94KG,8F,2021
28579,10817,Gabriel Henrique Oliveira,,Lucas Silva,W,1,Choke from back,Grand Slam RJ,94KG,4F,2021
28585,10817,Gabriel Henrique Oliveira,9117,Hygor Brito,W,1,Pts: 2x0,Grand Slam RJ,94KG,3RD,2021
29394,10817,Gabriel Henrique Oliveira,4430,Patrick Gaudio,W,1,Pts: 3x0,King Of Mats,120KG,3RD,2021
29561,10817,Gabriel Henrique Oliveira,,Chris Passarrello,W,1,Pts: 10x0,World Champ.,94KG,R1,2021
29562,10817,Gabriel Henrique Oliveira,10698,Matheus Godoy,W,1,Pts: 3x2,World Champ.,94KG,4F,2021
33233,10817,Gabriel Henrique Oliveira,,Peronnio Bernelli,W,1,Armbar,Floripa WO,94KG,SF,2022
33234,10817,Gabriel Henrique Oliveira,13392,Gabriel Volante,W,1,Pts: 3x0,Floripa WO,94KG,F,2022
33324,10817,Gabriel Henrique Oliveira,,Joao Souza,W,1,Referee Decision,Rio WO,94KG,4F,2022
33329,10817,Gabriel Henrique Oliveira,,Matheus Marques,W,1,Pts: 6x2,Rio WO,94KG,SF,2022
33330,10817,Gabriel Henrique Oliveira,,Elionai Braz,W,1,"Pts: 0x0, Adv",Rio WO,94KG,F,2022
33339,10817,Gabriel Henrique Oliveira,,Paulo Fernando,W,1,Armbar,Rio WO,ABS,4F,2022
