match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21214,10840,Diego Oliveira,6103,Isaac Doederlein,L,0,"Pts: 4x4, Adv",King of Mats,69KG,RR,2019
21225,10840,Diego Oliveira,9051,Gabriel Sousa,L,0,Pts: 4x2,King of Mats,69KG,SF,2019
23070,10840,Diego Oliveira,5447,Mikey Musumeci,L,0,Botinha,European Open,64KG,SF,2020
25099,10840,Diego Oliveira,9031,Kennedy Maciel,L,0,Referee Decision,F2W 163,65KG,SPF,2021
26375,10840,Diego Oliveira,11497,Fabricio Andrey,L,0,Pts: 3x1,SA Cont. Pro,69KG,SF,2021
26511,10840,Diego Oliveira,11497,Fabricio Andrey,L,0,Pts: 2x0,SA Cont. Pro,LWA,4F,2021
27909,10840,Diego Oliveira,12005,Kade Ruotolo,L,0,Darce choke,WNO Champ.,70KG,4F,2021
29020,10840,Diego Oliveira,6103,Isaac Doederlein,L,0,Adv,JJ CON,70KG,F,2021
30018,10840,Diego Oliveira,11823,Diogo Reis,L,0,Referee Decision,ADCC BR1 Trials,66KG,F,2022
32882,10840,Diego Oliveira,11423,Meyram Maquine,L,0,Referee Decision,World Champ.,64KG,F,2022
34819,10840,Diego Oliveira,9250,Gabriel Almeida,L,0,Anaconda choke,JJ Con NG,ABS,F,2022
35012,10840,Diego Oliveira,9051,Gabriel Sousa,L,0,Referee Decision,ADCC,66KG,SF,2022
37169,10840,Diego Oliveira,10155,Malachi Edmond,L,0,Pts: 4x2,European Open,64KG,F,2023
37907,10840,Diego Oliveira,5417,Guilherme Augusto,L,0,Referee Decision,Dallas NGO,ABS,SF,2023
38361,10840,Diego Oliveira,11823,Diogo Reis,L,0,"Pts: 0x0, Adv",Pan American,64KG,F,2023
41653,10840,Diego Oliveira,10509,Mathias Luna,L,0,Toe hold,Phoenix Open,ABS,4F,2023
20777,10840,Diego Oliveira,,Alejandro Carreras,W,1,Pts: 13x2,Grand Slam MSK,69KG,4F,2019
20779,10840,Diego Oliveira,10408,Israel Sousa,W,1,Referee Decision,Grand Slam MSK,69KG,SF,2019
20780,10840,Diego Oliveira,8632,Thiago Macedo,W,1,"Pts: 2x2, Adv",Grand Slam MSK,69KG,F,2019
21031,10840,Diego Oliveira,,Zaur Akhmedov,W,1,Armbar,ACB World Champ.,65KG,SF,2019
21032,10840,Diego Oliveira,,Zainutdin Zainukov,W,1,Toe hold,ACB World Champ.,65KG,F,2019
21213,10840,Diego Oliveira,6060,Tomoyuki Hashimoto,W,1,"Pts: 0x0, Adv",King of Mats,69KG,RR,2019
21216,10840,Diego Oliveira,8632,Thiago Macedo,W,1,Pts: 2x0,King of Mats,69KG,RR,2019
21226,10840,Diego Oliveira,7657,Cleber Sousa,W,1,Pts: 4x0,King of Mats,69KG,3RD,2019
21663,10840,Diego Oliveira,,Alberto Serrano,W,1,Pts: 4x2,Grand Slam LA,69KG,4F,2019
21665,10840,Diego Oliveira,6599,Rafael Mansur,W,1,Pts: 4x2,Grand Slam LA,69KG,SF,2019
21666,10840,Diego Oliveira,10408,Israel Sousa,W,1,Pts: 4x2,Grand Slam LA,69KG,F,2019
21963,10840,Diego Oliveira,10220,Paulo Gabriel,W,1,Referee Decision,World Festival,70KG,SPF,2019
22261,10840,Diego Oliveira,,Carmones Alencar,W,1,Armbar,Grand Slam RJ,62KG,R1,2019
22264,10840,Diego Oliveira,9051,Gabriel Sousa,W,1,Referee Decision,Grand Slam RJ,62KG,4F,2019
22269,10840,Diego Oliveira,7657,Cleber Sousa,W,1,"Pts: 4x4, Adv",Grand Slam RJ,62KG,F,2019
22732,10840,Diego Oliveira,,Jackson Monteiro,W,1,Choke from back,Florianopolis Pro,69KG,SF,2019
22733,10840,Diego Oliveira,,Andrey Adam,W,1,Choke from back,Florianopolis Pro,69KG,F,2019
22959,10840,Diego Oliveira,,Gabriel Frenhan,W,1,Choke from back,Grand Slam AD,62KG,4F,2020
