match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
23697,10880,Roberto Jimenez,1534,R. Evangelista,L,0,Toe hook,Houston WO,ABS,SF,2020
23705,10880,Roberto Jimenez,5655,Lucas Barbosa,L,0,Armbar,F2W 137,92KG,SPF,2020
23731,10880,Roberto Jimenez,9250,Gabriel Almeida,L,0,Referee Decision,F2W 140,84KG,SPF,2020
23758,10880,Roberto Jimenez,8357,Gustavo Batista,L,0,Points,3CG Kumite,88KG,F,2020
23776,10880,Roberto Jimenez,11991,Pedro Marinho,L,0,Outside heel hook,Jitz King,84KG,SF,2020
23795,10880,Roberto Jimenez,11789,Mason Fowler,L,0,EBI/OT,SUG 15,ABS,F,2020
23826,10880,Roberto Jimenez,224,Roberto Abreu,L,0,Referee Decision,3CG Kumite IV,ABS,SF,2020
23942,10880,Roberto Jimenez,10159,Victor Hugo,L,0,Toe hold,Kumite 6,ABS,F,2020
24079,10880,Roberto Jimenez,8346,Craig Jones,L,0,Inside heel hook,WNO 4,93KG,SPF,2020
24104,10880,Roberto Jimenez,8514,Fellipe Andrew,L,0,Botinha,Pan American,ABS,4F,2020
25096,10880,Roberto Jimenez,7552,Isaque Bahiense,L,0,Pts: 4x0,BJJ Stars 5,81KG,SPF,2021
25174,10880,Roberto Jimenez,6550,Gordon Ryan,L,0,Armbar,WNO 6,ABS,SPF,2021
26618,10880,Roberto Jimenez,11991,Pedro Marinho,L,0,Points,3CG MW GP,85KG,SF,2021
26823,10880,Roberto Jimenez,11991,Pedro Marinho,L,0,Inside heel hook,SUG 24,ABS,SF,2021
27902,10880,Roberto Jimenez,13162,Jacob Couch,L,0,Inside heel hook,WNO Champ.,84KG,4F,2021
29891,10880,Roberto Jimenez,,Darlan Casaca,L,0,"Pts: 2x2, Adv",Rio SMO,82KG,SF,2022
29926,10880,Roberto Jimenez,11064,Rider Zuchi,L,0,Pts: 18x0,Rio SMO,ABS,F,2022
31670,10880,Roberto Jimenez,11697,Tainan Dalpra,L,0,Triangle,Pan American,82KG,R2,2022
32045,10880,Roberto Jimenez,5655,Lucas Barbosa,L,0,Pts: 2x0,BJJ Stars,83KG,4F,2022
32954,10880,Roberto Jimenez,7552,Isaque Bahiense,L,0,Pts: 4x2,World Champ.,88KG,R1,2022
33027,10880,Roberto Jimenez,10159,Victor Hugo,L,0,Pts: 5x2,World Champ.,ABS,R1,2022
35025,10880,Roberto Jimenez,12005,Kade Ruotolo,L,0,Inside heel hook,ADCC,77KG,4F,2022
35098,10880,Roberto Jimenez,2416,Felipe Pena,L,0,Pts: 13x2,ADCC,ABS,8F,2022
37678,10880,Roberto Jimenez,12506,Jansen Gomes,L,0,Pts: 6x4,London Open,ABS,F,2023
38321,10880,Roberto Jimenez,7507,Nicholas Meregali,L,0,Choke from back,Pan American,ABS,4F,2023
38444,10880,Roberto Jimenez,7478,Adam Wardzinski,L,0,Choke from back,Pan American,94KG,R1,2023
39260,10880,Roberto Jimenez,8231,Leo Saggioro,L,0,DQ,Miami Open,ABS,4F,2023
39907,10880,Roberto Jimenez,11862,Pedro Alex,L,0,Points,Houston Open,ABS,4F,2023
39917,10880,Roberto Jimenez,6631,Igor Schneider,L,0,Pts: 11x4,Houston Open,ABS,SF,2023
40336,10880,Roberto Jimenez,8514,Fellipe Andrew,L,0,Pts: 10x0,World Champ.,94KG,8F,2023
42399,10880,Roberto Jimenez,11797,Giancarlo Bodoni,L,0,Referee Decision,Blue Collar,ABS,F,2023
43170,10880,Roberto Jimenez,13518,Izaak Michell,L,0,Pts: 2x0,Polaris 25,ABS,4F,2023
