match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21777,10953,Danilo Moreira,8884,Alex Sodre,L,0,Armbar,Brasileiro NoGi,67KG,F,2019
22098,10953,Danilo Moreira,9094,Richar Nogueira,L,0,Points,Curitiba SPO,70KG,SF,2019
22702,10953,Danilo Moreira,8536,Yuta Shimada,L,0,Pts: 4x2,Salvador SPO,70KG,F,2019
23761,10953,Danilo Moreira,,Erick Raposo,L,0,Referee Decision,F2W 143,70KG,SPF,2020
24010,10953,Danilo Moreira,9074,Joao Mendes,L,0,Pts: 3x0,Grand Slam MIA,69KG,R1,2020
24127,10953,Danilo Moreira,11510,Samuel Nagai,L,0,"Pts: 2x2, Adv",Pan American,70KG,R1,2020
24551,10953,Danilo Moreira,11568,Josh Cisneros,L,0,Pts: 4x0,American Nats,70KG,4F,2020
25407,10953,Danilo Moreira,4248,Gianni Grippo,L,0,Referee Decision,Orlando Open,70KG,F,2021
26090,10953,Danilo Moreira,10840,Diego Oliveira,L,0,RNC,NoGi Pan Am.,67KG,8F,2021
26657,10953,Danilo Moreira,9074,Joao Mendes,L,0,Referee Decision,American Nats,70KG,4F,2021
26934,10953,Danilo Moreira,9094,Richar Nogueira,L,0,Pts: 4x2,Austin Open,70KG,F,2021
27560,10953,Danilo Moreira,11497,Fabricio Andrey,L,0,Choke from back,Pan American,70KG,4F,2021
28229,10953,Danilo Moreira,11919,Daniel Maira,L,0,"Pts: 4x4, Adv",NoGi Worlds,67KG,4F,2021
28704,10953,Danilo Moreira,9051,Gabriel Sousa,L,0,Pts: 5x2,EUG NoGi,70KG,4F,2021
29470,10953,Danilo Moreira,12751,Sam McNally,L,0,Referee Decision,World Champ.,70KG,R1,2021
34244,10953,Danilo Moreira,,Chance Wise-Soltero,L,0,N/A,Santa Cruz NGO,73KG,F,2022
34598,10953,Danilo Moreira,11423,Meyram Maquine,L,0,Choke from back,Grand Slam MIA,69KG,4F,2022
34605,10953,Danilo Moreira,13245,Ademir Barreto,L,0,Pts: 3x0,Grand Slam MIA,69KG,RPC,2022
34725,10953,Danilo Moreira,11015,Pablo Lavaselli,L,0,Choke from back,JJ Con,76KG,F,2022
35532,10953,Danilo Moreira,9934,Deandre Corbe,L,0,Inside heel hook,NoGi Pan,73KG,SF,2022
36828,10953,Danilo Moreira,9934,Deandre Corbe,L,0,Pts: 4x2,NoGi Worlds,73KG,4F,2022
37867,10953,Danilo Moreira,9074,Joao Mendes,L,0,Pts: 4x0,Dallas Open,76KG,F,2023
38372,10953,Danilo Moreira,8884,Alex Sodre,L,0,Pts: 4x2,Pan American,70KG,8F,2023
40060,10953,Danilo Moreira,8514,Fellipe Andrew,L,0,Katagatame,SD Open,ABS,SF,2023
40239,10953,Danilo Moreira,6103,Isaac Doederlein,L,0,Choke from back,World Champ.,70KG,8F,2023
41635,10953,Danilo Moreira,11510,Samuel Nagai,L,0,Armbar,Phoenix Open,76KG,F,2023
42277,10953,Danilo Moreira,,Gabriel Amorim,L,0,"Pts: 2x2, Adv",JJ Con,76KG,F,2023
21327,10953,Danilo Moreira,,Leandro Lima,W,1,DQ,Floripa WO,70KG,SF,2019
21328,10953,Danilo Moreira,,Gabriel Machado,W,1,Toe hold,Floripa WO,70KG,F,2019
