match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
24184,11208,Jackson Nagai,10162,Ronaldo Junior,L,0,Pts: 6x2,Pan American,82KG,F,2020
24961,11208,Jackson Nagai,7664,Johnny Tama,L,0,Referee Decision,F2W 159,83KG,SPF,2020
27577,11208,Jackson Nagai,8516,Lucas Valente,L,0,Pts: 8x2,Pan American,76KG,SF,2021
27694,11208,Jackson Nagai,4655,Michael Liera,L,0,Referee Decision,F2W 183,77KG,SPF,2021
29527,11208,Jackson Nagai,7552,Isaque Bahiense,L,0,Pts: 3x2,World Champ.,82KG,4F,2021
39800,11208,Jackson Nagai,4655,Michael Liera,L,0,Pts: 4x2,Denver Open,82KG,SF,2023
40275,11208,Jackson Nagai,10085,Johnatha Alves,L,0,"Pts: 0x0, Adv",World Champ.,76KG,SF,2023
41172,11208,Jackson Nagai,10162,Ronaldo Junior,L,0,Pts: 4x2,American Nats,ABS,SF,2023
41213,11208,Jackson Nagai,12703,Andy Varela,L,0,"Pts: 0x0, Adv",American NNG,79KG,SF,2023
24168,11208,Jackson Nagai,,Rehan Muttalib,W,1,50/50 armbar,Pan American,82KG,R1,2020
24172,11208,Jackson Nagai,,Carlos Souza,W,1,"Pts: 2x2, Adv",Pan American,82KG,8F,2020
24179,11208,Jackson Nagai,,Nicolas Ospina,W,1,Armbar,Pan American,82KG,4F,2020
24183,11208,Jackson Nagai,10199,Guthierry Barbosa,W,1,Choke from back,Pan American,82KG,SF,2020
24385,11208,Jackson Nagai,10506,Jeferson Guaresi,W,1,Choke from back,F2W 156,83KG,SPF,2020
27502,11208,Jackson Nagai,5238,Edwin Najmi,W,1,Triangle,F2W 182,N/A,SPF,2021
27568,11208,Jackson Nagai,,Cauata Avila,W,1,Armbar,Pan American,76KG,8F,2021
27573,11208,Jackson Nagai,,Daniel Quintana,W,1,Bow and arrow,Pan American,76KG,4F,2021
29510,11208,Jackson Nagai,,Damien Nitkin,W,1,Armbar,World Champ.,82KG,R1,2021
29519,11208,Jackson Nagai,,Piter Frank,W,1,Pts: 11x0,World Champ.,82KG,8F,2021
39051,11208,Jackson Nagai,4235,Victor Silverio,W,1,Referee Decision,Santa Cruz O,82KG,SF,2023
39053,11208,Jackson Nagai,,Rehan Muttalib,W,1,Pts: 42x2,Santa Cruz O,82KG,F,2023
39797,11208,Jackson Nagai,,Max Danrley,W,1,Armbar,Denver Open,82KG,4F,2023
39867,11208,Jackson Nagai,9931,Arthur Detanico,W,1,Pts: 32x2,Houston Open,82KG,SF,2023
39868,11208,Jackson Nagai,,Sebastian Guevara,W,1,Bow and arrow,Houston Open,82KG,F,2023
40257,11208,Jackson Nagai,,Vinicius Goes,W,1,Armbar,World Champ.,76KG,R1,2023
40266,11208,Jackson Nagai,,Nathan Chueng,W,1,"Pts: 0x0, Adv",World Champ.,76KG,8F,2023
40272,11208,Jackson Nagai,8215,Espen Mathiesen,W,1,Hashimoto choke,World Champ.,76KG,4F,2023
41137,11208,Jackson Nagai,,Ricardo Briceno,W,1,Estima lock,American Nats,82KG,4F,2023
41141,11208,Jackson Nagai,9876,Alef Brito,W,1,Choke from back,American Nats,82KG,SF,2023
41167,11208,Jackson Nagai,,Charles McGuire,W,1,Loop choke,American Nats,ABS,R1,2023
41169,11208,Jackson Nagai,,Pedro Melo,W,1,Pts: 7x0,American Nats,ABS,4F,2023
41209,11208,Jackson Nagai,,Joshua Bacallao,W,1,Pts: 28x2,American NNG,79KG,4F,2023
41636,11208,Jackson Nagai,,Nicolas Ospina,W,1,Shoulder pressure,Phoenix Open,82KG,SF,2023
41662,11208,Jackson Nagai,,Aaron Wilson,W,1,RNC,Phoenix NGO,79KG,F,2023
41696,11208,Jackson Nagai,,Lucas Alcantara,W,1,Triangle,Dallas SMO,82KG,SF,2023
41697,11208,Jackson Nagai,9931,Arthur Detanico,W,1,Triangle,Dallas SMO,82KG,F,2023
42381,11208,Jackson Nagai,10216,Natan Chueng,W,1,Pts: 8x2,IBJJF GP,82KG,SPF,2023
