match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
22549,11212,Yuri Hendrex,9044,Livio Ribeiro,L,0,DQ,South American,57KG,F,2019
23349,11212,Yuri Hendrex,7657,Cleber Sousa,L,0,Americana,Curitiba SO,64KG,SF,2020
24653,11212,Yuri Hendrex,11823,Diogo Reis,L,0,Pts: 11x2,Grand Slam RJ,56KG,SF,2020
24657,11212,Yuri Hendrex,12251,Roiter Lima,L,0,Pts: 3x3,Grand Slam RJ,56KG,3RD,2020
26343,11212,Yuri Hendrex,,Oziel Carvalho,L,0,Pts: 4x4,SA Cont. Pro,56KG,4F,2021
28457,11212,Yuri Hendrex,,Oziel Santos,L,0,Pts: 2x1,Grand Slam RJ,56KG,4F,2021
29111,11212,Yuri Hendrex,,Rodney Barbosa,L,0,Pts: 4x4,BRA Qualifiers,56KG,SF,2021
29761,11212,Yuri Hendrex,,Bruno Eduardo,L,0,Referee Decision,ACB Worlds,ABS,4F,2021
30744,11212,Yuri Hendrex,,Bruno Azevedo,L,0,Pts: 4x0,Amsterdam Pro,69KG,SF,2022
31084,11212,Yuri Hendrex,,Kalel Santos,L,0,Pts: 11x2,Grand Slam LDN,56KG,RR,2022
32339,11212,Yuri Hendrex,6043,Lucas Pinheiro,L,0,Pts: 7x0,Grand Slam AD,62KG,4F,2022
32345,11212,Yuri Hendrex,,Andrew Soares,L,0,Pts: 3x1,Grand Slam AD,62KG,3RD,2022
36296,11212,Yuri Hendrex,13209,Welerson Goncalves,L,0,Pts: 3x3,World Pro,56KG,4F,2022
36303,11212,Yuri Hendrex,13209,Welerson Goncalves,L,0,Pts: 8x4,World Pro,56KG,3RD,2022
38175,11212,Yuri Hendrex,12968,Zayed Alkatheeri,L,0,Pts: 2x2,AJPGD LDN,56KG,F,2023
38785,11212,Yuri Hendrex,,Omar Alswaidi,L,0,Points,Presidents Cup,61KG,SF,2023
39635,11212,Yuri Hendrex,12968,Zayed Alkatheeri,L,0,Pts: 2x2,ADGS ABD,56KG,F,2023
40213,11212,Yuri Hendrex,11423,Meyram Maquine,L,0,Pts: 9x2,World Champ.,64KG,4F,2023
40553,11212,Yuri Hendrex,,Wagner Chrispim,L,0,Pts: 10x4,Grand Slam RJ,62KG,4F,2023
40558,11212,Yuri Hendrex,,Iago Chagas,L,0,Pts: 3x2,Grand Slam RJ,62KG,RPC,2023
42860,11212,Yuri Hendrex,,Andrew Soares,L,0,Pts: 2x1,ADGS Miami,62KG,F,2023
22544,11212,Yuri Hendrex,,N/A,W,1,Pts: 7x2,South American,57KG,R1,2019
22546,11212,Yuri Hendrex,7757,Juan Lopes,W,1,Pts: 5x0,South American,57KG,4F,2019
22548,11212,Yuri Hendrex,,Kaike Affonso,W,1,Pts: 6x2,South American,57KG,SF,2019
23252,11212,Yuri Hendrex,,Leo Alves,W,1,Toe hold,Sul Brasileiro,64KG,4F,2020
23254,11212,Yuri Hendrex,,Felipe Nacib,W,1,Botinha,Sul Brasileiro,64KG,SF,2020
23255,11212,Yuri Hendrex,11512,Lukete Silva,W,1,Referee Decision,Sul Brasileiro,64KG,F,2020
23347,11212,Yuri Hendrex,,Wesley Santos,W,1,Pts: 4x2,Curitiba SO,64KG,4F,2020
24647,11212,Yuri Hendrex,,Klaus Maine,W,1,Pts: 11x5,Grand Slam RJ,56KG,R1,2020
24648,11212,Yuri Hendrex,12251,Roiter Lima,W,1,Pts: 10x9,Grand Slam RJ,56KG,4F,2020
24656,11212,Yuri Hendrex,,Raul Marcello,W,1,Choke from back,Grand Slam RJ,56KG,RPC,2020
24892,11212,Yuri Hendrex,,Luciano Vieira,W,1,Choke from back,South American,57KG,SF,2020
26346,11212,Yuri Hendrex,,Jorge Nakamura,W,1,Pts: 5x0,SA Cont. Pro,56KG,RPC,2021
26347,11212,Yuri Hendrex,,Guilherme Mori,W,1,Pts: 4x3,SA Cont. Pro,56KG,3RD,2021
27088,11212,Yuri Hendrex,,Leandro Sousa,W,1,Pts: 7x2,AJP RJ Pro,62KG,4F,2021
27701,11212,Yuri Hendrex,,Samat Aitpanbet,W,1,Pts: 2x2,Grand Slam MSK,56KG,SF,2021
28023,11212,Yuri Hendrex,,Italo Frota,W,1,Botinha,Brasileiro,57KG,4F,2021
28026,11212,Yuri Hendrex,7657,Cleber Sousa,W,1,"Pts: 4x4, Adv",Brasileiro,57KG,SF,2021
28027,11212,Yuri Hendrex,13209,Welerson Goncalves,W,1,Pts: 6x2,Brasileiro,57KG,F,2021
28461,11212,Yuri Hendrex,,Mateus Pereira,W,1,Pts: 7x4,Grand Slam RJ,56KG,RPC,2021
29110,11212,Yuri Hendrex,,Andre Moura,W,1,Submission,BRA Qualifiers,56KG,4F,2021
29690,11212,Yuri Hendrex,,Carlos Uruena,W,1,Botinha,Teams Cup,N/A,RR,2021
29699,11212,Yuri Hendrex,,Oziel Santos,D,0.5,---,Teams Cup,N/A,RR,2021
29706,11212,Yuri Hendrex,,T. Alnuaimi,W,1,Botinha,Teams Cup,N/A,RR,2021
29715,11212,Yuri Hendrex,,H. Alblooshi,W,1,RNC,Teams Cup,N/A,RR,2021
29726,11212,Yuri Hendrex,,Welison Fernandes,W,1,Botinha,Teams Cup,N/A,RR,2021
29747,11212,Yuri Hendrex,,Marko Oikarainen,W,1,Clock choke,ACB Worlds,60KG,SF,2021
29766,11212,Yuri Hendrex,,Marko Oikarainen,W,1,Botinha,ACB World NG,60KG,4F,2021
29768,11212,Yuri Hendrex,,Bruno Ramos,W,1,RNC,ACB World NG,60KG,SF,2021
31083,11212,Yuri Hendrex,,Kalel Santos,W,1,Pts: 2x2,Grand Slam LDN,56KG,RR,2022
31085,11212,Yuri Hendrex,,Kalel Santos,W,1,Pts: 3x2,Grand Slam LDN,56KG,RR,2022
32344,11212,Yuri Hendrex,6258,Rodnei Barbosa,W,1,Pts: 7x5,Grand Slam AD,62KG,RPC,2022
