match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
23565,11354,Brian Giorgio,6156,Tanner Rice,L,0,Pts: 9x2,Kansas Open,O100KG,SF,2020
28187,11354,Brian Giorgio,11991,Pedro Marinho,L,0,RNC,NoGi Worlds,ABS,8F,2021
28334,11354,Brian Giorgio,10159,Victor Hugo,L,0,Katagatame,NoGi Worlds,O97KG,4F,2021
28930,11354,Brian Giorgio,11789,Mason Fowler,L,0,RNC,ADCC EC Trials,99KG,4F,2021
29571,11354,Brian Giorgio,9361,Guilherme Cordiviola,L,0,Referee Decision,World Champ.,100KG,R1,2021
23478,11354,Brian Giorgio,,Kamil Uminski,W,1,Points,Portland Open,100KG,SF,2020
23479,11354,Brian Giorgio,,Bruno Iglesias,W,1,Armbar,Portland Open,100KG,F,2020
23480,11354,Brian Giorgio,,Ramon Macedo,W,1,Choke from back,Portland Open,ABS,4F,2020
23481,11354,Brian Giorgio,,Leonardo Domingo,W,1,Injury,Portland Open,ABS,SF,2020
23482,11354,Brian Giorgio,,Piter Frank,W,1,Pts: 6x0,Portland Open,ABS,F,2020
28177,11354,Brian Giorgio,12120,Estevan Martinez,W,1,Pts: 4x0,NoGi Worlds,ABS,R1,2021
28919,11354,Brian Giorgio,,Fayaz Akbari,W,1,Triangle,ADCC EC Trials,99KG,R2,2021
28925,11354,Brian Giorgio,,Jesse Hutt,W,1,Pts: 6x0,ADCC EC Trials,99KG,R3,2021
