match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
26510,11423,Meyram Maquine,12287,Pedro Maia,L,0,Pts: 2x1,SA Cont. Pro,LWA,4F,2021
28503,11423,Meyram Maquine,11497,Fabricio Andrey,L,0,Pts: 4x3,Grand Slam RJ,69KG,F,2021
29123,11423,Meyram Maquine,11823,Diogo Reis,L,0,Referee Decision,BRA Qualifiers,62KG,RR,2021
29468,11423,Meyram Maquine,10840,Diego Oliveira,L,0,Pts: 6x4,World Champ.,64KG,SF,2021
34604,11423,Meyram Maquine,10408,Israel Sousa,L,0,Referee Decision,Grand Slam MIA,69KG,F,2022
35783,11423,Meyram Maquine,9002,Matheus Gabriel,L,0,Pts: 2x0,BJJ Stars,76KG,F,2022
40219,11423,Meyram Maquine,10840,Diego Oliveira,L,0,"Pts: 6x6, Adv",World Champ.,64KG,F,2023
23871,11423,Meyram Maquine,7657,Cleber Sousa,W,1,Pts: 6x4,BJJ Stars,N/A,SPF,2020
23919,11423,Meyram Maquine,11497,Fabricio Andrey,W,1,Pts: 8x2,BJJ Bet,65KG,SPF,2020
24662,11423,Meyram Maquine,,M. Oliveira,W,1,Bow and arrow,Grand Slam RJ,62KG,4F,2020
24665,11423,Meyram Maquine,,Leandro Lima,W,1,Pts: 1x0,Grand Slam RJ,62KG,SF,2020
24667,11423,Meyram Maquine,11497,Fabricio Andrey,W,1,Pts: 4x2,Grand Slam RJ,62KG,F,2020
26349,11423,Meyram Maquine,,Jonas Pereira,W,1,Triangle,SA Cont. Pro,62KG,4F,2021
26351,11423,Meyram Maquine,7657,Cleber Sousa,W,1,Pts: 3x0,SA Cont. Pro,62KG,SF,2021
26353,11423,Meyram Maquine,6151,Hiago George,W,1,Choke from back,SA Cont. Pro,62KG,F,2021
27084,11423,Meyram Maquine,9486,Murilo Amaral,W,1,Choke from back,BJJ Bet,76KG,SPF,2021
27379,11423,Meyram Maquine,,Gus Jovelino,W,1,DQ,Sul Americano,70KG,R1,2021
