match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
13805,11465,Kauan Barboza,6432,Yan Lucas,L,0,Referee Decision,Grand Slam LA,77KG,R1,2017
14107,11465,Kauan Barboza,7664,Johnny Tama,L,0,Flying armbar,Charlotte Open,76KG,SF,2017
14199,11465,Kauan Barboza,5414,Osvaldo Moizinho,L,0,Referee Decision,Miami FO,76KG,SF,2017
15398,11465,Kauan Barboza,4655,Michael Liera,L,0,Pts: 4x2,Pan American,76KG,8F,2018
15744,11465,Kauan Barboza,8081,Nathan Mendelsohn,L,0,Armbar,San Jose Open,82KG,SF,2018
15900,11465,Kauan Barboza,5930,Rodrigo Freitas,L,0,Referee Decision,Boston Sp. Open,76KG,SF,2018
16316,11465,Kauan Barboza,7743,Inacio Neto,L,0,Adv,Dallas SPO,ABS,4F,2018
17578,11465,Kauan Barboza,4235,Victor Silverio,L,0,Referee Decision,Grand Slam LA,77KG,SF,2018
17583,11465,Kauan Barboza,9067,Leonardo Lara,L,0,Pts: 2x0,Grand Slam LA,77KG,RR,2018
17830,11465,Kauan Barboza,4655,Michael Liera,L,0,Choke from back,LA BJJ Pro,82KG,4F,2018
17867,11465,Kauan Barboza,12338,Gialysson Freitas,L,0,Referee Decision,Twin Cities Open,76KG,SF,2018
18173,11465,Kauan Barboza,4163,Marcio Andre,L,0,Referee Decision,Long Beach Open,76KG,F,2018
18240,11465,Kauan Barboza,,Daninis Nguyen,L,0,N/A,Cincinnati Open,82KG,F,2018
19996,11465,Kauan Barboza,4235,Victor Silverio,L,0,Pts: 2x0,San Jose Open,82KG,SF,2019
20019,11465,Kauan Barboza,9253,Michael Trasso,L,0,Kimura,San Jose NGO,79KG,F,2019
21143,11465,Kauan Barboza,10162,Ronaldo Junior,L,0,Choke from back,Fresno Open,ABS,SF,2019
21962,11465,Kauan Barboza,10085,Johnatha Alves,L,0,Cachecol choke,World Festival,77KG,SPF,2019
22394,11465,Kauan Barboza,10220,Paulo Gabriel,L,0,Pts: 2x0,Long Beach Open,76KG,F,2019
