match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
26515,11658,Lucas Gualberto,11497,Fabricio Andrey,L,0,Pts: 3x2,SA Cont. Pro,LWA,F,2021
28057,11658,Lucas Gualberto,,Wallisson Oliveira,L,0,"Pts: 0x0, Adv",Brasileiro,82KG,4F,2021
28532,11658,Lucas Gualberto,10216,Natan Chueng,L,0,Pts: 1x0,Grand Slam RJ,77KG,4F,2021
28539,11658,Lucas Gualberto,10216,Natan Chueng,L,0,Pts: 2x1,Grand Slam RJ,77KG,3RD,2021
28988,11658,Lucas Gualberto,11697,Tainan Dalpra,L,0,Toe hold,BJJ Stars,82KG,SPF,2021
29518,11658,Lucas Gualberto,10199,Guthierry Barbosa,L,0,Pts: 2x0,World Champ.,82KG,R1,2021
31076,11658,Lucas Gualberto,12671,Uanderson Ferreira,L,0,Pts: 2x1,King of Mats,85KG,RR,2022
31079,11658,Lucas Gualberto,8105,Tommy Langaker,L,0,Pts: 3x0,King of Mats,85KG,SF,2022
31082,11658,Lucas Gualberto,10216,Natan Chueng,L,0,Referee Decision,King of Mats,85KG,3RD,2022
31123,11658,Lucas Gualberto,,Caio Viturino,L,0,Pts: 2x2,Grand Slam LDN,85KG,8F,2022
31647,11658,Lucas Gualberto,6368,Kevin Mahecha,L,0,"Pts: 0x0, Adv",Pan American,76KG,R1,2022
32158,11658,Lucas Gualberto,2035,Vitor Oliveira,L,0,Pts: 5x0,Brasileiro,76KG,4F,2022
32933,11658,Lucas Gualberto,6432,Yan Lucas,L,0,"Pts: 0x0, Adv",World Champ.,82KG,R1,2022
33146,11658,Lucas Gualberto,9793,Alexandre Jesus,L,0,Pts: 3x0,EUG 4,82KG,4F,2022
34012,11658,Lucas Gualberto,12506,Jansen Gomes,L,0,Pts: 3x0,Grand Slam RJ,85KG,R1,2022
35144,11658,Lucas Gualberto,13076,Francisco Lo,L,0,Triangle,SP Open,82KG,F,2022
35166,11658,Lucas Gualberto,13053,Luis Oliveira,L,0,Triangle,SP Open,ABS,R1,2022
37056,11658,Lucas Gualberto,,Wallisson Oliveira,L,0,Referee Decision,Rio SMO,ABS,SF,2023
38439,11658,Lucas Gualberto,8357,Gustavo Batista,L,0,Kneebar,Pan American,88KG,4F,2023
39513,11658,Lucas Gualberto,12243,Leon Brito,L,0,Armbar,Brasileiro,88KG,4F,2023
40307,11658,Lucas Gualberto,12544,Mateus Rodrigues,L,0,Toe hold,World Champ.,88KG,R1,2023
42058,11658,Lucas Gualberto,11685,Anderson Munis,L,0,"Pts: 0x0, Adv",Floripa WO,ABS,SF,2023
42752,11658,Lucas Gualberto,9067,Leonardo Lara,L,0,Referee Decision,Sul Americano,88KG,4F,2023
24272,11658,Lucas Gualberto,,Lucas Silva,W,1,Kimura,Brasileiro CBJJE,82KG,SF,2020
