match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
26600,11697,Tainan Dalpra,12122,Mica Galvao,L,0,Referee Decision,EUG 2,77KG,SF,2021
40297,11697,Tainan Dalpra,12506,Jansen Gomes,L,0,"Pts: 0x0, Adv",World Champ.,82KG,F,2023
25197,11697,Tainan Dalpra,12566,Rodrigo Tatu,W,1,Cross choke,Dallas Open,82KG,4F,2021
25200,11697,Tainan Dalpra,4655,Michael Liera,W,1,Pts: 5x2,Dallas Open,82KG,SF,2021
25201,11697,Tainan Dalpra,9217,Caio Caetano,W,1,Choke from back,Dallas Open,82KG,F,2021
25211,11697,Tainan Dalpra,8634,Rafael Vasconcelos,W,1,Pts: 2x0,Dallas Open,ABS,4F,2021
25416,11697,Tainan Dalpra,,Alexander Lane,W,1,Armbar,Orlando Open,82KG,4F,2021
25420,11697,Tainan Dalpra,9217,Caio Caetano,W,1,Choke from back,Orlando Open,82KG,SF,2021
25421,11697,Tainan Dalpra,10506,Jeferson Guaresi,W,1,Pts: 5x0,Orlando Open,82KG,F,2021
25740,11697,Tainan Dalpra,,Eric Ingram,W,1,Triangle,Charleston Open,82KG,SF,2021
25742,11697,Tainan Dalpra,12338,Gialysson Freitas,W,1,Kneebar,Charleston Open,82KG,F,2021
25800,11697,Tainan Dalpra,,Arian Macedo,W,1,Submission,Houston Open,82KG,SF,2021
25801,11697,Tainan Dalpra,10835,Eduardo Avelar,W,1,Armbar,Houston Open,82KG,F,2021
25816,11697,Tainan Dalpra,,Joshua Guerra,W,1,Choke from back,Houston Open,ABS,R1,2021
25819,11697,Tainan Dalpra,12069,Bruno Matias,W,1,Ezekiel,Houston Open,ABS,4F,2021
25822,11697,Tainan Dalpra,,Joseph Watson,W,1,Pts: 72x0,Houston Open,ABS,SF,2021
25950,11697,Tainan Dalpra,10658,Matheus Luna,W,1,Armbar,Artista JJ,N/A,SPF,2021
26267,11697,Tainan Dalpra,,Giann Moramarco,W,1,Choke from back,Miami Open,82KG,SF,2021
26269,11697,Tainan Dalpra,,Lucas Valle,W,1,Choke from back,Miami Open,82KG,F,2021
26597,11697,Tainan Dalpra,,Cesar Predes,W,1,Reverse triangle,EUG 2,77KG,4F,2021
26765,11697,Tainan Dalpra,,Athos Miranda,W,1,Choke from back,BJJ Stars,82KG,SPF,2021
26943,11697,Tainan Dalpra,,Rennick Kama,W,1,Choke from back,Austin Open,88KG,SF,2021
26944,11697,Tainan Dalpra,,Nathan Santos,W,1,Armbar,Austin Open,88KG,F,2021
