match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
13913,11735,Nicky Ryan,4328,AJ Agazarm,L,0,Pts: 2x0,ADCC,66KG,E1,2017
21873,11735,Nicky Ryan,2999,Paulo Miyao,L,0,Pts: 2x0,ADCC,66KG,4F,2019
23749,11735,Nicky Ryan,12003,Tye Ruotolo,L,0,Referee Decision,WNO,75KG,SPF,2020
35021,11735,Nicky Ryan,7539,Renato Canuto,L,0,Pts: 5x0,ADCC,77KG,R1,2022
21865,11735,Nicky Ryan,7002,Jamil Hill-Taylor,W,1,Pts: 2x0,ADCC,66KG,R1,2019
23448,11735,Nicky Ryan,,JZ Cavalcante,W,1,Inside heel hook,Sub Stars,N/A,SPF,2020
24077,11735,Nicky Ryan,,Tony Ramos,W,1,Outside heel hook,WNO 4,75KG,SPF,2020
25964,11735,Nicky Ryan,9344,PJ Barch,W,1,Referee Decision,WNO 8,83KG,SPF,2021
26298,11735,Nicky Ryan,9250,Gabriel Almeida,W,1,Referee Decision,WNO 9,83KG,SPF,2021
26919,11735,Nicky Ryan,8116,Dante Leon,W,1,Pts: 5x0,Road to ADCC,77KG,SPF,2021
41997,11735,Nicky Ryan,,Rene Sousa,W,1,Referee Decision,WNO 19,77KG,SPF,2023
42512,11735,Nicky Ryan,11111,Santeri Lilius,D,0.5,---,Quintet 4,ABS,NA,2023
