match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
24080,11762,Elisabeth Clay,595,Gabrielle Garcia,L,0,Referee Decision,WNO 4,ABS,SPF,2020
24537,11762,Elisabeth Clay,11656,Rafaela Guedes,L,0,Referee Decision,F2W 158,70KG,SPF,2020
25218,11762,Elisabeth Clay,,Jennifer Case,L,0,Referee Decision,Dallas Open,ABS,4F,2021
26921,11762,Elisabeth Clay,6979,Ana Vieira,L,0,Pts: 2x0,Road to ADCC,O60KG,SPF,2021
27664,11762,Elisabeth Clay,6979,Ana Vieira,L,0,Pts: 6x0,Pan American,74KG,F,2021
27675,11762,Elisabeth Clay,7535,Bianca Basilio,L,0,Pts: 5x0,Pan American,ABS,4F,2021
27895,11762,Elisabeth Clay,11656,Rafaela Guedes,L,0,Referee Decision,WNO Champ.,ABS,4F,2021
28373,11762,Elisabeth Clay,11656,Rafaela Guedes,L,0,Pts: 10x0,NoGi Worlds,ABS,F,2021
28735,11762,Elisabeth Clay,10100,Thamara Ferreira,L,0,Toe hold,F2W 186,70KG,SPF,2021
29594,11762,Elisabeth Clay,,Izadora Cristina,L,0,Referee Decision,World Champ.,ABS,R1,2021
29642,11762,Elisabeth Clay,6979,Ana Vieira,L,0,Referee Decision,World Champ.,74KG,F,2021
31571,11762,Elisabeth Clay,12639,Amy Campo,L,0,Pts: 13x0,ADCC WC Trials,O60KG,SF,2022
32226,11762,Elisabeth Clay,,Sabatha Lais,L,0,"Pts: 0x0, Adv",Brasileiro,74KG,F,2022
32232,11762,Elisabeth Clay,,Carina Santi,L,0,Pts: 2x0,Brasileiro,ABS,4F,2022
33091,11762,Elisabeth Clay,12845,Thalyta Silva,L,0,"Pts: 0x0, Adv",World Champ.,69KG,4F,2022
33456,11762,Elisabeth Clay,12639,Amy Campo,L,0,"Pts: 4x4, Adv",American Nat.,ABS,F,2022
34213,11762,Elisabeth Clay,1119,Beatriz Mesquita,L,0,Referee Decision,WNO 14,NA,SPF,2022
34691,11762,Elisabeth Clay,,Izadora Cristina,L,0,Pts: 5x2,Grand Slam MIA,70KG,F,2022
35088,11762,Elisabeth Clay,12639,Amy Campo,L,0,Pts: 3x0,ADCC,O60KG,4F,2022
37267,11762,Elisabeth Clay,10153,Gabrieli Pessanha,L,0,Choke,European Open,ABS,4F,2023
37298,11762,Elisabeth Clay,11909,Vannessa Griffin,L,0,Pts: 8x6,European Open,69KG,SF,2023
38327,11762,Elisabeth Clay,,Tamiris Silva,L,0,"Pts: 0x0, Adv",Pan American,ABS,R1,2023
39579,11762,Elisabeth Clay,12845,Thalyta Silva,L,0,"Pts: 2x2, Adv",Brasileiro,ABS,SF,2023
39614,11762,Elisabeth Clay,12845,Thalyta Silva,L,0,Referee Decision,Brasileiro,69KG,SF,2023
40431,11762,Elisabeth Clay,11909,Vannessa Griffin,L,0,"Pts: 4x4, Adv",World Champ.,69KG,4F,2023
40464,11762,Elisabeth Clay,12639,Amy Campo,L,0,Pts: 17x0,World Champ.,ABS,4F,2023
41180,11762,Elisabeth Clay,10100,Thamara Ferreira,L,0,Pts: 2x0,American Nats,64KG,F,2023
41189,11762,Elisabeth Clay,10100,Thamara Ferreira,L,0,Pts: 12x10,American Nats,ABS,SF,2023
23747,11762,Elisabeth Clay,,Chelsah Lyons,W,1,Outside heel hook,WNO,68KG,SPF,2020
23759,11762,Elisabeth Clay,10885,Kendall Reusing,W,1,Referee Decision,F2W 143,ABS,SPF,2020
23835,11762,Elisabeth Clay,5263,Luiza Monteiro,W,1,Outside heel hook,F2W 147,70KG,SPF,2020
23857,11762,Elisabeth Clay,10895,Maggie Grindatti,W,1,Gogoplata,WNO,70KG,SPF,2020
24303,11762,Elisabeth Clay,,Jacquelyn Gola,W,1,Inside heel hook,Subversiv 4,ABS,R1,2020
24317,11762,Elisabeth Clay,,Tara White,W,1,Inside heel hook,Subversiv 4,ABS,4F,2020
24323,11762,Elisabeth Clay,,Britney Elkin,W,1,Gogoplata,Subversiv 4,ABS,SF,2020
25214,11762,Elisabeth Clay,,Melisa Cueto,W,1,Pts: 4x2,Dallas Open,74KG,F,2021
25252,11762,Elisabeth Clay,8759,Maria Malyjasiak,W,1,Toe hold,F2W 165,70KG,SPF,2021
25989,11762,Elisabeth Clay,,Andressa Cintra,W,1,Kneebar,SUBVERSIV 5,70KG,SPF,2021
26189,11762,Elisabeth Clay,,Bridget Mceliece,W,1,Toe hold,NoGi Pan Am.,71KG,F,2021
26221,11762,Elisabeth Clay,,Bridget Mceliece,W,1,Straight ankle lock,NoGi Pan Am.,ABS,R1,2021
26223,11762,Elisabeth Clay,11909,Vannessa Griffin,W,1,Outside heel hook,NoGi Pan Am.,ABS,4F,2021
26226,11762,Elisabeth Clay,8759,Maria Malyjasiak,W,1,Straight ankle lock,NoGi Pan Am.,ABS,SF,2021
26228,11762,Elisabeth Clay,10885,Kendall Reusing,W,1,Violin armlock,NoGi Pan Am.,ABS,F,2021
26707,11762,Elisabeth Clay,,Alessandra Moss,W,1,Armbar,American Nats,74KG,SF,2021
26708,11762,Elisabeth Clay,,Melissa Cueto,W,1,Straight ankle lock,American Nats,74KG,F,2021
26709,11762,Elisabeth Clay,,Mayara Custodio,W,1,Straight ankle lock,American Nats,ABS,4F,2021
