match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
21848,11789,Mason Fowler,8346,Craig Jones,L,0,Arm in guillotine,ADCC,88KG,4F,2019
25582,11789,Mason Fowler,8974,Kaynan Duarte,L,0,Points,3CG 6 Absolute,ABS,SF,2021
33286,11789,Mason Fowler,12122,Mica Galvao,D,0.5,---,Polaris 20,ABS,RR,2022
35042,11789,Mason Fowler,,Eoghan Oflanagan,L,0,Outside heel hook,ADCC,88KG,4F,2022
37153,11789,Mason Fowler,8974,Kaynan Duarte,L,0,RNC,European Open,ABS,SF,2023
19117,11789,Mason Fowler,,D. Lee,W,1,RNC,ADCC WC Trials,99KG,R1,2019
19120,11789,Mason Fowler,,Collin Hart,W,1,Pts: 2x0,ADCC WC Trials,99KG,R2,2019
19123,11789,Mason Fowler,,Stephen Martinez,W,1,Pts: 4x0,ADCC WC Trials,99KG,4F,2019
19125,11789,Mason Fowler,7502,Paul Ardila,W,1,Referee Decision,ADCC WC Trials,99KG,SF,2019
19128,11789,Mason Fowler,,Diego Vazquez,W,1,Choke,ADCC WC Trials,99KG,F,2019
21844,11789,Mason Fowler,10501,Valdir Araujo,W,1,Referee Decision,ADCC,88KG,R1,2019
23791,11789,Mason Fowler,,Warren Brooks,W,1,EBI/OT,SUG 15,ABS,4F,2020
23793,11789,Mason Fowler,11049,Kody Steele,W,1,EBI/OT,SUG 15,ABS,SF,2020
23795,11789,Mason Fowler,10880,Roberto Jimenez,W,1,EBI/OT,SUG 15,ABS,F,2020
23833,11789,Mason Fowler,8346,Craig Jones,W,1,EBI/OT,SUG 16,ABS,SPF,2020
23913,11789,Mason Fowler,8346,Craig Jones,W,1,EBI/OT,SUG 17,ABS,SPF,2020
24090,11789,Mason Fowler,733,Vinny Magalhaes,W,1,EBI/OT,SUG 18,N/A,SPF,2020
24997,11789,Mason Fowler,,Satoshi Ishii,W,1,EBI/OT,SUG 19,ABS,SPF,2020
25002,11789,Mason Fowler,,Ryan Bader,W,1,Violin armlock,SUG 20,ABS,SPF,2020
25491,11789,Mason Fowler,6531,Richie Martinez,W,1,Armbar,SUG 21,ABS,SPF,2021
25577,11789,Mason Fowler,5636,Manuel Ribamar,W,1,Short choke,3CG 6 Absolute,ABS,4F,2021
25952,11789,Mason Fowler,12703,Andy Varela,W,1,EBI/OT,SUG 22,ABS,SPF,2021
26293,11789,Mason Fowler,,Kyle Chambers,W,1,RNC,SUG 23,ABS,SPF,2021
27889,11789,Mason Fowler,11797,Giancarlo Bodoni,W,1,Referee Decision,WNO Champ.,ABS,4F,2021
28380,11789,Mason Fowler,,Gabriel Checco,W,1,EBI/OT,SUG 27,ABS,SPF,2021
28918,11789,Mason Fowler,,Frisco DeLeon,W,1,Triangle armbar,ADCC EC Trials,99KG,R2,2021
28924,11789,Mason Fowler,,Eric Kovac,W,1,RNC,ADCC EC Trials,99KG,R3,2021
28930,11789,Mason Fowler,11354,Brian Giorgio,W,1,RNC,ADCC EC Trials,99KG,4F,2021
28935,11789,Mason Fowler,,Mario Gonzalez,W,1,Pts: 2x0,ADCC EC Trials,99KG,SF,2021
28936,11789,Mason Fowler,9157,Devhonte Johnson,W,1,Referee Decision,ADCC EC Trials,99KG,F,2021
29848,11789,Mason Fowler,,Chris Shahgholi,W,1,Triangle,RSC Promo.,N/A,SPF,2022
32202,11789,Mason Fowler,8195,Gutemberg Pereira,W,1,Choke from back,Brasileiro,O100KG,4F,2022
32206,11789,Mason Fowler,,Herico Hesley,W,1,Choke from back,Brasileiro,O100KG,SF,2022
32208,11789,Mason Fowler,11862,Pedro Alex,W,1,Choke from back,Brasileiro,O100KG,F,2022
33265,11789,Mason Fowler,,Kywan Gracie,W,1,Armbar,Polaris 20,ABS,RR,2022
33268,11789,Mason Fowler,11497,Fabricio Andrey,D,0.5,---,Polaris 20,ABS,RR,2022
33279,11789,Mason Fowler,11145,Igor Tanabe,D,0.5,---,Polaris 20,ABS,RR,2022
35037,11789,Mason Fowler,9793,Alexandre Jesus,W,1,Guillotine,ADCC,88KG,R1,2022
36940,11789,Mason Fowler,,Pat Shahgholi,W,1,Armbar,UFC Invitational,ABS,4F,2022
36943,11789,Mason Fowler,4430,Patrick Gaudio,W,1,Triangle,UFC Invitational,ABS,SF,2022
36945,11789,Mason Fowler,,Nick Griffith,W,1,EBI/OT,UFC Invitational,ABS,F,2022
37145,11789,Mason Fowler,,Sean Coates,W,1,INJ (knee),European Open,ABS,R2,2023
37148,11789,Mason Fowler,12506,Jansen Gomes,W,1,Kneebar,European Open,ABS,4F,2023
37253,11789,Mason Fowler,,Luiz Bonfim,W,1,Omoplata,European Open,O100KG,4F,2023
37258,11789,Mason Fowler,9515,Seif Houmine,W,1,Pts: 4x3,European Open,O100KG,SF,2023
37259,11789,Mason Fowler,13241,Kjetil Lydvo,W,1,RNC,European Open,O100KG,F,2023
