match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
23734,11794,Willis Nunes,,Lucas Lima,L,0,Botinha,F2W 142,65KG,SPF,2020
23797,11794,Willis Nunes,,Henrique Rossi,L,0,Referee Decision,F2W 145,65KG,SPF,2020
24114,11794,Willis Nunes,6043,Lucas Pinheiro,L,0,Pts: 8x0,Pan American,57KG,SF,2020
24392,11794,Willis Nunes,6043,Lucas Pinheiro,L,0,Points,Houston Open,64KG,SF,2020
27216,11794,Willis Nunes,12251,Roiter Lima,L,0,DQ,Grand Slam MIA,56KG,SF,2021
28216,11794,Willis Nunes,2999,Paulo Miyao,L,0,"Pts: 0x0, Adv",NoGi Worlds,61KG,SF,2021
29465,11794,Willis Nunes,11423,Meyram Maquine,L,0,Pts: 4x0,World Champ.,64KG,4F,2021
31599,11794,Willis Nunes,,Italo Bonfim,L,0,DQ,Pan American,57KG,R1,2022
32471,11794,Willis Nunes,12615,Osamah Almarwai,L,0,RNC,SD NGO,55KG,F,2022
34703,11794,Willis Nunes,,Huthayfah Penney,L,0,DQ,JJ Con,64KG,SF,2022
36805,11794,Willis Nunes,7657,Cleber Sousa,L,0,Pts: 2x0,NoGi Worlds,61KG,4F,2022
38985,11794,Willis Nunes,11093,Emilio Hernandez,L,0,"Pts: 2x2, Adv",Nashville SPO,64KG,SF,2023
39850,11794,Willis Nunes,12247,Jordan Vaisman,L,0,Points,Houston Open,64KG,4F,2023
42260,11794,Willis Nunes,12848,Frank Cespedes,L,0,"Pts: 0x0, Adv",JJ Con,64KG,F,2023
14851,11794,Willis Nunes,,Angelo Guilherme,W,1,Choke,Manaus Pro,62KG,SF,2019
23986,11794,Willis Nunes,,Vinny Saenz,W,1,Points,Oklahoma Open,64KG,SF,2020
23988,11794,Willis Nunes,12303,Marcus Beddor,W,1,Points,Oklahoma Open,64KG,F,2020
24112,11794,Willis Nunes,,Matheus Magalhaes,W,1,Pts: 10x4,Pan American,57KG,4F,2020
24440,11794,Willis Nunes,,Washington Lima,W,1,Guillotine,No Gi Pan Am.,57KG,RR,2020
24441,11794,Willis Nunes,,Washington Lima,W,1,Darce choke,No Gi Pan Am.,57KG,F,2020
27218,11794,Willis Nunes,12848,Frank Cespedes,W,1,Pts: 7x1,Grand Slam MIA,56KG,3RD,2021
28210,11794,Willis Nunes,,John Stapleton,W,1,Pts: 21x0,NoGi Worlds,61KG,8F,2021
28214,11794,Willis Nunes,,Reynaldo Leon,W,1,Pts: 8x0,NoGi Worlds,61KG,4F,2021
28736,11794,Willis Nunes,5114,Joao Somalia,W,1,Referee Decision,F2W 186,60KG,SPF,2021
38984,11794,Willis Nunes,,Luis Ninja,W,1,Pts: 6x0,Nashville SPO,64KG,4F,2023
42258,11794,Willis Nunes,8305,Pedro Dias,W,1,Pts: 2x0,JJ Con,64KG,SF,2023
