match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
24498,11797,Giancarlo Bodoni,5655,Lucas Barbosa,L,0,Pts: 2x0,No Gi Pan Am.,92KG,F,2020
24520,11797,Giancarlo Bodoni,5655,Lucas Barbosa,L,0,Pts: 2x0,No Gi Pan Am.,ABS,4F,2020
25425,11797,Giancarlo Bodoni,8634,Rafael Vasconcelos,L,0,"Pts: 0x0, Adv",Orlando Open,94KG,SF,2021
25431,11797,Giancarlo Bodoni,4655,Michael Liera,L,0,Pts: 2x0,Orlando Open,ABS,R1,2021
25463,11797,Giancarlo Bodoni,11991,Pedro Marinho,L,0,Guillotine,Orlando NGO,91KG,F,2021
25477,11797,Giancarlo Bodoni,9246,Tex Johnson,L,0,Outside heel hook,Orlando NGO,ABS,F,2021
26019,11797,Giancarlo Bodoni,12203,Austin Baker,L,0,"Pts: 0x0, Adv",N.Orleans Open,ABS,SF,2021
26038,11797,Giancarlo Bodoni,7831,Diego Ramalho,L,0,Footlock,N.Orleans NGO,ABS,SF,2021
26219,11797,Giancarlo Bodoni,5655,Lucas Barbosa,L,0,Pts: 2x0,NoGi Pan Am.,ABS,SF,2021
26285,11797,Giancarlo Bodoni,,Jorge Escudero,L,0,Outside heel hook,Miami NGO,91KG,F,2021
27889,11797,Giancarlo Bodoni,11789,Mason Fowler,L,0,Referee Decision,WNO Champ.,ABS,4F,2021
27893,11797,Giancarlo Bodoni,8974,Kaynan Duarte,L,0,Referee Decision,WNO Champ.,ABS,SF,2021
27926,11797,Giancarlo Bodoni,9559,Rida Haisam,L,0,Referee Decision,WNO Champ.,ABS,3RD,2021
28310,11797,Giancarlo Bodoni,8394,Vagner Rocha,L,0,Referee Decision,NoGi Worlds,91KG,8F,2021
29796,11797,Giancarlo Bodoni,,Nick Ronan,L,0,Inside heel hook,Emerald City,ABS,SF,2021
30832,11797,Giancarlo Bodoni,11384,Andre Porfirio,L,0,Pts: 2x0,Dallas NGO,91KG,F,2022
33141,11797,Giancarlo Bodoni,5655,Lucas Barbosa,L,0,Referee Decision,SUBVERSIV 7,83KG,F,2022
35102,11797,Giancarlo Bodoni,7507,Nicholas Meregali,L,0,Pts: 6x2,ADCC,ABS,4F,2022
37780,11797,Giancarlo Bodoni,11991,Pedro Marinho,L,0,Referee Decision,WNO,92KG,SPF,2023
43173,11797,Giancarlo Bodoni,11497,Fabricio Andrey,L,0,Pts: 1x0,Polaris 25,ABS,SF,2023
24495,11797,Giancarlo Bodoni,,Ronnie Pace,W,1,RNC,No Gi Pan Am.,92KG,4F,2020
24497,11797,Giancarlo Bodoni,,Benjamin Silva,W,1,RNC,No Gi Pan Am.,92KG,SF,2020
24511,11797,Giancarlo Bodoni,,John Hansen,W,1,Guillotine,No Gi Pan Am.,ABS,R1,2020
24518,11797,Giancarlo Bodoni,6337,Arnaldo Maidana,W,1,Pts: 4x2,No Gi Pan Am.,ABS,8F,2020
25461,11797,Giancarlo Bodoni,,Charles McGuire,W,1,Short choke,Orlando NGO,91KG,SF,2021
25474,11797,Giancarlo Bodoni,12372,Francisco Cuneo,W,1,Straight ankle lock,Orlando NGO,ABS,4F,2021
25475,11797,Giancarlo Bodoni,7831,Diego Ramalho,W,1,Pts: 5x2,Orlando NGO,ABS,SF,2021
26007,11797,Giancarlo Bodoni,8081,Nathan Mendelsohn,W,1,Pts: 4x3,N.Orleans Open,94KG,F,2021
26012,11797,Giancarlo Bodoni,,Joshua McKinney,W,1,Choke from back,N.Orleans Open,ABS,R1,2021
26016,11797,Giancarlo Bodoni,,Charles McGuire,W,1,Armbar,N.Orleans Open,ABS,4F,2021
26031,11797,Giancarlo Bodoni,,Alika Angerman,W,1,RNC,N.Orleans NGO,91KG,F,2021
26035,11797,Giancarlo Bodoni,,Charles McGuire,W,1,Verbal tap,N.Orleans NGO,ABS,4F,2021
26161,11797,Giancarlo Bodoni,,A. Angerman,W,1,RNC,NoGi Pan Am.,91KG,4F,2021
26163,11797,Giancarlo Bodoni,,Yuri Santos,W,1,Armbar,NoGi Pan Am.,91KG,SF,2021
26164,11797,Giancarlo Bodoni,5655,Lucas Barbosa,W,1,Referee Decision,NoGi Pan Am.,91KG,F,2021
26201,11797,Giancarlo Bodoni,,Romulo Caiado,W,1,Reverse triangle,NoGi Pan Am.,ABS,R1,2021
26212,11797,Giancarlo Bodoni,,Joseph Watson,W,1,"Pts: 2x2, Adv",NoGi Pan Am.,ABS,8F,2021
26217,11797,Giancarlo Bodoni,12069,Bruno Matias,W,1,"Pts: 0x0, Adv",NoGi Pan Am.,ABS,4F,2021
28879,11797,Giancarlo Bodoni,,Logan Yox,W,1,Pts: 3x0,ADCC EC Trials,88KG,R1,2021
28888,11797,Giancarlo Bodoni,,Maxim Cote,W,1,Inside heel hook,ADCC EC Trials,88KG,R2,2021
28899,11797,Giancarlo Bodoni,,Michael Ferrante,W,1,RNC,ADCC EC Trials,88KG,R3,2021
28907,11797,Giancarlo Bodoni,1526,James Brasco,W,1,Armbar,ADCC EC Trials,88KG,R4,2021
28911,11797,Giancarlo Bodoni,,Ryan Aitken,W,1,Pts: 3x0,ADCC EC Trials,88KG,4F,2021
28914,11797,Giancarlo Bodoni,13162,Jacob Couch,W,1,RNC,ADCC EC Trials,88KG,SF,2021
28915,11797,Giancarlo Bodoni,12922,Elder Cruz,W,1,Pts: 3x0,ADCC EC Trials,88KG,F,2021
29795,11797,Giancarlo Bodoni,,Enrique Galarza,W,1,EBI/OT,Emerald City,ABS,4F,2021
30171,11797,Giancarlo Bodoni,465,F. Costa,W,1,Inside heel hook,F2W 193,N/A,SPF,2022
30831,11797,Giancarlo Bodoni,,Thiago Andrade,W,1,Inside heel hook,Dallas NGO,91KG,SF,2022
33130,11797,Giancarlo Bodoni,,Joshua Dawson,W,1,RNC,SUBVERSIV 7,83KG,4F,2022
