match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
23844,11808,Andrew Wiltse,11771,William Tackett,L,0,Inside heel hook,Sub Spectrum,84KG,F,2020
26155,11808,Andrew Wiltse,10506,Jeferson Guaresi,L,0,Referee Decision,NoGi Pan Am.,85KG,F,2021
23789,11808,Andrew Wiltse,,Isiah Wright,W,1,RNC,F2W 144,93KG,SPF,2020
23817,11808,Andrew Wiltse,6836,John Combs,W,1,Referee Decision,F2W 146,82KG,SPF,2020
23842,11808,Andrew Wiltse,,P.O. Leclerc,W,1,Points,Sub Spectrum,84KG,SF,2020
24489,11808,Andrew Wiltse,,Victor Silva,W,1,Pts: 7x0,No Gi Pan Am.,85KG,4F,2020
24491,11808,Andrew Wiltse,,Cameron Guilliam,W,1,Pts: 2x0,No Gi Pan Am.,85KG,SF,2020
24492,11808,Andrew Wiltse,11027,Pedro Rocha,W,1,"Pts: 0x0, Pen",No Gi Pan Am.,85KG,F,2020
25171,11808,Andrew Wiltse,9344,PJ Barch,W,1,Referee Decision,WNO 6,84KG,SPF,2021
25961,11808,Andrew Wiltse,9668,David Garmo,W,1,RNC,WNO 8,83KG,SPF,2021
26148,11808,Andrew Wiltse,,Vinicius Wong,W,1,RNC,NoGi Pan Am.,85KG,8F,2021
26152,11808,Andrew Wiltse,,Pedro Palhares,W,1,Pts: 2x0,NoGi Pan Am.,85KG,4F,2021
26154,11808,Andrew Wiltse,6836,John Combs,W,1,"Pts: 0x0, Adv",NoGi Pan Am.,85KG,SF,2021
26603,11808,Andrew Wiltse,9250,Gabriel Almeida,W,1,RNC,WNO 10,83KG,SPF,2021
