match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
24784,11862,Pedro Alex,11693,Erich Munis,L,0,Referee Decision,Grand Slam RJ,120KG,RPC,2020
24877,11862,Pedro Alex,,Darlan Casaca,L,0,Pts: 4x2,South American,ABS,R1,2020
25349,11862,Pedro Alex,4521,Erberth Santos,L,0,Pts: 2x0,Rio Open,O100KG,F,2021
26061,11862,Pedro Alex,13339,Pedro Lucas,L,0,Kneebar,Copa Podio,98KG,F,2021
26461,11862,Pedro Alex,11685,Anderson Munis,L,0,Pts: 2x0,SA Cont. Pro,120KG,4F,2021
26848,11862,Pedro Alex,5842,Mahamed Aly,L,0,Referee Decision,Big Deal Pro 3,O100KG,SPF,2021
27443,11862,Pedro Alex,,Vinicius Reis,L,0,Pts: 5x0,Sul Americano,ABS,8F,2021
28094,11862,Pedro Alex,12055,Yatan Bueno,L,0,Pts: 5x0,Brasileiro,O100KG,SF,2021
28098,11862,Pedro Alex,11693,Erich Munis,L,0,Pts: 4x2,Brasileiro,ABS,8F,2021
28595,11862,Pedro Alex,7552,Isaque Bahiense,L,0,Referee Decision,Grand Slam RJ,120KG,F,2021
29905,11862,Pedro Alex,,Wildemar Matheus,L,0,"Pts: 0x0, Adv",Rio SMO,O100KG,F,2022
30097,11862,Pedro Alex,11499,Roosevelt Sousa,L,0,Calf slicer,ADCC BR1 Trials,O99KG,F,2022
30407,11862,Pedro Alex,,Vinicius Castro,L,0,Referee Decision,ADCC BR2 Trials,O99KG,8F,2022
32130,11862,Pedro Alex,,Diogo Nascimento,L,0,Injury,Brasileiro,ABS,4F,2022
32208,11862,Pedro Alex,11789,Mason Fowler,L,0,Choke from back,Brasileiro,O100KG,F,2022
33029,11862,Pedro Alex,8974,Kaynan Duarte,L,0,Arm in Ezekiel,World Champ.,ABS,8F,2022
34066,11862,Pedro Alex,12055,Yatan Bueno,L,0,Referee Decision,Grand Slam RJ,120KG,SF,2022
38148,11862,Pedro Alex,,Antonio Assef,L,0,DQ,Curitiba SMNGO,O97KG,F,2023
39543,11862,Pedro Alex,,Cleyton Flores,L,0,Referee Decision,Brasileiro,O100KG,SF,2023
39561,11862,Pedro Alex,10159,Victor Hugo,L,0,Kneebar,Brasileiro,ABS,SF,2023
40372,11862,Pedro Alex,,Roosevel Sousa,L,0,Pts: 2x0,World Champ.,O100KG,8F,2023
40488,11862,Pedro Alex,8974,Kaynan Duarte,L,0,Armbar,World Champ.,ABS,4F,2023
41535,11862,Pedro Alex,,Alejandro Tolmos,L,0,Inside heel hook,Austin NGO,ABS,F,2023
41606,11862,Pedro Alex,,Declan Moody,L,0,Inside heel hook,Sub Hunter 84,ABS,4F,2023
42358,11862,Pedro Alex,6337,Arnaldo Maidana,L,0,RNC,JJ Con NG,O97KG,F,2023
42935,11862,Pedro Alex,11499,Roosevelt Sousa,L,0,Pts: 2x2,ADGS Miami,120KG,F,2023
43296,11862,Pedro Alex,,Jose Inacio,L,0,Referee Decision,NoGi Pan,O97KG,4F,2023
24773,11862,Pedro Alex,,Everton Silva,W,1,Pts: 8x2,Grand Slam RJ,120KG,8F,2020
24782,11862,Pedro Alex,10644,Marcelo Gomide,W,1,Ezekiel,Grand Slam RJ,120KG,RPC,2020
24946,11862,Pedro Alex,,Fernando Matos,W,1,Arm in Ezekiel,South American,O100KG,R1,2020
24948,11862,Pedro Alex,6631,Igor Schneider,W,1,Short choke,South American,O100KG,4F,2020
24950,11862,Pedro Alex,,Cleyton Flores,W,1,Points,South American,O100KG,F,2020
25341,11862,Pedro Alex,,Fernando Matos,W,1,Pts: 5x0,Rio Open,O100KG,R1,2021
25344,11862,Pedro Alex,,Otavio Serafim,W,1,Referee Decision,Rio Open,O100KG,4F,2021
25347,11862,Pedro Alex,6631,Igor Schneider,W,1,Referee Decision,Rio Open,O100KG,SF,2021
26042,11862,Pedro Alex,,Luciano Alfonso,W,1,Pts: 3x0,Copa Podio,98KG,RR,2021
26050,11862,Pedro Alex,12084,G. Lambertucci,D,0.5,---,Copa Podio,98KG,RR,2021
26053,11862,Pedro Alex,13339,Pedro Lucas,D,0.5,---,Copa Podio,98KG,RR,2021
26057,11862,Pedro Alex,10644,Marcelo Gomide,W,1,Kneebar,Copa Podio,98KG,RR,2021
26060,11862,Pedro Alex,12243,Leon Brito,W,1,Kneebar,Copa Podio,98KG,SF,2021
26457,11862,Pedro Alex,11215,Harryson Pereira,W,1,Pts: 2x0,SA Cont. Pro,120KG,R2,2021
26467,11862,Pedro Alex,6631,Igor Schneider,W,1,Pts: 4x1,SA Cont. Pro,120KG,RPC,2021
26798,11862,Pedro Alex,,Joao Gozzano,W,1,Ezekiel,Rio Winter Open,O100KG,SF,2021
26799,11862,Pedro Alex,,Agnaldo Silveira,W,1,Pts: 8x0,Rio Winter Open,O100KG,F,2021
26800,11862,Pedro Alex,,Hemerson Leao,W,1,Choke from back,Rio Winter Open,ABS,R1,2021
26802,11862,Pedro Alex,,Cleyton Flores,W,1,Pts: 9x0,Rio Winter Open,ABS,4F,2021
26805,11862,Pedro Alex,13031,Lucas Lisboa,W,1,Ezekiel,Rio Winter Open,ABS,SF,2021
26806,11862,Pedro Alex,,Joao Carlos,W,1,Short choke,Rio Winter Open,ABS,F,2021
26814,11862,Pedro Alex,,Elionai Braz,W,1,Pts: 6x0,Rio Winter NGO,ABS,4F,2021
26815,11862,Pedro Alex,,Maique Azevedo,W,1,Pts: 2x0,Rio Winter NGO,ABS,SF,2021
