match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2805,1188,Leandro Lo,446,Gilbert Burns,L,0,Pts: 2x0,World Pro Trials,77KG,SF,2011
2878,1188,Leandro Lo,188,Augusto Mendes,L,0,Pts: 4x0,Pan American,76KG,R1,2011
3110,1188,Leandro Lo,788,Kron Gracie,L,0,Choke from back,World Champ.,76KG,4F,2011
3404,1188,Leandro Lo,984,Marcus Almeida,L,0,"Pts: 6x6, Adv",Pan Am CBJJE,ABS,SF,2011
3551,1188,Leandro Lo,1236,Antonio Carlos,L,0,Flying triangle,Pan American,ABS,R2,2012
3691,1188,Leandro Lo,2107,Otavio Sousa,D,0.5,---,Copa Podio,85KG,GP,2012
3781,1188,Leandro Lo,358,Lucas Lepri,L,0,Points,World Pro.,76KG,SF,2012
3852,1188,Leandro Lo,911,Antonio Peinado,L,0,Referee Decision,Brasileiro,ABS,R1,2012
3904,1188,Leandro Lo,1236,Antonio Carlos,L,0,"Pts: 2x2, Adv",World Champ.,ABS,R2,2012
4229,1188,Leandro Lo,188,Augusto Mendes,L,0,Pts: 9x0,NoGi Worlds,76KG,SF,2012
4281,1188,Leandro Lo,84,Alexandre Ribeiro,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,F,2012
4520,1188,Leandro Lo,2452,Orlando Sanchez,L,0,Referee Decision,Pan American,ABS,R2,2013
4594,1188,Leandro Lo,2035,Vitor Oliveira,L,0,Points,Pan American,82KG,4F,2013
4757,1188,Leandro Lo,425,Bernardo Faria,L,0,Points,World Champ.,ABS,4F,2013
5108,1188,Leandro Lo,446,Gilbert Burns,L,0,Pts: 3x0,NoGi Worlds,79KG,SF,2013
5323,1188,Leandro Lo,144,Andre Galvao,L,0,Adv,Pan American,ABS,F,2014
5584,1188,Leandro Lo,247,Rodolfo Vieira,L,0,Choke from back,Copa Podio,94KG,F,2014
5632,1188,Leandro Lo,247,Rodolfo Vieira,L,0,Choke from back,World Pro.,ABS,4F,2014
