match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
32658,12010,Kira Sung,,Hannah Rauch,L,0,Triangle,Denver NGO,69KG,RR,2022
32660,12010,Kira Sung,,Hannah Rauch,L,0,"Pts: 4x4, Adv",Denver NGO,69KG,F,2022
32666,12010,Kira Sung,12639,Amy Campo,L,0,Referee Decision,Denver NGO,ABS,F,2022
33090,12010,Kira Sung,,Andressa Cintra,L,0,Choke from back,World Champ.,69KG,4F,2022
37295,12010,Kira Sung,12845,Thalyta Silva,L,0,"Pts: 2x2, Adv",European Open,69KG,4F,2023
32659,12010,Kira Sung,,Amy Dadwell,W,1,Choke from back,Denver NGO,69KG,RR,2022
32665,12010,Kira Sung,,Hope Douglass,W,1,Toe hold,Denver NGO,ABS,SF,2022
32780,12010,Kira Sung,,Victoria Montrezor,W,1,Lapel choke,Houston Open,69KG,SF,2022
32781,12010,Kira Sung,,Betina Pereira,W,1,Armbar,Houston Open,69KG,F,2022
33085,12010,Kira Sung,11909,Vannessa Griffin,W,1,Pts: 4x2,World Champ.,69KG,R1,2022
