match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
35002,12080,Ruan Alvarenga,9051,Gabriel Sousa,L,0,Pts: 5x0,ADCC,66KG,R1,2022
40028,12080,Ruan Alvarenga,8116,Dante Leon,L,0,RNC,WNO 18,70KG,SPF,2023
25874,12080,Ruan Alvarenga,11497,Fabricio Andrey,W,1,Katagatame,S. American NG,67KG,R1,2021
25878,12080,Ruan Alvarenga,,Jonas Lisboa,W,1,RNC,S. American NG,67KG,4F,2021
25879,12080,Ruan Alvarenga,,Iago Santos,W,1,Inside heel hook,S. American NG,67KG,SF,2021
25881,12080,Ruan Alvarenga,,Yago Rodrigues,W,1,RNC,S. American NG,67KG,F,2021
36548,12080,Ruan Alvarenga,11919,Daniel Maira,W,1,Pts: 13x0,NHaven FNGO,73KG,F,2022
41328,12080,Ruan Alvarenga,,Fernando Favari,W,1,RNC,Betim NGO,73KG,SF,2023
41330,12080,Ruan Alvarenga,,Gabriel Brasil,W,1,RNC,Betim NGO,73KG,F,2023
41881,12080,Ruan Alvarenga,,Artur Oliveira,W,1,Armbar,Vitoria NGO,73KG,F,2023
42004,12080,Ruan Alvarenga,,Desmond McDonald,W,1,Armbar,PLC Peace,76KG,SPF,2023
43013,12080,Ruan Alvarenga,,Yonathan Cardena,W,1,Pts: 4x0,Brasileiro NoGi,73KG,4F,2023
43017,12080,Ruan Alvarenga,,Leo Domingos,W,1,Pts: 4x0,Brasileiro NoGi,73KG,SF,2023
43018,12080,Ruan Alvarenga,,Luiz Pimentel,W,1,RNC,Brasileiro NoGi,73KG,F,2023
