match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
25074,12084,Guilherme Lambertucci,11709,Wallace Costa,L,0,Pts: 6x0,Guarapari Pro,120KG,SF,2021
25334,12084,Guilherme Lambertucci,11685,Anderson Munis,L,0,Choke from back,Rio Open,100KG,R1,2021
25389,12084,Guilherme Lambertucci,,Darlan Casaca,L,0,Adv,Rio Open NG,ABS,SF,2021
25946,12084,Guilherme Lambertucci,9554,Henrique Cardoso,L,0,Pts: 4x2,S. American NG,ABS,F,2021
26046,12084,Guilherme Lambertucci,13339,Pedro Lucas,L,0,Choke from back,Copa Podio,98KG,RR,2021
26050,12084,Guilherme Lambertucci,11862,Pedro Alex,D,0.5,---,Copa Podio,98KG,RR,2021
26450,12084,Guilherme Lambertucci,4430,Patrick Gaudio,L,0,Choke from back,SA Cont. Pro,94KG,SF,2021
26452,12084,Guilherme Lambertucci,9117,Hygor Brito,L,0,Pts: 3x2,SA Cont. Pro,94KG,RPC,2021
26849,12084,Guilherme Lambertucci,4521,Erberth Santos,L,0,RNC,Big Deal Pro 3,O100KG,4F,2021
27124,12084,Guilherme Lambertucci,11709,Wallace Costa,L,0,Pts: 2x1,AJP RJ Pro,120KG,F,2021
27433,12084,Guilherme Lambertucci,11862,Pedro Alex,L,0,Referee Decision,Sul Americano,O100KG,R1,2021
27444,12084,Guilherme Lambertucci,11709,Wallace Costa,L,0,Pts: 3x0,Sul Americano,ABS,8F,2021
29157,12084,Guilherme Lambertucci,11709,Wallace Costa,L,0,Pts: 2x1,BRA Qualifiers,120KG,4F,2021
34335,12084,Guilherme Lambertucci,11709,Wallace Costa,L,0,Referee Decision,Brasileiro NoGi,O97KG,SF,2022
38973,12084,Guilherme Lambertucci,11693,Erich Munis,L,0,Armbar,BJJ Stars,ABS,R1,2023
40536,12084,Guilherme Lambertucci,12055,Yatan Bueno,L,0,Pts: 5x1,Grand Slam RJ,120KG,SF,2023
40541,12084,Guilherme Lambertucci,7537,Felipe Bezerra,L,0,Pts: 2x0,Grand Slam RJ,120KG,3RD,2023
43066,12084,Guilherme Lambertucci,,Antonio Assef,L,0,Pts: 6x2,Brasileiro NoGi,O97KG,F,2023
25076,12084,Guilherme Lambertucci,,Marcelo Monteiro,W,1,Choke from back,Guarapari Pro,120KG,3RD,2021
25129,12084,Guilherme Lambertucci,,Andre Lima,W,1,Triangle,Brazil Nat. Pro,94KG,4F,2021
25131,12084,Guilherme Lambertucci,,Tyrone Gonsalves,W,1,"Pts: 4x4, Adv",Brazil Nat. Pro,94KG,SF,2021
25133,12084,Guilherme Lambertucci,,Nicholas Favaretto,W,1,Katagatame,Brazil Nat. Pro,94KG,F,2021
25382,12084,Guilherme Lambertucci,,Wildemar Matheus,W,1,Inside heel hook,Rio Open NG,97KG,SF,2021
25383,12084,Guilherme Lambertucci,,Marcos Goulart,W,1,Inside heel hook,Rio Open NG,97KG,F,2021
25386,12084,Guilherme Lambertucci,10669,Lucas Alves,W,1,Inside heel hook,Rio Open NG,ABS,R1,2021
25388,12084,Guilherme Lambertucci,,Marcos Goulart,W,1,Inside heel hook,Rio Open NG,ABS,4F,2021
25926,12084,Guilherme Lambertucci,9117,Hygor Brito,W,1,Pts: 2x0,S. American NG,97KG,SF,2021
25928,12084,Guilherme Lambertucci,,Rafael Dutra,W,1,Pts: 4x2,S. American NG,97KG,F,2021
25935,12084,Guilherme Lambertucci,,Matheus Soeiro,W,1,Inside heel hook,S. American NG,ABS,R1,2021
25938,12084,Guilherme Lambertucci,,Brenno Novais,W,1,Inside heel hook,S. American NG,ABS,R2,2021
25943,12084,Guilherme Lambertucci,9956,Vinicius Pereira,W,1,Inside heel hook,S. American NG,ABS,4F,2021
25944,12084,Guilherme Lambertucci,,Antonio Assef,W,1,Inside heel hook,S. American NG,ABS,SF,2021
26054,12084,Guilherme Lambertucci,10644,Marcelo Gomide,W,1,Pts: 2x0,Copa Podio,98KG,RR,2021
26056,12084,Guilherme Lambertucci,,Luciano Alfonso,W,1,"Pts: 2x2, Adv",Copa Podio,98KG,RR,2021
26442,12084,Guilherme Lambertucci,,Pedro Santos,W,1,Toe hold,SA Cont. Pro,94KG,R1,2021
26447,12084,Guilherme Lambertucci,,Rafael Massage,W,1,Pts: 3x2,SA Cont. Pro,94KG,4F,2021
27121,12084,Guilherme Lambertucci,,Salomao Neto,W,1,RNC,AJP RJ Pro,120KG,4F,2021
27122,12084,Guilherme Lambertucci,,Wildemar Santos,W,1,Pts: 5x3,AJP RJ Pro,120KG,SF,2021
27132,12084,Guilherme Lambertucci,,Wildemar Santos,W,1,Pts: 2x0,AJP RJ Pro,HWA,SF,2021
27133,12084,Guilherme Lambertucci,,Maique Azevedo,W,1,Pts: 18x0,AJP RJ Pro,HWA,F,2021
29154,12084,Guilherme Lambertucci,8762,Rodrigo Ribeiro,W,1,Pts: 1x0,BRA Qualifiers,120KG,R1,2021
34334,12084,Guilherme Lambertucci,,Cleyton Flores,W,1,Inside heel hook,Brasileiro NoGi,O97KG,4F,2022
34877,12084,Guilherme Lambertucci,,Marcos Junior,W,1,Armbar,Serra Confere,110KG,4F,2022
34881,12084,Guilherme Lambertucci,12243,Leon Brito,W,1,Kimura,Serra Confere,110KG,SF,2022
34883,12084,Guilherme Lambertucci,12537,Pedro Machado,W,1,Pts: 2x0,Serra Confere,110KG,F,2022
37081,12084,Guilherme Lambertucci,,Alexander Cunha,W,1,RNC,Rio SMNGO,O97KG,SF,2023
37082,12084,Guilherme Lambertucci,,Antonio Assef,W,1,RNC,Rio SMNGO,O97KG,F,2023
37085,12084,Guilherme Lambertucci,,Pierpaolo Chiappe,W,1,Katagatame,Rio SMNGO,ABS,F,2023
40526,12084,Guilherme Lambertucci,,Leonardo Andrade,W,1,Pts: 2x0,Grand Slam RJ,120KG,R1,2023
40533,12084,Guilherme Lambertucci,7537,Felipe Bezerra,W,1,RNC,Grand Slam RJ,120KG,4F,2023
40540,12084,Guilherme Lambertucci,,Raphael Santos,W,1,Submission,Grand Slam RJ,120KG,RPC,2023
41072,12084,Guilherme Lambertucci,13496,Helder Junior,W,1,Cross choke,Betim Open,100KG,4F,2023
41074,12084,Guilherme Lambertucci,,Joao Leal,W,1,Kneebar,Betim Open,100KG,SF,2023
41348,12084,Guilherme Lambertucci,,Fernando Favari,W,1,RNC,Betim NGO,ABS,SF,2023
43064,12084,Guilherme Lambertucci,,Daniel Conceicao,W,1,"Pts: 0x0, Adv",Brasileiro NoGi,O97KG,SF,2023
