match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
18160,12110,Nick Rodriguez,,Hudson Taylor,L,0,Pts: 5x0,ADCC EC Trials,O99KG,SF,2018
21887,12110,Nick Rodriguez,8974,Kaynan Duarte,L,0,Pts: 3x0,ADCC,O99KG,F,2019
22029,12110,Nick Rodriguez,8974,Kaynan Duarte,L,0,Inside heel hook,F2W 128,105KG,SPF,2019
22526,12110,Nick Rodriguez,5655,Lucas Barbosa,L,0,EBI/OT,BJJ Fanatics,ABS,R2,2019
23031,12110,Nick Rodriguez,10159,Victor Hugo,L,0,Referee Decision,F2W 135,120KG,SPF,2020
23203,12110,Nick Rodriguez,224,Roberto Abreu,D,0.5,---,Kasai Pro 7,120KG,RR,2020
23821,12110,Nick Rodriguez,10880,Roberto Jimenez,L,0,Referee Decision,3CG Kumite IV,ABS,4F,2020
25581,12110,Nick Rodriguez,10159,Victor Hugo,L,0,Referee Decision,3CG 6 Absolute,ABS,SF,2021
29822,12110,Nick Rodriguez,12922,Elder Cruz,L,0,Referee Decision,WNO 11,O93KG,SPF,2022
33133,12110,Nick Rodriguez,,Sloan Climer,L,0,Referee Decision,SUBVERSIV 7,ABS,4F,2022
35078,12110,Nick Rodriguez,6550,Gordon Ryan,L,0,Outside heel hook,ADCC,O99KG,F,2022
35105,12110,Nick Rodriguez,1740,Yuri Simoes,L,0,Referee Decision,ADCC,ABS,4F,2022
36948,12110,Nick Rodriguez,6550,Gordon Ryan,L,0,EBI/OT,UFC Invitational,ABS,SPF,2022
37781,12110,Nick Rodriguez,2416,Felipe Pena,L,0,Referee Decision,WNO,ABS,SPF,2023
18155,12110,Nick Rodriguez,,Dylan Rankin,W,1,Kimura,ADCC EC Trials,O99KG,R1,2018
18157,12110,Nick Rodriguez,,Bill Brown,W,1,RNC,ADCC EC Trials,O99KG,4F,2018
18161,12110,Nick Rodriguez,,Andrew Tevay,W,1,Pts: 2x0,ADCC EC Trials,O99KG,3RD,2018
19129,12110,Nick Rodriguez,,Michael Egley,W,1,Pts: 2x0,ADCC WC Trials,O99KG,R1,2019
19131,12110,Nick Rodriguez,,Fernando Iraheta,W,1,Kimura,ADCC WC Trials,O99KG,R2,2019
19132,12110,Nick Rodriguez,,Jimmy Friedrich,W,1,Verbal tap,ADCC WC Trials,O99KG,4F,2019
19134,12110,Nick Rodriguez,,Casey Hellenberg,W,1,Pts: 6x0,ADCC WC Trials,O99KG,SF,2019
19135,12110,Nick Rodriguez,,John Hansen,W,1,RNC,ADCC WC Trials,O99KG,F,2019
19403,12110,Nick Rodriguez,12378,Joe Dierkhising,W,1,Pts: 2x0,Forged in Fire,N/A,SPF,2019
20209,12110,Nick Rodriguez,,Q. Rosenzweig,W,1,RNC,Sub Stars,ABS,SPF,2019
20549,12110,Nick Rodriguez,,Ashley Amos,W,1,RNC,Polaris 10,120KG,SPF,2019
21819,12110,Nick Rodriguez,5842,Mahamed Aly,W,1,Referee Decision,ADCC,O99KG,R1,2019
21825,12110,Nick Rodriguez,2452,Orlando Sanchez,W,1,"Pts: 0x0, Pen",ADCC,O99KG,4F,2019
21886,12110,Nick Rodriguez,224,Roberto Abreu,W,1,Referee Decision,ADCC,O99KG,SF,2019
22522,12110,Nick Rodriguez,4235,Victor Silverio,W,1,EBI/OT,BJJ Fanatics,ABS,R1,2019
22728,12110,Nick Rodriguez,,Luke Rockhold,W,1,Referee Decision,Polaris 12,ABS,SPF,2019
23202,12110,Nick Rodriguez,733,Vinny Magalhaes,D,0.5,---,Kasai Pro 7,120KG,RR,2020
23204,12110,Nick Rodriguez,637,Bruno Bastos,W,1,Outside heel hook,Kasai Pro 7,120KG,RR,2020
23205,12110,Nick Rodriguez,10705,Kyle Boehm,W,1,Pts: 2x0,Kasai Pro 7,120KG,3RD,2020
25395,12110,Nick Rodriguez,1740,Yuri Simoes,W,1,Referee Decision,WNO 7,O99KG,SPF,2021
25579,12110,Nick Rodriguez,11991,Pedro Marinho,W,1,Referee Decision,3CG 6 Absolute,ABS,4F,2021
29781,12110,Nick Rodriguez,,Steve Mowry,W,1,RNC,Fury Pro,ABS,SPF,2021
35068,12110,Nick Rodriguez,,Damon Ramos,W,1,Pts: 8x0,ADCC,O99KG,R1,2022
35075,12110,Nick Rodriguez,,John Hansen,W,1,RNC,ADCC,O99KG,4F,2022
35077,12110,Nick Rodriguez,2416,Felipe Pena,W,1,Pts: 3x0,ADCC,O99KG,SF,2022
35094,12110,Nick Rodriguez,12703,Andy Varela,W,1,Pts: 17x0,ADCC,ABS,8F,2022
41673,12110,Nick Rodriguez,,Philip Rowe,W,1,Points,KBBA Inv.,ABS,SPF,2023
42509,12110,Nick Rodriguez,,Owen Livesey,D,0.5,---,Quintet 4,ABS,NA,2023
42515,12110,Nick Rodriguez,9344,PJ Barch,D,0.5,---,Quintet 4,ABS,NA,2023
