match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
25021,12115,Kieran Kichuk,,Justin Fabac,L,0,outside heel hook,Sub Spectrum,77KG,F,2021
25665,12115,Kieran Kichuk,,Adriano Araujo,L,0,Pts: 4x0,World Pro,77KG,4F,2021
25671,12115,Kieran Kichuk,,Adriano Araujo,L,0,Pts: 4x2,World Pro,77KG,3RD,2021
25723,12115,Kieran Kichuk,,J. Couch,L,0,Pts: 6x0,Sub May Day,ABS,N/A,2021
25734,12115,Kieran Kichuk,12203,Austin Baker,L,0,Injury,SS May Day GI,ABS,F,2021
26119,12115,Kieran Kichuk,7664,Johnny Tama,L,0,"Pts: 0x0, Adv",NoGi Pan Am.,73KG,SF,2021
26940,12115,Kieran Kichuk,12225,Igor Feliz,L,0,Pts: 2x0,Austin Open,76KG,F,2021
28256,12115,Kieran Kichuk,12376,Rodrigo Francioni,L,0,Referee Decision,NoGi Worlds,73KG,4F,2021
28702,12115,Kieran Kichuk,,Liam Hill,L,0,Referee Decision,EUG NoGi,70KG,4F,2021
28858,12115,Kieran Kichuk,12005,Kade Ruotolo,L,0,Arm in RNC,ADCC EC Trials,77KG,R5,2021
29663,12115,Kieran Kichuk,12491,Keith Krikorian,L,0,Inside heel hook,High Rollerz 10K,77KG,F,2021
31460,12115,Kieran Kichuk,,Chris Wojcik,L,0,"Pts: 0x0, Pen",ADCC WC Trials,77KG,4F,2022
35533,12115,Kieran Kichuk,9934,Deandre Corbe,L,0,Pts: 2x0,NoGi Pan,73KG,F,2022
36829,12115,Kieran Kichuk,,Ellis Younger,L,0,Pts: 9x4,NoGi Worlds,73KG,4F,2022
37776,12115,Kieran Kichuk,,Rene Sousa,L,0,N/A,WNO,77KG,SPF,2023
39149,12115,Kieran Kichuk,,Martin Demers,L,0,Submission,ADCC CAN,76KG,F,2023
41678,12115,Kieran Kichuk,,Pierre Leclerc,L,0,Straight ankle lock,Oshawa OP,77KG,RR,2023
43125,12115,Kieran Kichuk,,Max Hanson,L,0,Shoulder lock,Enigma Inv,77KG,F,2023
43259,12115,Kieran Kichuk,11707,Oliver Taza,L,0,Inside heel hook,NoGi Pan,79KG,F,2023
25014,12115,Kieran Kichuk,,S. Oberbroeckling,W,1,Armbar,Sub Spectrum,ABS,R1,2021
25015,12115,Kieran Kichuk,,Mahmoud Jabr,W,1,Inside heel hook,Sub Spectrum,ABS,4F,2021
25016,12115,Kieran Kichuk,,Vikenty Mikheev,W,1,Triangle,Sub Spectrum,ABS,SF,2021
25017,12115,Kieran Kichuk,,Johnathan Gutta,W,1,Triangle,Sub Spectrum,ABS,F,2021
25018,12115,Kieran Kichuk,,Brady Rude,W,1,Triangle,Sub Spectrum,77KG,R1,2021
25019,12115,Kieran Kichuk,,Joe Connor,W,1,Triangle,Sub Spectrum,77KG,4F,2021
25020,12115,Kieran Kichuk,,Victor Borja,W,1,Inside heel hook,Sub Spectrum,77KG,SF,2021
25022,12115,Kieran Kichuk,,Hayden Bucner,W,1,Pts: 5x0,Sub S. GI,77KG,N/A,2021
25662,12115,Kieran Kichuk,,Alberto Serrano,W,1,Choke from back,World Pro,77KG,R1,2021
25669,12115,Kieran Kichuk,,Bruno Borges,W,1,Pts: 3x0,World Pro,77KG,RPC,2021
25670,12115,Kieran Kichuk,,Andre Cantanhede,W,1,Triangle,World Pro,77KG,RPC,2021
25720,12115,Kieran Kichuk,,Josh Hamilton,W,1,Triangle,Sub May Day,ABS,N/A,2021
25725,12115,Kieran Kichuk,,Justin Fabac,W,1,RNC,Sub May Day,ABS,N/A,2021
25726,12115,Kieran Kichuk,,Justin Fabac,W,1,RNC,Sub May Day,77KG,N/A,2021
25727,12115,Kieran Kichuk,,Marc Hummel,W,1,Guillotine,Sub May Day,77KG,N/A,2021
25728,12115,Kieran Kichuk,,Matthew Marsh,W,1,Triangle,Sub May Day,77KG,N/A,2021
25729,12115,Kieran Kichuk,,David Clothe,W,1,Inside heel hook,Sub May Day,77KG,N/A,2021
25731,12115,Kieran Kichuk,,Josh Hamilton,W,1,Bow and arrow,SS May Day GI,ABS,4F,2021
25733,12115,Kieran Kichuk,,Zach Snyder,W,1,Choke from back,SS May Day GI,ABS,SF,2021
26000,12115,Kieran Kichuk,9407,Alexandre Molinaro,W,1,Choke from back,N.Orleans Open,76KG,SF,2021
26001,12115,Kieran Kichuk,,Peygan Lafont,W,1,Armbar,N.Orleans Open,76KG,F,2021
26026,12115,Kieran Kichuk,,Peygan Lafont,W,1,Inside heel hook,N.Orleans NGO,73KG,4F,2021
26027,12115,Kieran Kichuk,12372,Francisco Cuneo,W,1,Triangle,N.Orleans NGO,73KG,F,2021
26101,12115,Kieran Kichuk,,Romulo Caiado,W,1,Brabo choke,NoGi Pan Am.,73KG,R1,2021
26110,12115,Kieran Kichuk,10220,Paulo Gabriel,W,1,Inside heel hook,NoGi Pan Am.,73KG,8F,2021
26114,12115,Kieran Kichuk,9074,Joao Mendes,W,1,Inside heel hook,NoGi Pan Am.,73KG,4F,2021
26937,12115,Kieran Kichuk,,Gino Ferrazzano,W,1,Triangle,Austin Open,76KG,4F,2021
26939,12115,Kieran Kichuk,10352,Leo Silva,W,1,"Pts: 2x2, Adv",Austin Open,76KG,SF,2021
26962,12115,Kieran Kichuk,,Michael Esquivel,W,1,Kneebar,Austin NGO,79KG,SF,2021
26964,12115,Kieran Kichuk,12235,Alan Sanchez,W,1,Pts: 4x2,Austin NGO,79KG,F,2021
26989,12115,Kieran Kichuk,,Julien Moreno,W,1,Inside heel hook,White Lion,ABS,4F,2021
26991,12115,Kieran Kichuk,,Felipe Porto,W,1,EBI/OT,White Lion,ABS,SF,2021
26993,12115,Kieran Kichuk,,Rodrigo Gortari,W,1,EBI/OT,White Lion,ABS,F,2021
27010,12115,Kieran Kichuk,,Leonidis Villagran,W,1,RNC,Orlando NGO,73KG,SF,2021
27011,12115,Kieran Kichuk,,Ricky Semiglia,W,1,Inside heel hook,Orlando NGO,73KG,F,2021
28239,12115,Kieran Kichuk,,Minoru Takeuchi,W,1,Pts: 4x0,NoGi Worlds,73KG,R2,2021
28247,12115,Kieran Kichuk,,Matheus Galvao,W,1,Inside heel hook,NoGi Worlds,73KG,8F,2021
28813,12115,Kieran Kichuk,,Nico Demillio,W,1,Inside heel hook,ADCC EC Trials,77KG,R1,2021
28817,12115,Kieran Kichuk,,Colon Santana,W,1,RNC,ADCC EC Trials,77KG,R2,2021
28830,12115,Kieran Kichuk,,Andrew Solano,W,1,Inside heel hook,ADCC EC Trials,77KG,R3,2021
28846,12115,Kieran Kichuk,,Brandon Bergeron,W,1,Inside heel hook,ADCC EC Trials,77KG,R4,2021
29655,12115,Kieran Kichuk,,Rafael Domingos,W,1,EBI/OT,High Rollerz 10K,77KG,R1,2021
29659,12115,Kieran Kichuk,,Javier Garcia,W,1,Triangle,High Rollerz 10K,77KG,4F,2021
29661,12115,Kieran Kichuk,,Cris Lencioni,W,1,Inside heel hook,High Rollerz 10K,77KG,SF,2021
30735,12115,Kieran Kichuk,,Quinn Puryear,W,1,RNC,Finishers SO,70KG,R1,2022
30739,12115,Kieran Kichuk,,Alex Schaffer,W,1,Inside heel hook,Finishers SO,70KG,4F,2022
30740,12115,Kieran Kichuk,9934,Deandre Corbe,W,1,EBI/OT,Finishers SO,70KG,4F,2022
30742,12115,Kieran Kichuk,,John Lyon,W,1,EBI/OT,Finishers SO,70KG,SF,2022
30743,12115,Kieran Kichuk,,Jordan Holy,W,1,Triangle,Finishers SO,70KG,F,2022
30892,12115,Kieran Kichuk,11568,Josh Cisneros,W,1,EBI/OT,Emerald City,70KG,4F,2022
30894,12115,Kieran Kichuk,4248,Gianni Grippo,W,1,EBI/OT,Emerald City,70KG,SF,2022
30895,12115,Kieran Kichuk,8814,Adam Benayoun,W,1,EBI/OT,Emerald City,70KG,F,2022
31400,12115,Kieran Kichuk,,Archie Almario,W,1,Inside heel hook,ADCC WC Trials,77KG,R1,2022
31417,12115,Kieran Kichuk,,Benjamin Schultz,W,1,RNC,ADCC WC Trials,77KG,R2,2022
31443,12115,Kieran Kichuk,,Anthony Robinson,W,1,Pts: 3x0,ADCC WC Trials,77KG,R4,2022
31454,12115,Kieran Kichuk,,Daniel Smith,W,1,RNC,ADCC WC Trials,77KG,8F,2022
33526,12115,Kieran Kichuk,,Fabian Ramirez,W,1,Straight ankle lock,M. Finishers 7,70KG,R1,2022
33530,12115,Kieran Kichuk,,John Lyons,W,1,NG Baseball choke,M. Finishers 7,70KG,4F,2022
35523,12115,Kieran Kichuk,,Jordan Holy,W,1,Aoki lock,NoGi Pan,73KG,8F,2022
35529,12115,Kieran Kichuk,12356,Damion Oranday,W,1,Inside heel hook,NoGi Pan,73KG,4F,2022
35531,12115,Kieran Kichuk,11248,Jonata Gomes,W,1,Inside heel hook,NoGi Pan,73KG,SF,2022
36612,12115,Kieran Kichuk,,Matt Hnatejko,W,1,Triangle,Ace Pro Cup,70KG,SPF,2022
36822,12115,Kieran Kichuk,,Joshua Murdock,W,1,Leaf clover,NoGi Worlds,73KG,8F,2022
39140,12115,Kieran Kichuk,,Mathieu Dubois,W,1,Submission,ADCC CAN,76KG,R1,2023
39142,12115,Kieran Kichuk,,Adam Bruno,W,1,Submission,ADCC CAN,76KG,8F,2023
39146,12115,Kieran Kichuk,,Vadim Kozlov,W,1,Submission,ADCC CAN,76KG,4F,2023
39147,12115,Kieran Kichuk,,Paul Grant,W,1,Submission,ADCC CAN,76KG,SF,2023
41676,12115,Kieran Kichuk,,Luca Martel,W,1,N/A,Oshawa OP,77KG,RR,2023
41677,12115,Kieran Kichuk,,Lucas Wilhan,W,1,Pts: 2x0,Oshawa OP,77KG,RR,2023
43116,12115,Kieran Kichuk,,Jeff Perez,W,1,Triangle,Enigma Inv,77KG,R1,2023
43122,12115,Kieran Kichuk,,Nick Ronan,W,1,Triangle armlock,Enigma Inv,77KG,4F,2023
43124,12115,Kieran Kichuk,,Harrison Woods,W,1,Outside heel hook,Enigma Inv,77KG,SF,2023
43247,12115,Kieran Kichuk,,Lucas Brito,W,1,"Pts: 0x0, Adv",NoGi Pan,79KG,8F,2023
43254,12115,Kieran Kichuk,7664,Johnny Tama,W,1,Referee Decision,NoGi Pan,79KG,4F,2023
