match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
681,1214,Jefferson Moura,658,Fabio Leopoldo,L,0,Points,World Champ.,94KG,F,2002
722,1214,Jefferson Moura,437,Fernando Terere,L,0,"Pts: 0x0, Adv",Team Nationals,O88KG,F,2002
1042,1214,Jefferson Moura,84,Alexandre Ribeiro,L,0,Pts: 3x0,Brasileiro,94KG,F,2004
1057,1214,Jefferson Moura,84,Alexandre Ribeiro,L,0,Pts: 2x0,World Champ.,94KG,F,2004
676,1214,Jefferson Moura,,Unknown,W,1,Triangle,World Champ.,94KG,R1,2002
677,1214,Jefferson Moura,84,Alexandre Ribeiro,W,1,Injury,World Champ.,94KG,4F,2002
680,1214,Jefferson Moura,601,Roberto Godoi,W,1,Triangle,World Champ.,94KG,SF,2002
859,1214,Jefferson Moura,1204,Roberto Traven,W,1,Triangle,World Champ.,94KG,4F,2003
861,1214,Jefferson Moura,,Hugo Carioni,W,1,Choke,World Champ.,94KG,SF,2003
862,1214,Jefferson Moura,1297,Roger Coelho,W,1,Triangle,World Champ.,94KG,F,2003
925,1214,Jefferson Moura,637,Bruno Bastos,W,1,Armbar,BB Challenge 2,94KG,SPF,2003
972,1214,Jefferson Moura,1916,Fernando Paradeda,W,1,"Pts: 0x0, Adv",BB Challenge 3,94KG,SPF,2004
1503,1214,Jefferson Moura,,T. Gaia,W,1,Triangle,Brasileiro,94KG,SF,2006
1504,1214,Jefferson Moura,562,Eduardo Telles,W,1,Pts: 5x2,Brasileiro,94KG,F,2006
3753,1214,Jefferson Moura,,Artur Gogo,W,1,Armbar,Brasileiro,94KG,F,2012
