match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
25141,12201,Maria Eduarda Tozoni,10862,Brenda Larissa,L,0,Pts: 2x1,Brazil Nat. Pro,49KG,RR,2021
26472,12201,Maria Eduarda Tozoni,12744,Mariana Rolszt,L,0,DQ,SA Cont. Pro,49KG,SF,2021
26638,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,Pts: 2x1,Gramado Pro,49KG,F,2021
27074,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,Pts: 6x4,BJJ Bet,N/A,SPF,2021
27963,12201,Maria Eduarda Tozoni,10862,Brenda Larissa,L,0,Pts: 1x0,Brasilia Pro,49KG,F,2021
28606,12201,Maria Eduarda Tozoni,10862,Brenda Larissa,L,0,Pts: 2x2,Grand Slam RJ,49KG,F,2021
29380,12201,Maria Eduarda Tozoni,7535,Bianca Basilio,L,0,Armbar,Queen Of Mats,62KG,RR,2021
29382,12201,Maria Eduarda Tozoni,,Nathalie Ribeiro,L,0,Armlock,Queen Of Mats,62KG,RR,2021
30157,12201,Maria Eduarda Tozoni,,Gabriela Fechter,L,0,"Pts: 0x0, Adv",Sul Brasileiro,53KG,F,2022
30659,12201,Maria Eduarda Tozoni,9271,Mayssa Bastos,L,0,Choke from back,European Open,53KG,SF,2022
31065,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,"Pts: 2x2, Adv",Curitiba Open,53KG,F,2022
31070,12201,Maria Eduarda Tozoni,6765,Fernanda Mazzelli,L,0,Americana,Curitiba Open,ABS,4F,2022
32210,12201,Maria Eduarda Tozoni,9271,Mayssa Bastos,L,0,Pts: 11x0,Brasileiro,49KG,SF,2022
34077,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,Pts: 9x7,Grand Slam RJ,49KG,4F,2022
34660,12201,Maria Eduarda Tozoni,,Thamires Aquino,L,0,Pts: 5x4,Grand Slam MIA,49KG,SF,2022
36267,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,Botinha,WP Qualifier,49KG,RR,2022
36268,12201,Maria Eduarda Tozoni,,Diana Teixeira,L,0,Points,WP Qualifier,49KG,RR,2022
37369,12201,Maria Eduarda Tozoni,,Thamires Aquino,L,0,Armbar,Oklahoma Open,53KG,F,2023
37758,12201,Maria Eduarda Tozoni,,Marcia Ramos,L,0,"Pts: 2x2, Adv",Memphis Open,ABS,F,2023
37882,12201,Maria Eduarda Tozoni,,Brenda Wunner,L,0,Armbar,Dallas Open,53KG,SF,2023
38478,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,Choke from back,Pan American,49KG,SF,2023
40398,12201,Maria Eduarda Tozoni,11314,Jessica Caroline,L,0,Armbar,World Champ.,53KG,4F,2023
24787,12201,Maria Eduarda Tozoni,,M. Rolszt,W,1,Pts: 3x1,Grand Slam RJ,49KG,4F,2020
