match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
27591,12215,Sebastian Rodriguez,10103,Jonnatas Gracie,L,0,Choke from back,Pan American,82KG,8F,2021
29005,12215,Sebastian Rodriguez,8105,Tommy Langaker,L,0,Pts: 2x0,Warriors Cup,88KG,RR,2021
30872,12215,Sebastian Rodriguez,6631,Igor Schneider,L,0,Pts: 3x0,Indianapolis Open,ABS,4F,2022
32970,12215,Sebastian Rodriguez,10176,Bruno Lima,L,0,Pts: 6x4,World Champ.,88KG,4F,2022
33768,12215,Sebastian Rodriguez,9637,Sergio Rios,L,0,Points,Orlando SMO,88KG,F,2022
33790,12215,Sebastian Rodriguez,12680,Enderson Dias,L,0,Adv,Orlando SMO,ABS,SF,2022
34195,12215,Sebastian Rodriguez,,Hunter Colvin,L,0,EBI/OT,Sapateiro Inv,93KG,8F,2022
34990,12215,Sebastian Rodriguez,,Breylor Grout,L,0,Referee Decision,ADCC Vegas,ABS,8F,2022
35559,12215,Sebastian Rodriguez,5636,Manuel Ribamar,L,0,Pts: 2x0,NoGi Pan,85KG,4F,2022
36870,12215,Sebastian Rodriguez,10103,Jonnatas Gracie,L,0,Pts: 3x2,NoGi Worlds,85KG,F,2022
37798,12215,Sebastian Rodriguez,13031,Lucas Lisboa,L,0,Pts: x6,Tampa Open,88KG,F,2023
37822,12215,Sebastian Rodriguez,10588,Jon Blank,L,0,Triangle armbar,Tampa NGO,85KG,4F,2023
38437,12215,Sebastian Rodriguez,13076,Francisco Lo,L,0,Pts: 2x2,Pan American,88KG,4F,2023
39265,12215,Sebastian Rodriguez,11499,Roosevelt Sousa,L,0,Pts: 3x0,Miami Open,ABS,F,2023
39874,12215,Sebastian Rodriguez,5636,Manuel Ribamar,L,0,Pts: 4x2,Houston Open,88KG,SF,2023
40323,12215,Sebastian Rodriguez,8357,Gustavo Batista,L,0,"Pts: 0x0, Adv",World Champ.,88KG,SF,2023
41995,12215,Sebastian Rodriguez,11707,Oliver Taza,L,0,Referee Decision,WNO 19,84KG,SPF,2023
42383,12215,Sebastian Rodriguez,10162,Ronaldo Junior,L,0,"Pts: 0x0, Adv",IBJJF GP,94KG,SPF,2023
42488,12215,Sebastian Rodriguez,12225,Igor Feliz,L,0,Referee Decision,EUG JJB,82KG,4F,2023
26915,12215,Sebastian Rodriguez,,Jose Arimatea,W,1,Choke from back,IFN,ABS,4F,2021
26916,12215,Sebastian Rodriguez,,Ulber Barquero,W,1,Omoplata,IFN,ABS,SF,2021
26917,12215,Sebastian Rodriguez,,Alci Cleiton,W,1,Choke from back,IFN,ABS,F,2021
27583,12215,Sebastian Rodriguez,,Thiago Aso,W,1,"Pts: 2x2, Adv",Pan American,82KG,R1,2021
27820,12215,Sebastian Rodriguez,,Fausto Godoy,W,1,Referee Decision,Netherlands Pro,85KG,SF,2021
27821,12215,Sebastian Rodriguez,,Franck Martin,W,1,Pts: 6x2,Netherlands Pro,85KG,F,2021
27825,12215,Sebastian Rodriguez,,Janos Estergal,W,1,Pts: 3x2,Netherlands Pro,ABS,SF,2021
27827,12215,Sebastian Rodriguez,,Eric Bergmann,W,1,Pts: 5x2,Netherlands Pro,ABS,F,2021
27938,12215,Sebastian Rodriguez,,Alexandru Birlea,W,1,Pts: 4x0,Romania Pro,94KG,F,2021
28008,12215,Sebastian Rodriguez,,Saar Shemesh,W,1,DQ,EU Cont. Pro,85KG,4F,2021
28009,12215,Sebastian Rodriguez,8215,Espen Mathiesen,W,1,N/A,EU Cont. Pro,85KG,SF,2021
28011,12215,Sebastian Rodriguez,,Nimrod Ryeder,W,1,Pts: 1x0,EU Cont. Pro,85KG,F,2021
29000,12215,Sebastian Rodriguez,,Mike Uka,W,1,Pts: 4x0,Warriors Cup,88KG,RR,2021
29001,12215,Sebastian Rodriguez,,Dinu Bucalet,W,1,Submission,Warriors Cup,88KG,RR,2021
29004,12215,Sebastian Rodriguez,,Ellis Younger,W,1,Pts: 7x0,Warriors Cup,88KG,RR,2021
30862,12215,Sebastian Rodriguez,,Gabriel Lima,W,1,Choke from back,Indianapolis Open,88KG,SF,2022
30864,12215,Sebastian Rodriguez,,Scott Jutras,W,1,Choke from back,Indianapolis Open,88KG,F,2022
30871,12215,Sebastian Rodriguez,,Marcos Carrozzino,W,1,Pts: 4x2,Indianapolis Open,ABS,R1,2022
31245,12215,Sebastian Rodriguez,12680,Enderson Dias,W,1,Referee Decision,Charleston Open,88KG,4F,2022
