match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
26485,12233,Margot Ciccarelli,12785,Julia Alves,L,0,Pts: 5x4,SA Cont. Pro,62KG,4F,2021
27280,12233,Margot Ciccarelli,,Betina Pereira,L,0,Pts: 4x3,Grand Slam MIA,62KG,SF,2021
27653,12233,Margot Ciccarelli,,Nathalie Ribeiro,L,0,"Pts: 2x2, Adv",Pan American,64KG,F,2021
28346,12233,Margot Ciccarelli,,Heather Raftery,L,0,"Pts: 0x0, Adv",NoGi Worlds,61KG,4F,2021
28361,12233,Margot Ciccarelli,,Gabrielle McComb,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,R1,2021
29271,12233,Margot Ciccarelli,1119,Beatriz Mesquita,L,0,Loop choke,World Pro,62KG,F,2021
29629,12233,Margot Ciccarelli,1119,Beatriz Mesquita,L,0,Referee Decision,World Champ.,63KG,SF,2021
30666,12233,Margot Ciccarelli,,Nathalie Ribeiro,L,0,"Pts: 0x0, Adv",European Open,64KG,SF,2022
31727,12233,Margot Ciccarelli,8759,Maria Malyjasiak,L,0,Kneebar,Pan American,ABS,4F,2022
31746,12233,Margot Ciccarelli,9404,Ffion Davies,L,0,Armbar,Pan American,64KG,SF,2022
33081,12233,Margot Ciccarelli,9404,Ffion Davies,L,0,Pts: 7x0,World Champ.,64KG,SF,2022
33204,12233,Margot Ciccarelli,,Nadia Frankland,L,0,RNC,ADCC AUS Trials,60KG,SF,2022
36918,12233,Margot Ciccarelli,12663,Claire North,L,0,Inside heel hook,NoGi Worlds,61KG,4F,2022
38492,12233,Margot Ciccarelli,10764,Anna Rodrigues,L,0,Pts: 4x2,Pan American,58KG,F,2023
39897,12233,Margot Ciccarelli,,Thamires Monteiro,L,0,"Pts: 2x2, Adv",Houston Open,69KG,F,2023
40408,12233,Margot Ciccarelli,10764,Anna Rodrigues,L,0,"Pts: 2x2, Adv",World Champ.,58KG,SF,2023
26481,12233,Margot Ciccarelli,,Gabi Pereira,W,1,Pts: 10x2,SA Cont. Pro,62KG,R1,2021
26489,12233,Margot Ciccarelli,,Eloise Coldibeli,W,1,Triangle armbar,SA Cont. Pro,62KG,RPC,2021
26490,12233,Margot Ciccarelli,,Vi Vieira,W,1,Pts: 3x3,SA Cont. Pro,62KG,RPC,2021
26491,12233,Margot Ciccarelli,,Dulce Rosenthal,W,1,Pts: 7x1,SA Cont. Pro,62KG,3RD,2021
27278,12233,Margot Ciccarelli,,Kristin Mikkelson,W,1,Pts: 1x0,Grand Slam MIA,62KG,4F,2021
27283,12233,Margot Ciccarelli,,Amber Agee,W,1,Toe hold,Grand Slam MIA,62KG,RPC,2021
27284,12233,Margot Ciccarelli,,Kristin Mikkelson,W,1,Pts: 6x6,Grand Slam MIA,62KG,3RD,2021
27348,12233,Margot Ciccarelli,,Sarah Rice,W,1,Pts: 6x2,Charleston SO,ABS,4F,2021
27349,12233,Margot Ciccarelli,,Laurah Hallock,W,1,"Pts: 0x0, Adv",Charleston SO,ABS,SF,2021
27350,12233,Margot Ciccarelli,,Michelle Welti,W,1,Pts: 2x0,Charleston SO,ABS,F,2021
27652,12233,Margot Ciccarelli,,Nikki Sullivan,W,1,Referee Decision,Pan American,64KG,SF,2021
28163,12233,Margot Ciccarelli,,Andreza Costa,W,1,Pts: 4x2,Charlotte Open,ABS,SF,2021
28165,12233,Margot Ciccarelli,,Sarah Rice,W,1,Pts: 16x0,Charlotte Open,ABS,F,2021
28345,12233,Margot Ciccarelli,,Jessica Buchman,W,1,Straight ankle lock,NoGi Worlds,61KG,R1,2021
29268,12233,Margot Ciccarelli,,Yara Kakish,W,1,Referee Decision,World Pro,62KG,4F,2021
29270,12233,Margot Ciccarelli,,Julia Maele,W,1,Pts: 3x2,World Pro,62KG,SF,2021
29626,12233,Margot Ciccarelli,,Fernanda Figueira,W,1,Pts: 8x6,World Champ.,63KG,4F,2021
31579,12233,Margot Ciccarelli,,Ashley Bendle,W,1,Referee Decision,Polaris 19,65KG,SPF,2022
31742,12233,Margot Ciccarelli,,Fernanda Figueiredo,W,1,"Pts: 0x0, Adv",Pan American,64KG,4F,2022
32538,12233,Margot Ciccarelli,,Ashley Nicole,W,1,Pts: 27x0,Atlanta SPO,64KG,SF,2022
32540,12233,Margot Ciccarelli,,Hope Douglass,W,1,Referee Decision,Atlanta SPO,64KG,F,2022
33076,12233,Margot Ciccarelli,,Erin Johnson,W,1,Pts: 14x0,World Champ.,64KG,8F,2022
33080,12233,Margot Ciccarelli,,Luciane Santos,W,1,Pts: 4x0,World Champ.,64KG,4F,2022
33198,12233,Margot Ciccarelli,,Taylah Bisshopp,W,1,Straight ankle lock,ADCC AUS Trials,60KG,R1,2022
33201,12233,Margot Ciccarelli,,Arabella Celine,W,1,Pts: 3x0,ADCC AUS Trials,60KG,4F,2022
33206,12233,Margot Ciccarelli,,Georgia Balthazar,W,1,Pts: 3x0,ADCC AUS Trials,60KG,3RD,2022
38487,12233,Margot Ciccarelli,,Alexa Yanes,W,1,"Pts: 0x0, Adv",Pan American,58KG,4F,2023
38491,12233,Margot Ciccarelli,9477,Larissa Campos,W,1,Pts: 12x10,Pan American,58KG,SF,2023
39896,12233,Margot Ciccarelli,,Yasmim Pinheiro,W,1,Pts: 4x0,Houston Open,69KG,SF,2023
40403,12233,Margot Ciccarelli,,Thauany Correa,W,1,Choke from back,World Champ.,58KG,R1,2023
41268,12233,Margot Ciccarelli,,Nanami Ichikawa,W,1,Pts: 10x2,Asian Open,64KG,F,2023
41270,12233,Margot Ciccarelli,13220,Thais Loureiro,W,1,Kimura,Asian Open,ABS,SF,2023
