match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
26407,12241,Higor Lima,12287,Pedro Maia,L,0,Armbar,SA Cont. Pro,77KG,8F,2021
26783,12241,Higor Lima,11949,Daniel Junior,L,0,Points,Rio Winter Open,76KG,4F,2021
27131,12241,Higor Lima,,Leandro Souza,L,0,Pts: 2x0,AJP RJ Pro,LWA,SF,2021
27947,12241,Higor Lima,11497,Fabricio Andrey,L,0,Pts: 5x2,Brasilia Pro,69KG,SF,2021
28502,12241,Higor Lima,11423,Meyram Maquine,L,0,RNC,Grand Slam RJ,69KG,SF,2021
28507,12241,Higor Lima,,Marlus Salgado,L,0,Pts: 7x1,Grand Slam RJ,69KG,RPC,2021
29130,12241,Higor Lima,8231,Leo Saggioro,L,0,Pts: 6x2,BRA Qualifiers,69KG,SF,2021
29880,12241,Higor Lima,11465,Kauan Barboza,L,0,Choke from back,Rio SMO,82KG,R1,2022
31009,12241,Higor Lima,8884,Alex Sodre,L,0,Pts: 11x8,Curitiba Open,76KG,4F,2022
31063,12241,Higor Lima,10174,Rafael Paganini,L,0,Guillotine,Curitiba Open,ABS,SF,2022
33949,12241,Higor Lima,,Artur Oliveira,L,0,Pts: 4x3,Grand Slam RJ,69KG,8F,2022
37112,12241,Higor Lima,10408,Israel Sousa,L,0,Pts: 15x0,North East BRA,77KG,F,2023
40580,12241,Higor Lima,,Marlus Salgado,L,0,Pts: 3x0,Grand Slam RJ,69KG,4F,2023
40588,12241,Higor Lima,,Marlus Salgado,L,0,Submission,Grand Slam RJ,69KG,3RD,2023
40915,12241,Higor Lima,,Erick Chaves,L,0,Submission,Brazil Nat Pro,77KG,F,2023
27032,12241,Higor Lima,,Ismael Mendes,W,1,Armbar,Paranaense,82KG,F,2021
27033,12241,Higor Lima,,Luan Pinheiro,W,1,Choke from back,Paranaense,ABS,F,2021
27034,12241,Higor Lima,,Welliton Carvalho,W,1,Choke from back,N. Nordeste,76KG,F,2021
27092,12241,Higor Lima,,Alisson Silva,W,1,Pts: 6x1,AJP RJ Pro,69KG,R1,2021
27097,12241,Higor Lima,6043,Lucas Pinheiro,W,1,Choke from back,AJP RJ Pro,69KG,4F,2021
27101,12241,Higor Lima,,Yago Rodrigues,W,1,Pts: 4x1,AJP RJ Pro,69KG,SF,2021
27102,12241,Higor Lima,,Luiz Costa,W,1,Pts: 4x2,AJP RJ Pro,69KG,F,2021
27130,12241,Higor Lima,,Yago Rodrigues,W,1,Pts: 3x1,AJP RJ Pro,LWA,4F,2021
27303,12241,Higor Lima,,Francisco Filho,W,1,Triangle,Goiania Pro,69KG,4F,2021
