match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
27482,12254,Robert Diggle,9934,Deandre Corbe,L,0,Pts: 2x0,Newbreed,71KG,F,2021
27740,12254,Robert Diggle,,D. Groot,L,0,"Pts: 2x2, Pen",GI Amsterdam,70KG,RR,2021
28374,12254,Robert Diggle,,Kamil Wilk,L,0,Referee Decision,Polaris 17,70KG,SPF,2021
28783,12254,Robert Diggle,11093,Emilio Hernandez,L,0,"Pts: 0x0, Pen",ADCC EC Trials,66KG,R2,2021
29783,12254,Robert Diggle,9401,Ashley Williams,L,0,RNC,Grapple Kings,73KG,SPF,2021
31515,12254,Robert Diggle,12491,Keith Krikorian,L,0,Inside heel hook,ADCC WC Trials,66KG,8F,2022
42559,12254,Robert Diggle,,O. Jones,L,0,Pts: 5x0,ADCC EU Trials,66KG,8F,2023
27480,12254,Robert Diggle,,Timothy Johnson,W,1,Inside heel hook,Newbreed,71KG,SF,2021
27485,12254,Robert Diggle,,Omar Lane,W,1,Inside heel hook,Newbreed,76KG,SF,2021
27486,12254,Robert Diggle,9934,Deandre Corbe,W,1,Pts: 4x2,Newbreed,76KG,F,2021
27736,12254,Robert Diggle,,Jan Brand,W,1,Inside heel hook,GI Amsterdam,70KG,RR,2021
27737,12254,Robert Diggle,,Guillaume Prada,W,1,Inside heel hook,GI Amsterdam,70KG,RR,2021
27738,12254,Robert Diggle,,Jesse Comer,W,1,Inside heel hook,GI Amsterdam,70KG,RR,2021
27739,12254,Robert Diggle,,Bart Dubbeldam,W,1,Inside heel hook,GI Amsterdam,70KG,RR,2021
28414,12254,Robert Diggle,,Davis Giadoo,W,1,RNC,G.I. Austin,70KG,RR,2021
28415,12254,Robert Diggle,,Sean Bleamaster,W,1,Heel hook,G.I. Austin,70KG,RR,2021
28416,12254,Robert Diggle,,Ryan Ruiz,W,1,RNC,G.I. Austin,70KG,RR,2021
28417,12254,Robert Diggle,,Gabriel Litman,W,1,Heel hook,G.I. Austin,70KG,RR,2021
28698,12254,Robert Diggle,,Jose Fernandez,W,1,Submission,G.I. Boston,70KG,RR,2021
28699,12254,Robert Diggle,,Ben Deschenes,W,1,Reverse triangle,G.I. Boston,70KG,RR,2021
28700,12254,Robert Diggle,,R. Shaughnessy,W,1,Inside heel hook,G.I. Boston,70KG,RR,2021
28770,12254,Robert Diggle,,Jason Valle,W,1,Inside heel hook,ADCC EC Trials,66KG,R1,2021
