match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11122,12277,Pedro Agrizzi,6301,Faisal AlKitbe,L,0,Pen,G.S. Rio NoGi,83KG,F,2016
13560,12277,Pedro Agrizzi,443,Claudio Mattos,L,0,Points,Vitoria Open,82KG,F,2017
18988,12277,Pedro Agrizzi,,Joao Oliveira,L,0,"Pts: 0x0, Adv",Guarapari Pro,94KG,SF,2019
19671,12277,Pedro Agrizzi,387,Braga Neto,L,0,Pts: 4x2,Pan American,O100KG,4F,2019
20325,12277,Pedro Agrizzi,4960,Dimitrius Souza,L,0,Points,Brasileiro,94KG,4F,2019
20434,12277,Pedro Agrizzi,7047,Matheus Spirandeli,L,0,Adv,Copa Podio Trials,85KG,SPF,2019
22465,12277,Pedro Agrizzi,6631,Igor Schneider,L,0,Points,Rio BJJ Pro,O94KG,F,2019
23391,12277,Pedro Agrizzi,12055,Yatan Bueno,L,0,Points,Curitiba SO,O100KG,SF,2020
23397,12277,Pedro Agrizzi,4521,Erberth Santos,L,0,Pts: 2x0,Curitiba SO,ABS,SF,2020
24888,12277,Pedro Agrizzi,4460,Jaime Canuto,L,0,Referee Decision,South American,ABS,SF,2020
24941,12277,Pedro Agrizzi,,Tyrone Gonsalves,L,0,Adv,South American,94KG,SF,2020
25933,12277,Pedro Agrizzi,12275,Davi Cabral,L,0,Referee Decision,S. American NG,O97KG,F,2021
25941,12277,Pedro Agrizzi,9554,Henrique Cardoso,L,0,"Pts: 2x2, Adv",S. American NG,ABS,4F,2021
30085,12277,Pedro Agrizzi,9554,Henrique Cardoso,L,0,Referee Decision,ADCC BR1 Trials,99KG,4F,2022
30413,12277,Pedro Agrizzi,,Kitner Moura,L,0,Referee Decision,ADCC BR2 Trials,O99KG,8F,2022
31040,12277,Pedro Agrizzi,11685,Anderson Munis,L,0,"Pts: 4x4, Adv",Curitiba Open,100KG,F,2022
31805,12277,Pedro Agrizzi,,Euclides Castro,L,0,Pts: 5x0,Porto Pro,120KG,F,2022
34164,12277,Pedro Agrizzi,10817,Gabriel Henrique,L,0,DQ,Vitoria Open,100KG,F,2022
34323,12277,Pedro Agrizzi,6825,Fernando Reis,L,0,"Pts: 2x2, Adv",Brasileiro NoGi,91KG,SF,2022
34349,12277,Pedro Agrizzi,9554,Henrique Cardoso,L,0,"Pts: 0x0, Adv",Brasileiro NoGi,ABS,4F,2022
36494,12277,Pedro Agrizzi,,Marcos Carrozzino,L,0,Pts: 4x2,S.American NG,97KG,SF,2022
36505,12277,Pedro Agrizzi,11862,Pedro Alex,L,0,Pts: 2x0,S.American NG,ABS,4F,2022
36874,12277,Pedro Agrizzi,11384,Andre Porfirio,L,0,Referee Decision,NoGi Worlds,91KG,8F,2022
