match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
27390,12348,Lucas Protasio,,L. Lima,L,0,DQ,Sul Americano,76KG,4F,2021
28391,12348,Lucas Protasio,10199,Guthierry Barbosa,D,0.5,---,Copa Podio,76KG,RR,2021
28411,12348,Lucas Protasio,,Luciano Bernert,L,0,Pts: 6x4,Copa Podio,76KG,SF,2021
28412,12348,Lucas Protasio,,Felipe Santos,L,0,Pts: 6x2,Copa Podio,76KG,3RD,2021
28533,12348,Lucas Protasio,12122,Mica Galvao,L,0,Kneebar,Grand Slam RJ,77KG,4F,2021
28536,12348,Lucas Protasio,11658,Lucas Gualberto,L,0,Pts: 2x2,Grand Slam RJ,77KG,RPC,2021
29931,12348,Lucas Protasio,10880,Roberto Jimenez,L,0,RNC,Rio SMNGO,79KG,R1,2022
29939,12348,Lucas Protasio,11862,Pedro Alex,L,0,Points,Rio SMNGO,ABS,SF,2022
30044,12348,Lucas Protasio,12122,Mica Galvao,L,0,Yoko sankaku,ADCC BR1 Trials,77KG,SF,2022
30575,12348,Lucas Protasio,8215,Espen Mathiesen,L,0,"Pts: 2x2, Adv",European Open,76KG,4F,2022
32053,12348,Lucas Protasio,9573,Marcos Martins,L,0,Guillotine,BJJ Stars,88KG,SPF,2022
32090,12348,Lucas Protasio,11015,Pablo Lavaselli,L,0,Pts: 3x0,SA Cont. Pro,77KG,F,2022
32358,12348,Lucas Protasio,,Andre Cantanhede,L,0,Pts: 3x1,Grand Slam AD,77KG,4F,2022
37212,12348,Lucas Protasio,11697,Tainan Dalpra,L,0,Choke from back,European Open,82KG,SF,2023
38217,12348,Lucas Protasio,8308,Max Lindblad,L,0,Pts: 5x2,AJPGD LDN,77KG,SF,2023
39672,12348,Lucas Protasio,,Adriano Araujo,L,0,Pts: 3x1,ADGS ABD,77KG,SF,2023
39678,12348,Lucas Protasio,,Artem Kaygarodov,L,0,Pts: 3x1,ADGS ABD,77KG,RPC,2023
27830,12348,Lucas Protasio,9635,Guilherme Rocha,W,1,Pts: 4x1,Joao Pessoa Pro,77KG,SF,2021
27831,12348,Lucas Protasio,,Jackson Bernardo,W,1,Pts: 5x0,Joao Pessoa Pro,77KG,F,2021
28394,12348,Lucas Protasio,,M. Sheenan,W,1,Reverse triangle,Copa Podio,76KG,RR,2021
28399,12348,Lucas Protasio,,Rafael Japa,W,1,Kneebar,Copa Podio,76KG,RR,2021
28401,12348,Lucas Protasio,9956,Vinicius Pereira,W,1,Choke from back,Copa Podio,76KG,RR,2021
28519,12348,Lucas Protasio,,Carlos Rodrigues,W,1,Pts: 7x5,Grand Slam RJ,77KG,R1,2021
28528,12348,Lucas Protasio,13458,Leandro Rounaud,W,1,Pts: 4x4,Grand Slam RJ,77KG,8F,2021
29327,12348,Lucas Protasio,8528,Servio Tulio,W,1,Pts: 6x2,Balneario Open,82KG,4F,2021
29329,12348,Lucas Protasio,,Matheus Batista,W,1,Pts: 2x0,Balneario Open,82KG,SF,2021
29330,12348,Lucas Protasio,,Rhuan Duarte,W,1,Pts: 9x0,Balneario Open,82KG,F,2021
29368,12348,Lucas Protasio,,Yago Espindola,W,1,Pts: 2x0,JASC,76KG,F,2021
29370,12348,Lucas Protasio,11215,Harryson Pereira,W,1,Referee Decision,JASC,ABS,F,2021
29409,12348,Lucas Protasio,,Jeferson Ramos,W,1,Pts: 2x0,Florianopolis Pro,77KG,4F,2021
29412,12348,Lucas Protasio,,Vitor Sotini,W,1,Pts: 2x0,Florianopolis Pro,77KG,SF,2021
29414,12348,Lucas Protasio,,Wesley Possamai,W,1,Pts: 4x0,Florianopolis Pro,77KG,F,2021
29423,12348,Lucas Protasio,,Wesley Possamai,W,1,Pts: 10x2,Florianopolis Pro,LWA,SF,2021
29870,12348,Lucas Protasio,,Jadson Araujo,W,1,Pts: 8x0,Rio SMO,76KG,R1,2022
29874,12348,Lucas Protasio,,Leo Domingos,W,1,Armbar,Rio SMO,76KG,4F,2022
29875,12348,Lucas Protasio,,Vitor Sotini,W,1,Pts: 9x0,Rio SMO,76KG,SF,2022
29877,12348,Lucas Protasio,11754,Victor Nithael,W,1,RNC,Rio SMO,76KG,F,2022
29937,12348,Lucas Protasio,,Diogo Oliveira,W,1,Pts: 3x2,Rio SMNGO,ABS,4F,2022
30025,12348,Lucas Protasio,,Richard Filho,W,1,Pts: 2x0,ADCC BR1 Trials,77KG,R1,2022
30029,12348,Lucas Protasio,,Alessandro Botelho,W,1,Pts: 3x0,ADCC BR1 Trials,77KG,R2,2022
30038,12348,Lucas Protasio,,Jefferson Pontes,W,1,Pts: 2x0,ADCC BR1 Trials,77KG,R3,2022
30041,12348,Lucas Protasio,,JZ Cavalcante,W,1,Referee Decision,ADCC BR1 Trials,77KG,4F,2022
30570,12348,Lucas Protasio,,Gyula Szabo,W,1,Pts: 2x0,European Open,76KG,R2,2022
30747,12348,Lucas Protasio,,Kevin Enz,W,1,Pts: 8x2,Amsterdam Pro,77KG,4F,2022
30748,12348,Lucas Protasio,,A. Buchwald,W,1,Pts: 5x1,Amsterdam Pro,77KG,SF,2022
30750,12348,Lucas Protasio,,Ellis Younger,W,1,Pts: 1x0,Amsterdam Pro,77KG,F,2022
31106,12348,Lucas Protasio,,Gyula Szabo,W,1,Pts: 2x0,Grand Slam LDN,77KG,R1,2022
31111,12348,Lucas Protasio,10408,Israel Sousa,W,1,Pts: 4x4,Grand Slam LDN,77KG,4F,2022
31114,12348,Lucas Protasio,11872,Luiz Paulo,W,1,Pts: 3x3,Grand Slam LDN,77KG,SF,2022
