match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
17090,12372,Francisco Cuneo,,Gabriel Brasil,L,0,Points,Vitoria NGO,73KG,SF,2018
17097,12372,Francisco Cuneo,4115,Fabio Caloi,L,0,Straight ankle lock,Vitoria NGO,ABS,SF,2018
17905,12372,Francisco Cuneo,,Aquila de Paula,L,0,Points,Curitiba SPO,76KG,SF,2018
17932,12372,Francisco Cuneo,,Luciano Bernert,L,0,Points,Curitiba SPNGO,73KG,F,2018
18432,12372,Francisco Cuneo,,Anselmo Gomes,L,0,Kneebar,Salvador SPO.,76KG,F,2018
18611,12372,Francisco Cuneo,,Frederico Silva,L,0,"Pts: 2x2, Adv",NoGi Worlds,73KG,4F,2018
19745,12372,Francisco Cuneo,8528,Servio Tulio,L,0,RNC,ADCC SP Trials,77KG,R1,2019
19821,12372,Francisco Cuneo,,Leonilson Ferreira,L,0,Points,Rio FO,82KG,SF,2019
19839,12372,Francisco Cuneo,9121,Ygor Rodrigues,L,0,Points,Rio Fall NGO,79KG,F,2019
19842,12372,Francisco Cuneo,,Andre Aguiar,L,0,Points,Rio Fall NGO,ABS,F,2019
20531,12372,Francisco Cuneo,,Romario Teodoro,L,0,Points,Salvador FO,82KG,F,2019
20542,12372,Francisco Cuneo,,Romario Teodoro,L,0,Points,Salvador FNGO,79KG,F,2019
22680,12372,Francisco Cuneo,11044,Pedro Veras,L,0,Toe hold,NYC Fall NGO,73KG,SF,2019
24434,12372,Francisco Cuneo,10162,Ronaldo Junior,L,0,Triangle,Atlanta Open,ABS,4F,2020
24467,12372,Francisco Cuneo,12376,Rodrigo Francioni,L,0,Pts: 2x0,No Gi Pan Am.,73KG,SF,2020
24517,12372,Francisco Cuneo,8974,Kaynan Duarte,L,0,Armbar,No Gi Pan Am.,ABS,8F,2020
25229,12372,Francisco Cuneo,10004,Ali Monfaradi,L,0,Pts: 5x2,Dallas NGO,73KG,SF,2021
25247,12372,Francisco Cuneo,11707,Oliver Taza,L,0,Pts: 6x2,Dallas NGO,ABS,4F,2021
25455,12372,Francisco Cuneo,,Mauricio Bobadilla,L,0,N/A,Orlando NGO,73KG,SF,2021
25474,12372,Francisco Cuneo,11797,Giancarlo Bodoni,L,0,Straight ankle lock,Orlando NGO,ABS,4F,2021
25828,12372,Francisco Cuneo,12323,Luan Andrei,L,0,Pts: 4x0,Houston NGO,73KG,SF,2021
26027,12372,Francisco Cuneo,12115,Kieran Kichuk,L,0,Triangle,N.Orleans NGO,73KG,F,2021
26039,12372,Francisco Cuneo,9002,Matheus Gabriel,L,0,Pts: 4x0,N.Orleans NGO,ABS,SF,2021
26113,12372,Francisco Cuneo,9074,Joao Mendes,L,0,"Pts: 0x0, Adv",NoGi Pan Am.,73KG,8F,2021
26284,12372,Francisco Cuneo,,JZ Cavalcante,L,0,Armbar,Miami NGO,79KG,F,2021
26562,12372,Francisco Cuneo,7686,Sergio Ardila,L,0,"Pts: 0x0, Adv",Atlanta NGO,79KG,SF,2021
26575,12372,Francisco Cuneo,7831,Diego Ramalho,L,0,Pts: 2x0,Atlanta NGO,ABS,F,2021
26729,12372,Francisco Cuneo,12323,Luan Andrei,L,0,Pts: 2x0,American NGN,79KG,SF,2021
27013,12372,Francisco Cuneo,12323,Luan Andrei,L,0,Pts: 4x0,Orlando NGO,79KG,F,2021
27024,12372,Francisco Cuneo,7704,Helton Jose,L,0,Referee Decision,Orlando NGO,ABS,SF,2021
27061,12372,Francisco Cuneo,,Michael Salazar,L,0,Points,Phoenix NGO,79KG,F,2021
27363,12372,Francisco Cuneo,8116,Dante Leon,L,0,Pts: 9x0,Charleston SNG,ABS,SF,2021
30684,12372,Francisco Cuneo,,Rodrigo Gortari,L,0,Referee Decision,Miami WO,82KG,SF,2022
30692,12372,Francisco Cuneo,9031,Kennedy Maciel,L,0,"Pts: 0x0, Adv",Miami WO,ABS,R1,2022
30788,12372,Francisco Cuneo,11878,Andy Murasaki,L,0,Mounted X choke,Dallas Open,82KG,SF,2022
30825,12372,Francisco Cuneo,11707,Oliver Taza,L,0,Pts: 4x0,Dallas NGO,79KG,SF,2022
30838,12372,Francisco Cuneo,,Matheus Galvao,L,0,Points,Dallas NGO,ABS,SF,2022
31242,12372,Francisco Cuneo,11646,Andre Gois,L,0,Pts: 7x0,Charleston Open,82KG,SF,2022
31264,12372,Francisco Cuneo,8138,Hugo Marques,L,0,RNC,Charleston NGO,79KG,F,2022
31268,12372,Francisco Cuneo,8394,Vagner Rocha,L,0,RNC,Charleston NGO,ABS,SF,2022
32554,12372,Francisco Cuneo,11707,Oliver Taza,L,0,Referee Decision,Atlanta SPNGO,79KG,SF,2022
32561,12372,Francisco Cuneo,12236,Joao Costa,L,0,"Pts: 0x0, Pen",Atlanta SPNGO,ABS,F,2022
32795,12372,Francisco Cuneo,,Matheus Galvao,L,0,N/A,Houston NGO,79KG,SF,2022
