match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
19403,12378,Joseph Dierkhising,12110,Nick Rodriguez,L,0,Pts: 2x0,Forged in Fire,N/A,SPF,2019
25241,12378,Joseph Dierkhising,9246,Tex Johnson,L,0,"Pts: 2x2, Adv",Dallas NGO,O97KG,F,2021
25841,12378,Joseph Dierkhising,7831,Diego Ramalho,L,0,Pts: 2x0,Houston NGO,97KG,SF,2021
26178,12378,Joseph Dierkhising,10159,Victor Hugo,L,0,Straight ankle lock,NoGi Pan Am.,O97KG,SF,2021
26218,12378,Joseph Dierkhising,5655,Lucas Barbosa,L,0,Pts: 3x0,NoGi Pan Am.,ABS,4F,2021
28329,12378,Joseph Dierkhising,9157,Devhonte Johnson,L,0,Pts: 4x2,NoGi Worlds,97KG,F,2021
28933,12378,Joseph Dierkhising,9157,Devhonte Johnson,L,0,Pts: 4x0,ADCC EC Trials,99KG,4F,2021
31292,12378,Joseph Dierkhising,,Luke Griffith,L,0,RNC,WNO 12,O92KG,SPF,2022
19402,12378,Joseph Dierkhising,,Clovis Hancock,W,1,Inside heel hook,F2W 103,N/A,SPF,2019
23852,12378,Joseph Dierkhising,,Nick Greene,W,1,7-YO-choke,WNO,N/A,SPF,2020
25240,12378,Joseph Dierkhising,11939,Jackson Douglas,W,1,Cross face,Dallas NGO,O97KG,RR,2021
26205,12378,Joseph Dierkhising,,Charles McGuire,W,1,Darce choke,NoGi Pan Am.,ABS,R1,2021
26214,12378,Joseph Dierkhising,,Benjamin Silva,W,1,Inside heel hook,NoGi Pan Am.,ABS,8F,2021
28320,12378,Joseph Dierkhising,12275,Davi Cabral,W,1,Armbar,NoGi Worlds,97KG,8F,2021
28326,12378,Joseph Dierkhising,6337,Arnaldo Maidana,W,1,RNC,NoGi Worlds,97KG,4F,2021
28327,12378,Joseph Dierkhising,9180,Vinicius Trator,W,1,Calf slicer,NoGi Worlds,97KG,SF,2021
28923,12378,Joseph Dierkhising,,Anthony Leal,W,1,RNC,ADCC EC Trials,99KG,R2,2021
28929,12378,Joseph Dierkhising,,Breylor Grout,W,1,Referee Decision,ADCC EC Trials,99KG,R3,2021
31303,12378,Joseph Dierkhising,,Emilio Gomez,W,1,Inside heel hook,ADCC WC Trials,O99KG,R1,2022
31307,12378,Joseph Dierkhising,,Aaron Satterwhite,W,1,Inside heel hook,ADCC WC Trials,O99KG,R2,2022
31313,12378,Joseph Dierkhising,,Brandon Williamson,W,1,Pts: 2x0,ADCC WC Trials,O99KG,8F,2022
