match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
31731,12551,Jhenifer Aquino,9271,Mayssa Bastos,L,0,Pts: 4x0,Pan American,49KG,SF,2022
32678,12551,Jhenifer Aquino,,Amber Freitas,L,0,Points,Denver NGO,47KG,F,2022
33049,12551,Jhenifer Aquino,10862,Brenda Larissa,L,0,"Pts: 2x2, Adv",World Champ.,49KG,SF,2022
38479,12551,Jhenifer Aquino,11314,Jessica Caroline,L,0,Pts: 0x0,Pan American,49KG,F,2023
40385,12551,Jhenifer Aquino,9271,Mayssa Bastos,L,0,Pts: 4x2,World Champ.,49KG,F,2023
30978,12551,Jhenifer Aquino,,Amber Freitas,W,1,Choke from back,LA Open,49KG,SF,2022
30980,12551,Jhenifer Aquino,,Kaori Hernandez,W,1,DQ,LA Open,49KG,F,2022
32466,12551,Jhenifer Aquino,,Brenda Dang,W,1,Choke from back,SD NGO,49KG,F,2022
32655,12551,Jhenifer Aquino,,Amber Freitas,W,1,Armbar,Denver Open,49KG,F,2022
33044,12551,Jhenifer Aquino,,Brenda Dang,W,1,Botinha,World Champ.,49KG,R1,2022
33045,12551,Jhenifer Aquino,12744,Mariana Rolszt,W,1,Referee Decision,World Champ.,49KG,4F,2022
33440,12551,Jhenifer Aquino,13167,Giulia Gregorut,W,1,"Pts: 0x0, Adv",American Nat.,49KG,SF,2022
33442,12551,Jhenifer Aquino,12744,Mariana Rolszt,W,1,Pts: 2x0,American Nat.,49KG,F,2022
35600,12551,Jhenifer Aquino,,Lavinia Barbosa,W,1,"Pts: 0x0, Adv",NoGi Pan,46KG,SF,2022
35602,12551,Jhenifer Aquino,,Amber Freitas,W,1,Pts: 7x2,NoGi Pan,46KG,F,2022
36905,12551,Jhenifer Aquino,12744,Mariana Rolszt,W,1,Kimura,NoGi Worlds,46KG,SF,2022
36906,12551,Jhenifer Aquino,13167,Giulia Gregorut,W,1,"Pts: 2x2, Adv",NoGi Worlds,46KG,F,2022
38476,12551,Jhenifer Aquino,,Lavinia Barbosa,W,1,Referee Decision,Pan American,49KG,4F,2023
38477,12551,Jhenifer Aquino,10862,Brenda Larissa,W,1,Referee Decision,Pan American,49KG,SF,2023
40382,12551,Jhenifer Aquino,,Lavinia Barbosa,W,1,"Pts: 2x2, Adv",World Champ.,49KG,4F,2023
40384,12551,Jhenifer Aquino,10862,Brenda Larissa,W,1,Referee Decision,World Champ.,49KG,SF,2023
