match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
30434,12594,Vitoria Vieira,,Gabriela Fechter,L,0,"Pts: 0x0, Pen",ADCC BR2 Trials,60KG,4F,2022
31187,12594,Vitoria Vieira,,Nathalie Ribeiro,L,0,Pts: 3x2,Grand Slam LDN,62KG,SF,2022
31190,12594,Vitoria Vieira,9404,Ffion Davies,L,0,Submission,Grand Slam LDN,62KG,RPC,2022
31946,12594,Vitoria Vieira,10153,Gabrieli Pessanha,L,0,Choke,Rio Fall Open,ABS,SF,2022
31980,12594,Vitoria Vieira,,Natalia Zumba,L,0,Kneebar,Rio Fall NGO,71KG,F,2022
32218,12594,Vitoria Vieira,,Nathalie Ribeiro,L,0,Pts: 4x0,Brasileiro,64KG,F,2022
33079,12594,Vitoria Vieira,9404,Ffion Davies,L,0,Bow and arrow,World Champ.,64KG,4F,2022
33499,12594,Vitoria Vieira,9404,Ffion Davies,L,0,Armbar,RAW 2,66KG,SPF,2022
35753,12594,Vitoria Vieira,,Sabrina Gondim,L,0,"Pts: 0x0, Adv",South American,64KG,F,2022
36284,12594,Vitoria Vieira,,Brigida F.,L,0,Pts: 1x0,WP Qualifier,62KG,RR,2022
39443,12594,Vitoria Vieira,,V. Cabral,L,0,Pts: 2x1,SA Cont Pro,62KG,R1,2023
39604,12594,Vitoria Vieira,,Sabrina Ataide,L,0,Pts: 3x2,Brasileiro,64KG,4F,2023
40421,12594,Vitoria Vieira,12599,Brianna Ste-Marie,L,0,Wristlock,World Champ.,64KG,4F,2023
42968,12594,Vitoria Vieira,,Larissa Martins,L,0,Pts: 1x1,ADGS Miami,62KG,SF,2023
29956,12594,Vitoria Vieira,,Rayla Melo,W,1,Pts: 2x1,Guarapari Pro,62KG,SF,2022
29957,12594,Vitoria Vieira,,Leticia Wambier,W,1,Arm in Ezekiel,Guarapari Pro,62KG,F,2022
29959,12594,Vitoria Vieira,,Leticia Wambier,W,1,Choke from back,Guarapari Pro,ABS,SF,2022
30433,12594,Vitoria Vieira,,Raphaella Amorim,W,1,Armbar,ADCC BR2 Trials,60KG,8F,2022
31181,12594,Vitoria Vieira,,Yasmin Pessanha,W,1,Pts: 11x0,Grand Slam LDN,62KG,R1,2022
31185,12594,Vitoria Vieira,,Luciane Silva,W,1,Referee Decision,Grand Slam LDN,62KG,4F,2022
31940,12594,Vitoria Vieira,,Pollyana Ferreira,W,1,Armbar,Rio Fall Open,69KG,RR,2022
31945,12594,Vitoria Vieira,,Natalia Zumba,W,1,"Pts: 0x0, Adv",Rio Fall Open,ABS,4F,2022
33074,12594,Vitoria Vieira,,Hannah Rauch,W,1,Pts: 2x0,World Champ.,64KG,8F,2022
33346,12594,Vitoria Vieira,,Thayana Bandeira,W,1,DQ,Rio WO,64KG,SF,2022
34356,12594,Vitoria Vieira,,Thaynara Ferreira,W,1,Pts: 4x2,Brasileiro NoGi,64KG,SF,2022
34357,12594,Vitoria Vieira,,Daiana Torquato,W,1,"Pts: 0x0, Pen",Brasileiro NoGi,64KG,F,2022
36278,12594,Vitoria Vieira,,Ludmila Fiori,W,1,Submission,WP Qualifier,62KG,RR,2022
36282,12594,Vitoria Vieira,,Gabriela Barreto,W,1,Pts: 2x0,WP Qualifier,62KG,RR,2022
37126,12594,Vitoria Vieira,,Leticia Wambier,W,1,Submission,Guarapari Pro,62KG,RR,2023
37127,12594,Vitoria Vieira,,Leticia Wambier,W,1,Submission,Guarapari Pro,62KG,F,2023
38080,12594,Vitoria Vieira,,Melissa Cortes,W,1,Pts: 20x0,Curitiba SMO,64KG,SF,2023
38082,12594,Vitoria Vieira,,Maynne Correa,W,1,RNC,Curitiba SMO,64KG,F,2023
38159,12594,Vitoria Vieira,,Suellen Desterro,W,1,Armbar,Curitiba SMNGO,ABS,SF,2023
38633,12594,Vitoria Vieira,,Jaine Fragoso,W,1,Armbar,Rio Fall Open,64KG,SF,2023
38694,12594,Vitoria Vieira,,Geordania Vieira,W,1,RNC,Rio Fall NGO,67KG,F,2023
38696,12594,Vitoria Vieira,,Roberta Ribeiro,W,1,Pts: 2x0,Rio Fall NGO,ABS,SF,2023
38698,12594,Vitoria Vieira,,Izabel Seki,W,1,RNC,Rio Fall NGO,ABS,F,2023
39435,12594,Vitoria Vieira,,Vitoria Cabral,W,1,Pts: 6x0,SA Cont Pro,ABS,4F,2023
39437,12594,Vitoria Vieira,13419,Eliana Carauni,W,1,Pts: 14x0,SA Cont Pro,ABS,SF,2023
40416,12594,Vitoria Vieira,13170,Emily Fernandez,W,1,Pts: 2x0,World Champ.,64KG,8F,2023
40696,12594,Vitoria Vieira,,Franciele Nascimento,W,1,Armbar,Grand Slam RJ,62KG,R1,2023
40698,12594,Vitoria Vieira,,Beatriz Mendonca,W,1,Armbar,Grand Slam RJ,62KG,4F,2023
40701,12594,Vitoria Vieira,12785,Julia Alves,W,1,Referee Decision,Grand Slam RJ,62KG,SF,2023
40702,12594,Vitoria Vieira,,Maria Luisa,W,1,Toe hold,Grand Slam RJ,62KG,F,2023
42965,12594,Vitoria Vieira,,Randryely S.,W,1,Pts: 7x0,ADGS Miami,62KG,4F,2023
42971,12594,Vitoria Vieira,,Jaine Fragoso,W,1,Armbar,ADGS Miami,62KG,RPC,2023
42972,12594,Vitoria Vieira,,Randryely S.,W,1,Pts: 10x0,ADGS Miami,62KG,3RD,2023
