match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
19204,12654,Tarik Hopstock,9121,Ygor Rodrigues,L,0,"Pts: 2x2, Adv",Copa Podio,77KG,RR,2019
19217,12654,Tarik Hopstock,8105,Tommy Langaker,L,0,Choke from back,Copa Podio,77KG,F,2019
24069,12654,Tarik Hopstock,7321,Darragh OConaill,D,0.5,---,Polaris Squads,ABS,RR,2020
30584,12654,Tarik Hopstock,11697,Tainan Dalpra,L,0,Bow and arrow,European Open,82KG,SF,2022
32948,12654,Tarik Hopstock,8105,Tommy Langaker,L,0,Pts: 8x4,World Champ.,82KG,4F,2022
37135,12654,Tarik Hopstock,13417,Vinicius Liberati,L,0,"Pts: 0x0, Adv",European Open,ABS,R1,2023
37220,12654,Tarik Hopstock,,Faris Dean,L,0,Referee Decision,European Open,88KG,R2,2023
37659,12654,Tarik Hopstock,,Faris Benlamkhadem,L,0,Pts: 2x0,London Open,88KG,SF,2023
37677,12654,Tarik Hopstock,10880,Roberto Jimenez,L,0,Choke from back,London Open,ABS,SF,2023
37707,12654,Tarik Hopstock,10880,Roberto Jimenez,L,0,RNC,London NGO,91KG,F,2023
37713,12654,Tarik Hopstock,,Erick Souza,L,0,Points,London NGO,ABS,4F,2023
38231,12654,Tarik Hopstock,12506,Jansen Gomes,L,0,Pts: 12x1,AJPGD LDN,85KG,4F,2023
38239,12654,Tarik Hopstock,,Erick Souza,L,0,Botinha,AJPGD LDN,85KG,RPC,2023
38408,12654,Tarik Hopstock,10835,Eduardo Avelar,L,0,Pts: 2x0,Pan American,82KG,4F,2023
40292,12654,Tarik Hopstock,12003,Tye Ruotolo,L,0,Kneebar,World Champ.,82KG,4F,2023
42511,12654,Tarik Hopstock,,J. Chen,D,0.5,---,Quintet 4,ABS,NA,2023
42610,12654,Tarik Hopstock,,Omer Emanoely,L,0,Pts: 2x0,ADCC EU Trials,88KG,8F,2023
19201,12654,Tarik Hopstock,6596,Jhonny Loureiro,W,1,Footlock,Copa Podio,77KG,RR,2019
19206,12654,Tarik Hopstock,7321,Darragh OConaill,W,1,Tarikoplata,Copa Podio,77KG,RR,2019
19216,12654,Tarik Hopstock,9876,Alef Brito,W,1,Footlock,Copa Podio,77KG,SF,2019
19539,12654,Tarik Hopstock,,Eoghan OFlanagan,W,1,Straight ankle lock,Polaris 9,82KG,SPF,2019
21511,12654,Tarik Hopstock,,Sean McDonagh,W,1,Tarikoplata,Polaris 11,85KG,SPF,2019
24070,12654,Tarik Hopstock,,Kieran Davern,D,0.5,---,Polaris Squads,ABS,RR,2020
28375,12654,Tarik Hopstock,,Fred Grenall,W,1,Referee Decision,Polaris 17,85KG,SPF,2021
30583,12654,Tarik Hopstock,,Evyatar Paperni,W,1,Straight ankle lock,European Open,82KG,4F,2022
32019,12654,Tarik Hopstock,8308,Max Lindblad,W,1,Footlock,Dublin Open,82KG,SF,2022
32031,12654,Tarik Hopstock,,Haidar Abbas,W,1,Footlock,Dublin Open,ABS,R1,2022
32034,12654,Tarik Hopstock,,Jan Zander,W,1,Kimura,Dublin Open,ABS,4F,2022
32036,12654,Tarik Hopstock,,Sean Coates,W,1,Footlock,Dublin Open,ABS,SF,2022
32038,12654,Tarik Hopstock,,Lucasz Michalec,W,1,Points,Dublin Open,ABS,F,2022
32934,12654,Tarik Hopstock,,Gyalisson Freitas,W,1,Straight ankle lock,World Champ.,82KG,R1,2022
32942,12654,Tarik Hopstock,8528,Servio Tulio,W,1,Straight ankle lock,World Champ.,82KG,8F,2022
37655,12654,Tarik Hopstock,,Oliver Falkingham,W,1,Arm in Ezekiel,London Open,88KG,4F,2023
37669,12654,Tarik Hopstock,,Baruc Barrios,W,1,Darce choke,London Open,ABS,R1,2023
37673,12654,Tarik Hopstock,,Bradley Schneider,W,1,Pts: 22x0,London Open,ABS,4F,2023
37705,12654,Tarik Hopstock,,Max Bickerton,W,1,"Pts: 0x0, Pen",London NGO,91KG,SF,2023
38224,12654,Tarik Hopstock,,Hiago Lima,W,1,Straight ankle lock,AJPGD LDN,85KG,R1,2023
38238,12654,Tarik Hopstock,,Fredrik Widgren,W,1,Kneebar,AJPGD LDN,85KG,RPC,2023
38404,12654,Tarik Hopstock,,Joshua McKinney,W,1,Straight ankle lock,Pan American,82KG,R1,2023
40284,12654,Tarik Hopstock,10835,Eduardo Avelar,W,1,Straight ankle lock,World Champ.,82KG,8F,2023
42609,12654,Tarik Hopstock,,Ben Hodgkinson,W,1,Darce choke,ADCC EU Trials,88KG,16F,2023
