match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
30795,12680,Enderson Dias,7399,Horlando Monteiro,L,0,Pts: 4x2,Dallas Open,88KG,F,2022
31225,12680,Enderson Dias,8138,Hugo Marques,L,0,"Pts: 2x2, Pen",Charleston Open,ABS,SF,2022
31245,12680,Enderson Dias,12215,Sebastian Rodriguez,L,0,Referee Decision,Charleston Open,88KG,4F,2022
31686,12680,Enderson Dias,5636,Manuel Ribamar,L,0,Pts: 4x2,Pan American,88KG,R1,2022
32972,12680,Enderson Dias,8357,Gustavo Batista,L,0,Pts: 4x2,World Champ.,88KG,4F,2022
34623,12680,Enderson Dias,10162,Ronaldo Junior,L,0,Pts: 1x0,Grand Slam MIA,85KG,4F,2022
37587,12680,Enderson Dias,,Javier Barter,L,0,Toe hold,Atlanta WO,ABS,SF,2023
38438,12680,Enderson Dias,12506,Jansen Gomes,L,0,Pts: 2x0,Pan American,88KG,4F,2023
40316,12680,Enderson Dias,7047,Matheus Spirandeli,L,0,"Pts: 2x2, Adv",World Champ.,88KG,8F,2023
30791,12680,Enderson Dias,6432,Yan Lucas,W,1,Pts: 2x0,Dallas Open,88KG,4F,2022
30794,12680,Enderson Dias,12566,Rodrigo Tatu,W,1,50/50 armbar,Dallas Open,88KG,SF,2022
31218,12680,Enderson Dias,12120,Estevan Martinez,W,1,Pts: 10x0,Charleston Open,ABS,R1,2022
31223,12680,Enderson Dias,,Gabriel Araujo,W,1,Points,Charleston Open,ABS,4F,2022
32516,12680,Enderson Dias,,Victor Braz,W,1,Choke from back,Atlanta SPO,94KG,4F,2022
32518,12680,Enderson Dias,10506,Jeferson Guaresi,W,1,Referee Decision,Atlanta SPO,94KG,SF,2022
32520,12680,Enderson Dias,10698,Matheus Godoy,W,1,Points,Atlanta SPO,94KG,F,2022
32765,12680,Enderson Dias,,Jan Zander,W,1,Adv,Houston Open,O100KG,SF,2022
32769,12680,Enderson Dias,,Jan Zander,W,1,Pts: 9x0,Houston Open,ABS,R1,2022
32773,12680,Enderson Dias,,Austin Oranday,W,1,Botinha,Houston Open,ABS,4F,2022
32963,12680,Enderson Dias,5756,Wellington Luis,W,1,"Pts: 8x8, Adv",World Champ.,88KG,8F,2022
33417,12680,Enderson Dias,12566,Rodrigo Tatu,W,1,"Pts: 6x6, Adv",American Nat.,94KG,4F,2022
33421,12680,Enderson Dias,,Marcos Lopes,W,1,Pts: 4x2,American Nat.,94KG,SF,2022
33770,12680,Enderson Dias,,Filipe Pimentel,W,1,Pts: 2x0,Orlando SMO,94KG,SF,2022
33771,12680,Enderson Dias,,Johanan Vielma,W,1,Pts: 6x0,Orlando SMO,94KG,F,2022
33782,12680,Enderson Dias,12897,Elijah Dorsey,W,1,Botinha,Orlando SMO,ABS,8F,2022
33790,12680,Enderson Dias,12215,Sebastian Rodriguez,W,1,Adv,Orlando SMO,ABS,SF,2022
34629,12680,Enderson Dias,,Enrique March,W,1,Pts: 11x3,Grand Slam MIA,85KG,RPC,2022
34631,12680,Enderson Dias,4789,Marcos Tinoco,W,1,Pts: 4x3,Grand Slam MIA,85KG,RPC,2022
34633,12680,Enderson Dias,,Carlos Neto,W,1,Pts: 2x1,Grand Slam MIA,85KG,3RD,2022
37569,12680,Enderson Dias,,David Rodriguez,W,1,Pts: 19x4,Atlanta WO,94KG,SF,2023
37570,12680,Enderson Dias,,Robert Dunn,W,1,Armlock,Atlanta WO,94KG,F,2023
37585,12680,Enderson Dias,11093,Emilio Hernandez,W,1,Armbar,Atlanta WO,ABS,4F,2023
38428,12680,Enderson Dias,10174,Rafael Paganini,W,1,Pts: 6x0,Pan American,88KG,R1,2023
38435,12680,Enderson Dias,12537,Pedro Machado,W,1,Pts: 6x4,Pan American,88KG,8F,2023
40299,12680,Enderson Dias,13031,Lucas Lisboa,W,1,"Pts: 0x0, Adv",World Champ.,88KG,R1,2023
41559,12680,Enderson Dias,,Dayvison Calado,W,1,Pts: 2x0,Orlando SMO,94KG,SF,2023
41561,12680,Enderson Dias,,Eric Schlosser,W,1,Botinha,Orlando SMO,94KG,F,2023
42113,12680,Enderson Dias,,Max Weslei,W,1,Pts: 6x2,NHaven Open,94KG,SF,2023
42114,12680,Enderson Dias,,Italo Lima,W,1,Pts: 8x4,NHaven Open,94KG,F,2023
