match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
29172,12729,Nathannael Fernandes,10293,Jonas Andrade,L,0,Triangle,World Pro,56KG,RR,2021
29727,12729,Nathannael Fernandes,6043,Lucas Pinheiro,L,0,Pts: 6x2,Teams Cup,N/A,RR,2021
33917,12729,Nathannael Fernandes,13062,Leonardo Mario,L,0,Pts: 3x2,Grand Slam RJ,62KG,R1,2022
36300,12729,Nathannael Fernandes,12968,Zayed Alkatheeri,L,0,Referee Decision,World Pro,56KG,F,2022
29108,12729,Nathannael Fernandes,10099,Thalison Soares,W,1,Pts: 4x4,BRA Qualifiers,56KG,4F,2021
29112,12729,Nathannael Fernandes,,Oziel Santos,W,1,Pts: 1x0,BRA Qualifiers,56KG,SF,2021
29113,12729,Nathannael Fernandes,,Rodney Barbosa,W,1,Pts: 2x1,BRA Qualifiers,56KG,F,2021
29170,12729,Nathannael Fernandes,,Samat Aitpanbet,W,1,Pts: 2x0,World Pro,56KG,RR,2021
29176,12729,Nathannael Fernandes,,Hakuto Yamamoto,W,1,Pts: 1x0,World Pro,56KG,SF,2021
29178,12729,Nathannael Fernandes,10293,Jonas Andrade,W,1,Pts: 9x6,World Pro,56KG,F,2021
29721,12729,Nathannael Fernandes,10293,Jonas Andrade,W,1,Pts: 2x1,Teams Cup,N/A,RR,2021
29732,12729,Nathannael Fernandes,,Khalel Alshehhi,D,0.5,---,Teams Cup,N/A,RR,2021
31843,12729,Nathannael Fernandes,,Jesse Araujo,W,1,Botinha,Rio Fall Open,64KG,4F,2022
31845,12729,Nathannael Fernandes,,Kaue Berger,W,1,Botinha,Rio Fall Open,64KG,SF,2022
36298,12729,Nathannael Fernandes,13209,Welerson Goncalves,W,1,Pts: 2x1,World Pro,56KG,SF,2022
