match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
33103,12788,Luciana Mota,6979,Ana Vieira,L,0,Katagatame,World Champ.,74KG,F,2022
33117,12788,Luciana Mota,10153,Gabrieli Pessanha,L,0,Ezekiel,World Champ.,ABS,4F,2022
33455,12788,Luciana Mota,11762,Elisabeth Clay,L,0,"Pts: 2x2, Adv",American Nat.,ABS,SF,2022
33494,12788,Luciana Mota,12639,Amy Campo,L,0,Armbar,American NGN,ABS,F,2022
36785,12788,Luciana Mota,11762,Elisabeth Clay,L,0,Inside heel hook,NoGi Worlds,ABS,SF,2022
38510,12788,Luciana Mota,,Izadora Cristina,L,0,Adv,Pan American,74KG,4F,2023
40462,12788,Luciana Mota,11762,Elisabeth Clay,L,0,Pts: 4x2,World Champ.,ABS,R1,2023
32456,12788,Luciana Mota,,Gloria Armas,W,1,Botinha,SD Open,74KG,F,2022
32464,12788,Luciana Mota,,Tara White,W,1,Points,SD Open,ABS,SF,2022
32469,12788,Luciana Mota,,Thamires Monteiro,W,1,Points,SD NGO,ABS,SF,2022
33099,12788,Luciana Mota,8759,Maria Malyjasiak,W,1,"Pts: 0x0, Adv",World Champ.,74KG,4F,2022
33101,12788,Luciana Mota,11929,Ingridd Alves,W,1,"Pts: 0x0, Adv",World Champ.,74KG,SF,2022
33111,12788,Luciana Mota,,Erin Johnson,W,1,Ezekiel,World Champ.,ABS,R1,2022
33492,12788,Luciana Mota,,Mayara Custodio,W,1,DQ,American NGN,ABS,SF,2022
33883,12788,Luciana Mota,,Thamires Monteiro,W,1,Pts: 14x0,Phoenix Open,ABS,SF,2022
33884,12788,Luciana Mota,,Sara Apodoca,W,1,Kneebar,Phoenix Open,ABS,F,2022
34773,12788,Luciana Mota,13560,Nikki Griffiths,W,1,N/A,JJ Con,74KG,F,2022
36778,12788,Luciana Mota,,Vanessa Griffin,W,1,"Pts: 0x0, Pen",NoGi Worlds,ABS,8F,2022
36780,12788,Luciana Mota,,Joanna Dineva,W,1,Ezekiel,NoGi Worlds,ABS,4F,2022
36937,12788,Luciana Mota,,Graciele Fava,W,1,Pts: 5x0,NoGi Worlds,O76KG,SF,2022
37974,12788,Luciana Mota,,Maryanna Cardoso,W,1,Kneebar,LA Open,ABS,SF,2023
39822,12788,Luciana Mota,,Geneziz Rodriguez,W,1,Pts: 12x0,Denver Open,74KG,F,2023
39825,12788,Luciana Mota,,Maria Ruffatto,W,1,Wristlock,Denver Open,ABS,SF,2023
40066,12788,Luciana Mota,,Leticia Carvalho,W,1,N/A,SD Open,ABS,SF,2023
