match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
26712,13064,Janaina Lebre,11762,Elisabeth Clay,L,0,Straight ankle lock,American Nats,ABS,F,2021
27659,13064,Janaina Lebre,,Andressa Cintra,L,0,Pts: 11x2,Pan American,69KG,4F,2021
27678,13064,Janaina Lebre,8759,Maria Malyjasiak,L,0,Pts: 4x0,Pan American,ABS,4F,2021
29627,13064,Janaina Lebre,5263,Luiza Monteiro,L,0,Referee Decision,World Champ.,63KG,4F,2021
30668,13064,Janaina Lebre,,Nathalie Ribeiro,L,0,Pts: 10x0,European Open,64KG,F,2022
31745,13064,Janaina Lebre,,Nathalie Ribeiro,L,0,Pts: 11x4,Pan American,64KG,SF,2022
33083,13064,Janaina Lebre,9404,Ffion Davies,L,0,Pts: 2x0,World Champ.,64KG,F,2022
38498,13064,Janaina Lebre,5263,Luiza Monteiro,L,0,Kneebar,Pan American,64KG,SF,2023
40426,13064,Janaina Lebre,9404,Ffion Davies,L,0,Pts: 6x0,World Champ.,64KG,F,2023
26710,13064,Janaina Lebre,,Heather Woods,W,1,Armbar,American Nats,ABS,4F,2021
26711,13064,Janaina Lebre,12663,Claire North,W,1,Straight ankle lock,American Nats,ABS,SF,2021
30667,13064,Janaina Lebre,,Amandine Layec,W,1,Ezekiel choke,European Open,64KG,SF,2022
31743,13064,Janaina Lebre,,Janine Mutton,W,1,Choke from back,Pan American,64KG,4F,2022
33072,13064,Janaina Lebre,,Laura Gedeon,W,1,Straight ankle lock,World Champ.,64KG,8F,2022
33078,13064,Janaina Lebre,,Gabrielle McComb,W,1,Straight ankle lock,World Champ.,64KG,4F,2022
33082,13064,Janaina Lebre,,Nathalie Ribeiro,W,1,Pts: 4x2,World Champ.,64KG,SF,2022
33446,13064,Janaina Lebre,,Tracey Goodell,W,1,Armbar,American Nat.,64KG,SF,2022
33448,13064,Janaina Lebre,,Luciane Santos,W,1,Choke from back,American Nat.,64KG,F,2022
34769,13064,Janaina Lebre,13170,Emily Fernandez,W,1,Pts: 8x2,JJ Con,64KG,SF,2022
34771,13064,Janaina Lebre,,Gloria Armas,W,1,Straight ankle lock,JJ Con,64KG,F,2022
35867,13064,Janaina Lebre,5263,Luiza Monteiro,W,1,Pts: 8x6,IBJJF GP,64KG,SF,2022
35869,13064,Janaina Lebre,10764,Anna Rodrigues,W,1,Pts: 6x0,IBJJF GP,64KG,F,2022
37850,13064,Janaina Lebre,,Nathalie Ribeiro,W,1,Pts: 3x2,IBJJF GP,64KG,SPF,2023
37956,13064,Janaina Lebre,,Amanda Bruse,W,1,Points,LA Open,64KG,F,2023
40417,13064,Janaina Lebre,,Thamires Monteiro,W,1,Pts: 5x0,World Champ.,64KG,8F,2023
40420,13064,Janaina Lebre,,Sabrina Ataide,W,1,Referee Decision,World Champ.,64KG,4F,2023
40425,13064,Janaina Lebre,12599,Brianna Ste-Marie,W,1,"Pts: 0x0, Adv",World Champ.,64KG,SF,2023
41778,13064,Janaina Lebre,,Mayara Melo,W,1,Straight ankle lock,SDiego SMO,64KG,SF,2023
41779,13064,Janaina Lebre,,Thamires Monteiro,W,1,Pts: 6x0,SDiego SMO,64KG,F,2023
42385,13064,Janaina Lebre,13170,Emily Fernandez,W,1,Ezekiel choke,IBJJF GP,64KG,SPF,2023
