match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
30332,13076,Francisco Lo,10174,Rafael Paganini,L,0,Guillotine,ADCC BR2 Trials,88KG,R3,2022
34021,13076,Francisco Lo,12671,Uanderson Ferreira,L,0,Referee Decision,Grand Slam RJ,85KG,8F,2022
35189,13076,Francisco Lo,,Erick Diovano,L,0,Armbar,S Paulo NGO,ABS,F,2022
35563,13076,Francisco Lo,5636,Manuel Ribamar,L,0,Pts: 6x4,NoGi Pan,85KG,SF,2022
35920,13076,Francisco Lo,10295,Italo Moura,L,0,RNC,Houston FNGO,85KG,4F,2022
36771,13076,Francisco Lo,11499,Roosevelt Sousa,L,0,Pts: 8x0,NoGi Worlds,ABS,4F,2022
36867,13076,Francisco Lo,10103,Jonnatas Gracie,L,0,Pts: 9x0,NoGi Worlds,85KG,4F,2022
37143,13076,Francisco Lo,10176,Bruno Lima,L,0,Pts: 2x0,European Open,ABS,R2,2023
37224,13076,Francisco Lo,5756,Wellington Luis,L,0,Pts: 2x0,European Open,88KG,4F,2023
37852,13076,Francisco Lo,10162,Ronaldo Junior,L,0,"Pts: 0x0, Adv",IBJJF GP,88KG,SPF,2023
38440,13076,Francisco Lo,8357,Gustavo Batista,L,0,Katagatame,Pan American,88KG,SF,2023
39804,13076,Francisco Lo,,Shane Fishman,L,0,Choke from back,Denver Open,88KG,F,2023
41238,13076,Francisco Lo,,Helton Jr,L,0,DQ,American NNG,ABS,SF,2023
41607,13076,Francisco Lo,,Dan Manasoiu,L,0,Smother,Sub Hunter 84,ABS,4F,2023
41708,13076,Francisco Lo,11862,Pedro Alex,L,0,Points,Dallas SMO,ABS,SF,2023
42376,13076,Francisco Lo,7507,Nicholas Meregali,L,0,Smother,IBJJF GP,ABS,4F,2023
43188,13076,Francisco Lo,11027,Pedro Rocha,L,0,"Pts: 2x2, Adv",NoGi Pan,ABS,4F,2023
30305,13076,Francisco Lo,,Paulo Figueiredo,W,1,Referee Decision,ADCC BR2 Trials,88KG,R2,2022
35134,13076,Francisco Lo,,Carlos Barbosa,W,1,Submission,SP Open,82KG,R1,2022
35138,13076,Francisco Lo,,Henrique Nobrega,W,1,Pts: 7x0,SP Open,82KG,4F,2022
35143,13076,Francisco Lo,13269,Lucas Foguinho,W,1,Points,SP Open,82KG,SF,2022
35144,13076,Francisco Lo,11658,Lucas Gualberto,W,1,Triangle,SP Open,82KG,F,2022
35182,13076,Francisco Lo,10669,Lucas Alves,W,1,Armlock,S Paulo NGO,85KG,4F,2022
35183,13076,Francisco Lo,,Gabriel Machado,W,1,Pts: 3x0,S Paulo NGO,85KG,SF,2022
35184,13076,Francisco Lo,,Javier Valenciano,W,1,Pts: 10x0,S Paulo NGO,85KG,F,2022
35187,13076,Francisco Lo,,Felipe Nacib,W,1,Pts: 25x0,S Paulo NGO,ABS,4F,2022
35188,13076,Francisco Lo,,Jhoannan Vielma,W,1,Short choke,S Paulo NGO,ABS,SF,2022
