match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
25712,13095,Eleftheria Christodoulou,10153,Gabrieli Pessanha,L,0,Pts: 8x2,World Pro,95KG,RR,2021
25716,13095,Eleftheria Christodoulou,10897,Yara Soares,L,0,Choke,World Pro,95KG,RR,2021
35090,13095,Eleftheria Christodoulou,11656,Rafaela Guedes,L,0,Pts: 3x0,ADCC,O60KG,4F,2022
36776,13095,Eleftheria Christodoulou,12639,Amy Campo,L,0,Pts: 4x2,NoGi Worlds,ABS,8F,2022
36934,13095,Eleftheria Christodoulou,,Andressa Cintra,L,0,Inside heel hook,NoGi Worlds,76KG,SF,2022
25718,13095,Eleftheria Christodoulou,10885,Kendall Reusing,W,1,Pts: 4x1,World Pro,95KG,RR,2021
32236,13095,Eleftheria Christodoulou,,Darina Goldin,W,1,RNC,ADCC EU Trials,O60KG,R1,2022
32237,13095,Eleftheria Christodoulou,,Arizona Brodie,W,1,Pts: 3x0,ADCC EU Trials,O60KG,8F,2022
32238,13095,Eleftheria Christodoulou,,Nia Blackman,W,1,Referee Decision,ADCC EU Trials,O60KG,4F,2022
32239,13095,Eleftheria Christodoulou,8759,Maria Malyjasiak,W,1,Points,ADCC EU Trials,O60KG,SF,2022
32240,13095,Eleftheria Christodoulou,,Ane Svendsen,W,1,Pts: 2x0,ADCC EU Trials,O60KG,F,2022
36141,13095,Eleftheria Christodoulou,,Paivi Aittamaa,W,1,Kneebar,European NG,77KG,F,2022
36142,13095,Eleftheria Christodoulou,,Christina Tsantila,W,1,RNC,European NG,ABS,R1,2022
36143,13095,Eleftheria Christodoulou,,Julia Maele,W,1,Pts: 4x0,European NG,ABS,4F,2022
36148,13095,Eleftheria Christodoulou,,Magdalena Loska,W,1,Pts: 11x0,European NG,ABS,SF,2022
36149,13095,Eleftheria Christodoulou,,Marta Szarecka,W,1,Toe hold,European NG,ABS,F,2022
