match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
33926,13111,Matheus Lima,13062,Leonardo Mario,L,0,Triangle kimura,Grand Slam RJ,62KG,F,2022
37180,13111,Matheus Lima,8884,Alex Sodre,L,0,Pts: 2x0,European Open,70KG,4F,2023
38553,13111,Matheus Lima,,Artur Lanes,L,0,"Pts: 4x4, Adv",Rio Fall Open,70KG,SF,2023
39464,13111,Matheus Lima,,Julio Arantes,L,0,Botinha,Brasileiro,70KG,R1,2023
32824,13111,Matheus Lima,,Allan Teixeira,W,1,Armbar,Belem Pro,62KG,4F,2022
32825,13111,Matheus Lima,,Matheus Silva,W,1,Pts: 5x2,Belem Pro,62KG,SF,2022
32826,13111,Matheus Lima,,Jose Neto,W,1,Pts: 6x4,Belem Pro,62KG,F,2022
33914,13111,Matheus Lima,,Jorge Nakamura,W,1,Triangle armlock,Grand Slam RJ,62KG,R1,2022
33920,13111,Matheus Lima,,Jean Gomes,W,1,Choke from back,Grand Slam RJ,62KG,4F,2022
33924,13111,Matheus Lima,,Jhonathan Ang.,W,1,Pts: 6x3,Grand Slam RJ,62KG,SF,2022
35678,13111,Matheus Lima,,Gabriel Machado,W,1,Armbar,South American,70KG,R1,2022
35682,13111,Matheus Lima,,Bernardo Oliveira,W,1,Armbar,South American,70KG,4F,2022
35684,13111,Matheus Lima,,Joao Oliveira,W,1,Armbar,South American,70KG,SF,2022
35686,13111,Matheus Lima,,Artur Oliveira,W,1,Armbar,South American,70KG,F,2022
36616,13111,Matheus Lima,,Carlos Geovani,W,1,Armbar,Brasilia Open,70KG,SF,2022
36618,13111,Matheus Lima,,Marcos Froede,W,1,Armbar,Brasilia Open,70KG,F,2022
38552,13111,Matheus Lima,,Julio Arantes,W,1,Armbar,Rio Fall Open,70KG,4F,2023
40496,13111,Matheus Lima,,Fahad Alhammadi,W,1,DQ,President Cup,69KG,SF,2023
40497,13111,Matheus Lima,,Mo. Alsuwaidi,W,1,Pts: 2x2,President Cup,69KG,F,2023
42165,13111,Matheus Lima,,Carlos Pereira,W,1,"Pts: 0x0, Adv",Manaus Open,76KG,SF,2023
42167,13111,Matheus Lima,,Luiz Andre,W,1,"Pts: 0x0, Adv",Manaus Open,76KG,F,2023
