match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
28963,13132,Jasmine Rocha,12599,Brianna Ste-Marie,L,0,Pts: 3x0,ADCC EC Trials,60KG,SF,2021
28965,13132,Jasmine Rocha,,Fatima Kline,L,0,Pts: 3x0,ADCC EC Trials,60KG,3RD,2021
30439,13132,Jasmine Rocha,9271,Mayssa Bastos,L,0,RNC,ADCC BR2 Trials,60KG,SF,2022
31556,13132,Jasmine Rocha,12599,Brianna Ste-Marie,L,0,Pts: 3x0,ADCC WC Trials,60KG,F,2022
35617,13132,Jasmine Rocha,10764,Anna Rodrigues,L,0,Pts: 3x0,NoGi Pan,61KG,SF,2022
36917,13132,Jasmine Rocha,3607,Tammi Musumeci,L,0,RNC,NoGi Worlds,56KG,F,2022
40008,13132,Jasmine Rocha,,Morgan Black,L,0,Referee Decision,ADCC Denver,60KG,F,2023
40024,13132,Jasmine Rocha,,Helena Crevar,L,0,Inside heel hook,ADCC Denver,ABS,F,2023
42000,13132,Jasmine Rocha,9404,Ffion Davies,L,0,Referee Decision,WNO 19,57KG,SPF,2023
28954,13132,Jasmine Rocha,,Sophia Cassella,W,1,Pts: 2x0,ADCC EC Trials,60KG,R1,2021
28958,13132,Jasmine Rocha,,Nicole Mathew,W,1,Armlock,ADCC EC Trials,60KG,4F,2021
30424,13132,Jasmine Rocha,,Camila Guerra,W,1,RNC,ADCC BR2 Trials,60KG,R1,2022
30428,13132,Jasmine Rocha,,Shayanne Santos,W,1,Inside heel hook,ADCC BR2 Trials,60KG,8F,2022
30436,13132,Jasmine Rocha,,Franciele Nascimento,W,1,Referee Decision,ADCC BR2 Trials,60KG,4F,2022
31533,13132,Jasmine Rocha,,Jesse Wright,W,1,Muffler,ADCC WC Trials,60KG,R1,2022
31540,13132,Jasmine Rocha,,Nabila Martinez,W,1,Pts: 5x0,ADCC WC Trials,60KG,R2,2022
31548,13132,Jasmine Rocha,,Nikki Sullivan,W,1,Armbar,ADCC WC Trials,60KG,8F,2022
31552,13132,Jasmine Rocha,12569,Alex Enriquez,W,1,Referee Decision,ADCC WC Trials,60KG,4F,2022
31555,13132,Jasmine Rocha,,Amanda Bruse,W,1,Points,ADCC WC Trials,60KG,SF,2022
35613,13132,Jasmine Rocha,,Janine Mutton,W,1,Armbar,NoGi Pan,61KG,4F,2022
36914,13132,Jasmine Rocha,,Juliana Gassaway,W,1,Triangle kimura,NoGi Worlds,56KG,4F,2022
36915,13132,Jasmine Rocha,12569,Alex Enriquez,W,1,Straight ankle lock,NoGi Worlds,56KG,SF,2022
37344,13132,Jasmine Rocha,13205,Sheliah Lindsey,W,1,"Pts: 0x0, Adv",Austin WNGO,64KG,F,2023
37623,13132,Jasmine Rocha,,Rachel Llanas,W,1,Triangle,M. Finishers 12,ABS,4F,2023
37629,13132,Jasmine Rocha,,Lauren Sears,D,0.5,---,M. Finishers 12,ABS,SF,2023
37777,13132,Jasmine Rocha,,Amanda Bruse,W,1,N/A,WNO,57KG,SPF,2023
38532,13132,Jasmine Rocha,,Megan Cawley,W,1,Inside heel hook,SG Series,NA,SPF,2023
39284,13132,Jasmine Rocha,,Ana Nascimento,W,1,RNC,Miami NGO,ABS,F,2023
40007,13132,Jasmine Rocha,,Cecilia Hathcock,W,1,Armbar,ADCC Denver,60KG,SF,2023
40017,13132,Jasmine Rocha,,Olivia Jensen,W,1,Armbar,ADCC Denver,ABS,R1,2023
40019,13132,Jasmine Rocha,,Abby Reckmeyer,W,1,Kneebar,ADCC Denver,ABS,8F,2023
40021,13132,Jasmine Rocha,,Kristina Ogden,W,1,Triangle,ADCC Denver,ABS,4F,2023
40023,13132,Jasmine Rocha,,Rose Namajunas,W,1,Kneebar,ADCC Denver,ABS,SF,2023
40513,13132,Jasmine Rocha,,yashira Millaye,W,1,Straight ankle lock,Grappling Series,NA,SPF,2023
40889,13132,Jasmine Rocha,,Laylah Walkins,W,1,Armlock,ADCC Dallas,60KG,4F,2023
40890,13132,Jasmine Rocha,,Dylan Sprague,W,1,Armlock,ADCC Dallas,60KG,SF,2023
40891,13132,Jasmine Rocha,,Kayla Brown,W,1,Armbar,ADCC Dallas,60KG,F,2023
40901,13132,Jasmine Rocha,,M. haymes,W,1,RNC,ADCC Dallas,ABS,R1,2023
40904,13132,Jasmine Rocha,,Maria Pineda,W,1,DQ,ADCC Dallas,ABS,R2,2023
40906,13132,Jasmine Rocha,,Gabi Villafuerte,W,1,Katagatame,ADCC Dallas,ABS,4F,2023
40908,13132,Jasmine Rocha,,Nora Naomi,W,1,Referee Decision,ADCC Dallas,ABS,SF,2023
40909,13132,Jasmine Rocha,,Bridget McEliece,W,1,Pts: 3x0,ADCC Dallas,ABS,F,2023
