match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
33440,13167,Giulia Gregorut,12551,Jhenifer Aquino,L,0,"Pts: 0x0, Adv",American Nat.,49KG,SF,2022
33441,13167,Giulia Gregorut,12744,Mariana Rolszt,L,0,Pts: 2x0,American Nat.,49KG,SF,2022
36906,13167,Giulia Gregorut,12551,Jhenifer Aquino,L,0,"Pts: 2x2, Adv",NoGi Worlds,46KG,F,2022
38475,13167,Giulia Gregorut,10862,Brenda Larissa,L,0,Choke from back,Pan American,49KG,4F,2023
39584,13167,Giulia Gregorut,10862,Brenda Larissa,L,0,"Pts: 0x0, Adv",Brasileiro,49KG,SF,2023
40381,13167,Giulia Gregorut,10862,Brenda Larissa,L,0,Choke from back,World Champ.,49KG,4F,2023
42061,13167,Giulia Gregorut,,Bianca Giannini,L,0,Toe hold,Floripa WO,53KG,F,2023
42954,13167,Giulia Gregorut,12753,Gabriela Pereira,L,0,Pts: 4x3,ADGS Miami,55KG,4F,2023
42959,13167,Giulia Gregorut,,T. Wiedeman,L,0,Armbar,ADGS Miami,55KG,RPC,2023
36904,13167,Giulia Gregorut,,Amber Freitas,W,1,Guillotine,NoGi Worlds,46KG,SF,2022
38473,13167,Giulia Gregorut,,Ni Hoang,W,1,Pts: 5x0,Pan American,49KG,R1,2023
39581,13167,Giulia Gregorut,13220,Thais Loureiro,W,1,Pts: 4x0,Brasileiro,49KG,4F,2023
42060,13167,Giulia Gregorut,,Bianca Giannini,W,1,Katagatame,Floripa WO,53KG,SF,2023
