match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
32186,13190,Vinicius Lessa,9117,Hygor Brito,L,0,Botinha,Brasileiro,94KG,R1,2022
34039,13190,Vinicius Lessa,12537,Pedro Machado,L,0,Pts: 2x0,Grand Slam RJ,94KG,R1,2022
34325,13190,Vinicius Lessa,,Maique Azevedo,L,0,Anaconda choke,Brasileiro NoGi,97KG,4F,2022
34480,13190,Vinicius Lessa,,Walllace Costa,D,0.5,---,AJP SA Team,120KG,SF,2022
34493,13190,Vinicius Lessa,,Helder Jr,L,0,Pts: 3x2,AJP SA Team,120KG,3RD,2022
35732,13190,Vinicius Lessa,13053,Luis Oliveira,L,0,Pts: 2x0,South American,100KG,SF,2022
36653,13190,Vinicius Lessa,10817,Gabriel Henrique,L,0,"Pts: 2x2, Adv",Brasilia Open,ABS,SF,2022
37029,13190,Vinicius Lessa,,Elionai Braz,L,0,"Pts: 0x0, Pen",Rio SMO,100KG,F,2023
37133,13190,Vinicius Lessa,12506,Jansen Gomes,L,0,Choke from back,European Open,ABS,R1,2023
37241,13190,Vinicius Lessa,13417,Vinicius Liberati,L,0,Pts: 5x0,European Open,100KG,R1,2023
38064,13190,Vinicius Lessa,11693,Erich Munis,L,0,Armbar,Curitiba SMO,100KG,F,2023
38609,13190,Vinicius Lessa,,Icaro Vidal,L,0,Choke,Rio Fall Open,ABS,R1,2023
38964,13190,Vinicius Lessa,13392,Gabriel Volante,L,0,Referee Decision,BJJS Confere,ABS,SF,2023
39531,13190,Vinicius Lessa,,Wildemar Souza,L,0,Referee Decision,Brasileiro,100KG,4F,2023
39549,13190,Vinicius Lessa,13053,Luis Oliveira,L,0,Choke from back,Brasileiro,ABS,8F,2023
40141,13190,Vinicius Lessa,11746,Alex Munis,L,0,Pts: 2x0,Floripa FO,100KG,4F,2023
40155,13190,Vinicius Lessa,11423,Meyram Maquine,L,0,Pts: 4x0,Floripa FO,ABS,4F,2023
40332,13190,Vinicius Lessa,,Italo Lima,L,0,Triangle,World Champ.,94KG,R1,2023
40485,13190,Vinicius Lessa,10159,Victor Hugo,L,0,Choke,World Champ.,ABS,8F,2023
