match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
36688,13192,Carlos Henrique Campos,,Filipe Pimentel,L,0,Pts: 2x0,Waco Open,ABS,4F,2022
36703,13192,Carlos Henrique Campos,11512,Lukete Silva,L,0,Inside heel hook,Waco NGO,73KG,F,2022
36834,13192,Carlos Henrique Campos,8116,Dante Leon,L,0,Pts: 2x0,NoGi Worlds,73KG,F,2022
37847,13192,Carlos Henrique Campos,11878,Andy Murasaki,L,0,Choke from back,IBJJF GP,76KG,SF,2023
37849,13192,Carlos Henrique Campos,12897,Elijah Dorsey,L,0,Pts: 5x2,IBJJF GP,76KG,3RD,2023
38388,13192,Carlos Henrique Campos,11132,Leon Larman,L,0,"Pts: 0x0, Adv",Pan American,76KG,8F,2023
38998,13192,Carlos Henrique Campos,11512,Lukete Silva,L,0,Referee Decision,Nashville SPO,76KG,F,2023
39861,13192,Carlos Henrique Campos,9002,Matheus Gabriel,L,0,Points,Houston Open,76KG,SF,2023
39905,13192,Carlos Henrique Campos,5417,Guilherme Augusto,L,0,N/A,Houston Open,ABS,4F,2023
40249,13192,Carlos Henrique Campos,8351,Joao Neto,L,0,"Pts: 4x4, Adv",World Champ.,76KG,R1,2023
41133,13192,Carlos Henrique Campos,10953,Danilo Moreira,L,0,Pts: 2x0,American Nats,76KG,F,2023
41207,13192,Carlos Henrique Campos,11568,Josh Cisneros,L,0,"Pts: 0x0, Adv",American NNG,73KG,F,2023
41239,13192,Carlos Henrique Campos,12922,Elder Cruz,L,0,Pts: 2x0,American NNG,ABS,SF,2023
43109,13192,Carlos Henrique Campos,,Dominic Mejia,L,0,Pts: 3x0,Enigma Inv,70KG,4F,2023
36679,13192,Carlos Henrique Campos,10352,Leo Silva,W,1,Armbar,Waco Open,76KG,SF,2022
36680,13192,Carlos Henrique Campos,11015,Pablo Lavaselli,W,1,Pts: 4x2,Waco Open,76KG,F,2022
36685,13192,Carlos Henrique Campos,10352,Leo Silva,W,1,"Pts: 0x0, Adv",Waco Open,ABS,R1,2022
36701,13192,Carlos Henrique Campos,,Carlos Mejia,W,1,Guillotine,Waco NGO,73KG,SF,2022
36754,13192,Carlos Henrique Campos,,Clayton Mayfield,W,1,Leaf clover,NoGi Worlds,ABS,R1,2022
36821,13192,Carlos Henrique Campos,4115,Fabio Caloi,W,1,Pts: 2x0,NoGi Worlds,73KG,8F,2022
36831,13192,Carlos Henrique Campos,11248,Jonata Gomes,W,1,Pts: 2x0,NoGi Worlds,73KG,4F,2022
36833,13192,Carlos Henrique Campos,,Ellis Younger,W,1,Pts: 2x0,NoGi Worlds,73KG,SF,2022
38996,13192,Carlos Henrique Campos,,Yue Goh,W,1,Points,Nashville SPO,76KG,SF,2023
39008,13192,Carlos Henrique Campos,,Bernardo Delibero,W,1,Points,Nashville SPO,ABS,R1,2023
39010,13192,Carlos Henrique Campos,,Clay Mayfield,W,1,Points,Nashville SPO,ABS,4F,2023
39904,13192,Carlos Henrique Campos,13389,Youngseung Cho,W,1,Points,Houston Open,ABS,R1,2023
40079,13192,Carlos Henrique Campos,11512,Lukete Silva,W,1,Points,B Raton Open,76KG,F,2023
41204,13192,Carlos Henrique Campos,,Tomoshige Sera,W,1,Pts: 18x0,American NNG,73KG,4F,2023
41205,13192,Carlos Henrique Campos,,Angel Alvarez,W,1,Lateral kneebar,American NNG,73KG,SF,2023
41232,13192,Carlos Henrique Campos,,Joshua Bacallao,W,1,Pts: 7x0,American NNG,ABS,4F,2023
41994,13192,Carlos Henrique Campos,,Ben Eddy,W,1,Referee Decision,WNO 19,70KG,SPF,2023
43105,13192,Carlos Henrique Campos,,Alex West,W,1,Triangle,Enigma Inv,70KG,R1,2023
43234,13192,Carlos Henrique Campos,,Maximilian Hanson,W,1,Pts: 6x4,NoGi Pan,73KG,4F,2023
43235,13192,Carlos Henrique Campos,9094,Richar Nogueira,W,1,"Pts: 4x4, Adv",NoGi Pan,73KG,SF,2023
43237,13192,Carlos Henrique Campos,12918,Daniel Sathler,W,1,Pts: 2x0,NoGi Pan,73KG,F,2023
