match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
25368,13209,Welerson Goncalves,,Yago Rodrigues,L,0,Points,Rio Open NG,67KG,SF,2021
25873,13209,Welerson Goncalves,7657,Cleber Sousa,L,0,Armbar,S. American NG,61KG,F,2021
28027,13209,Welerson Goncalves,11212,Yuri Hendrex,L,0,Pts: 6x2,Brasileiro,57KG,F,2021
28460,13209,Welerson Goncalves,,Oziel Santos,L,0,Pts: 1x0,Grand Slam RJ,56KG,F,2021
30543,13209,Welerson Goncalves,10099,Thalison Soares,L,0,Choke from back,European Open,57KG,F,2022
31087,13209,Welerson Goncalves,6151,Hiago George,L,0,Points,Grand Slam LDN,62KG,4F,2022
31841,13209,Welerson Goncalves,,Rodrigo Otavio,L,0,Armbar,Rio Fall Open,57KG,F,2022
32136,13209,Welerson Goncalves,,Rodrigo Otavio,L,0,Pts: 2x0,Brasileiro,58KG,F,2022
33568,13209,Welerson Goncalves,13062,Leonardo Mario,L,0,Arm in Ezekiel,Betim Open,64KG,F,2022
33908,13209,Welerson Goncalves,12968,Zayed Alkatheeri,L,0,Pts: 6x5,Grand Slam RJ,56KG,SF,2022
33913,13209,Welerson Goncalves,,Jonas Vasconcelos,L,0,Pts: 2x2,Grand Slam RJ,56KG,3RD,2022
34270,13209,Welerson Goncalves,,Felipe Machado,L,0,Inside heel hook,Brasileiro NoGi,61KG,SF,2022
34481,13209,Welerson Goncalves,,Everton Souza,L,0,Choke from back,AJP SA Team,56KG,SF,2022
34488,13209,Welerson Goncalves,,Klaus Maine,D,0.5,---,AJP SA Team,56KG,3RD,2022
35361,13209,Welerson Goncalves,,Matheus Onda,L,0,Armbar,Rio BJJ Pro,70KG,4F,2022
36298,13209,Welerson Goncalves,12729,Nathannael Fernandes,L,0,Pts: 2x1,World Pro,56KG,SF,2022
37158,13209,Welerson Goncalves,10099,Thalison Soares,L,0,Cachecol choke,European Open,58KG,F,2023
38173,13209,Welerson Goncalves,12968,Zayed Alkatheeri,L,0,Pts: 3x3,AJPGD LDN,56KG,SF,2023
38178,13209,Welerson Goncalves,10293,Jonas Andrade,L,0,Pts: 3x2,AJPGD LDN,56KG,3RD,2023
39453,13209,Welerson Goncalves,6043,Lucas Pinheiro,L,0,Choke from back,Brasileiro,58KG,F,2023
40549,13209,Welerson Goncalves,11212,Yuri Hendrex,L,0,Pts: 7x2,Grand Slam RJ,62KG,R1,2023
43000,13209,Welerson Goncalves,,Felipe Machado,L,0,DQ,Brasileiro NoGi,61KG,F,2023
25871,13209,Welerson Goncalves,,Felipe Nacib,W,1,Points,S. American NG,61KG,SF,2021
27369,13209,Welerson Goncalves,,Italo Frota,W,1,Points,Sul Americano,57KG,SF,2021
27370,13209,Welerson Goncalves,,Oziel Santos,W,1,Pts: 6x4,Sul Americano,57KG,F,2021
28024,13209,Welerson Goncalves,,Oziel Santos,W,1,Points,Brasileiro,57KG,4F,2021
28025,13209,Welerson Goncalves,9541,Aniel Bonifacio,W,1,Pts: 12x10,Brasileiro,57KG,SF,2021
28456,13209,Welerson Goncalves,,Luciano Alex,W,1,Pts: 5x4,Grand Slam RJ,56KG,4F,2021
28458,13209,Welerson Goncalves,10293,Jonas Andrade,W,1,Pts: 6x4,Grand Slam RJ,56KG,SF,2021
30540,13209,Welerson Goncalves,,Marko Oikarainen,W,1,Choke from back,European Open,57KG,4F,2022
30542,13209,Welerson Goncalves,10293,Jonas Andrade,W,1,"Pts: 0x0, Adv",European Open,57KG,SF,2022
31840,13209,Welerson Goncalves,,Wesley Martins,W,1,Terra lock,Rio Fall Open,57KG,SF,2022
32134,13209,Welerson Goncalves,,Italo Frota,W,1,"Pts: 6x6, Adv",Brasileiro,58KG,SF,2022
33295,13209,Welerson Goncalves,,Oziel Santos,W,1,Points,Rio WO,58KG,F,2022
33566,13209,Welerson Goncalves,,Kaue Berger,W,1,Points,Betim Open,64KG,SF,2022
33905,13209,Welerson Goncalves,,David Souza,W,1,Pts: 6x3,Grand Slam RJ,56KG,4F,2022
33911,13209,Welerson Goncalves,,Nilson FIlho,W,1,Pts: 27x0,Grand Slam RJ,56KG,RPC,2022
34268,13209,Welerson Goncalves,,Jesse Araujo,W,1,"Pts: 0x0, Pen",Brasileiro NoGi,61KG,4F,2022
34432,13209,Welerson Goncalves,,Jorge Nakamura,W,1,Pts: 3x0,AJP SA Team,56KG,RR,2022
34439,13209,Welerson Goncalves,,Luca Menezes,W,1,Pts: 5x2,AJP SA Team,56KG,RR,2022
36225,13209,Welerson Goncalves,,Bruno Borges,W,1,Pts: 8x5,WP Qualifier,56KG,RR,2022
36226,13209,Welerson Goncalves,,Bruno Borges,W,1,Pts: 1x0,WP Qualifier,56KG,RR,2022
36296,13209,Welerson Goncalves,11212,Yuri Hendrex,W,1,Pts: 3x3,World Pro,56KG,4F,2022
36302,13209,Welerson Goncalves,,Jeison Mora,W,1,Toe hold,World Pro,56KG,RPC,2022
36303,13209,Welerson Goncalves,11212,Yuri Hendrex,W,1,Pts: 8x4,World Pro,56KG,3RD,2022
37157,13209,Welerson Goncalves,12848,Frank Cespedes,W,1,Pts: 8x4,European Open,58KG,SF,2023
38170,13209,Welerson Goncalves,,Josh Stolton,W,1,Pts: 2x0,AJPGD LDN,56KG,4F,2023
38177,13209,Welerson Goncalves,,Marko Oikarainen,W,1,Pts: 6x2,AJPGD LDN,56KG,RPC,2023
39450,13209,Welerson Goncalves,,Andre Vitor,W,1,Pts: 2x0,Brasileiro,58KG,4F,2023
39452,13209,Welerson Goncalves,,Rodrigo Otavio,W,1,Pts: 4x0,Brasileiro,58KG,SF,2023
41799,13209,Welerson Goncalves,,Kaique Maia,W,1,Points,Vitoria Open,64KG,SF,2023
41801,13209,Welerson Goncalves,,Anderson Oliveira,W,1,Points,Vitoria Open,64KG,F,2023
41877,13209,Welerson Goncalves,,Anderson Oliveira,W,1,Referee Decision,Vitoria NGO,67KG,SF,2023
41879,13209,Welerson Goncalves,,Diego Paiva,W,1,Pts: 4x0,Vitoria NGO,67KG,F,2023
42671,13209,Welerson Goncalves,,Jose Silva,W,1,Choke from back,Sul Americano,57KG,4F,2023
42676,13209,Welerson Goncalves,,Jardson Lima,W,1,Pts: 2x0,Sul Americano,57KG,SF,2023
42677,13209,Welerson Goncalves,,Oziel Santos,W,1,Referee Decision,Sul Americano,57KG,F,2023
42996,13209,Welerson Goncalves,,Alejandro Gallardo,W,1,Pts: 20x0,Brasileiro NoGi,61KG,4F,2023
42999,13209,Welerson Goncalves,,Valor Ulysses,W,1,Pts: 2x0,Brasileiro NoGi,61KG,SF,2023
