match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1537,1322,Gregor Gracie,898,Bill Cooper,L,0,Pts: 8x6,GQ All Star Pro,81KG,F,2006
1584,1322,Gregor Gracie,16,Marcelo Garcia,L,0,North south choke,Grapplers Quest,ABS,F,2007
2021,1322,Gregor Gracie,481,Saulo Ribeiro,L,0,Pts: 3x0,NoGi Worlds,88KG,F,2008
2254,1322,Gregor Gracie,919,Pablo Popovitch,L,0,Pts: 3x0,ADCC,77KG,SF,2009
2349,1322,Gregor Gracie,477,Tarsis Humphreys,L,0,Pts: 2x0,World Champ.,88KG,4F,2009
5195,1322,Gregor Gracie,2226,DJ Jackson,L,0,Pts: 2x0,Boston W. Open,82KG,F,2013
5597,1322,Gregor Gracie,1188,Leandro Lo,L,0,Pts: 8x2,Copa Podio,77KG,GP,2014
5606,1322,Gregor Gracie,1188,Leandro Lo,L,0,Armbar,Copa Podio,77KG,F,2014
6199,1322,Gregor Gracie,2416,Felipe Pena,L,0,Pts: 10x0,Copa Podio,85KG,GP,2014
6212,1322,Gregor Gracie,3122,Luiz Panza,L,0,Botinha,Copa Podio,85KG,SF,2014
8257,1322,Gregor Gracie,6156,Tanner Rice,L,0,Referee Decision,Grand Slam LA,85KG,4F,2015
9474,1322,Gregor Gracie,484,Murilo Santana,L,0,Triangle,NY Spring Open,88KG,F,2016
9503,1322,Gregor Gracie,4235,Victor Silverio,L,0,Referee Decision,Boston Spring O.,ABS,F,2016
9889,1322,Gregor Gracie,4859,Ricardo Rezende,L,0,Americana,Miami SPO,88KG,SF,2016
10022,1322,Gregor Gracie,6156,Tanner Rice,L,0,"Pts: 4x4, Adv",World Champ.,88KG,R1,2016
13166,1322,Gregor Gracie,2235,Renato Cardoso,L,0,Submission,World Champ.,88KG,8F,2017
13416,1322,Gregor Gracie,6354,Jonathan Satava,L,0,Points,NY Summer Open,88KG,SF,2017
16913,1322,Gregor Gracie,446,Gilbert Burns,L,0,Injury,Polaris 7,88KG,SPF,2018
17738,1322,Gregor Gracie,4996,Geo Martinez,L,0,Kimura,Quintet 3,ABS,SF,2018
17748,1322,Gregor Gracie,6550,Gordon Ryan,D,0.5,---,Quintet 3,ABS,F,2018
19189,1322,Gregor Gracie,,Pedro Palhares,L,0,Triangle,Atlanta WO,88KG,SF,2019
23926,1322,Gregor Gracie,7552,Isaque Bahiense,L,0,Guillotine,BJJ Bet,85KG,SPF,2020
42513,1322,Gregor Gracie,8346,Craig Jones,D,0.5,---,Quintet 4,ABS,NA,2023
1533,1322,Gregor Gracie,,Jean Rotondaro,W,1,Kimura,GQ All Star Pro,81KG,4F,2006
1535,1322,Gregor Gracie,,Jay Hayes,W,1,Arm in guillotine,GQ All Star Pro,81KG,SF,2006
1581,1322,Gregor Gracie,6403,Leo Dalla,W,1,Points,Grapplers Quest,ABS,SF,2007
2018,1322,Gregor Gracie,,Unknown,W,1,Katagatame,NoGi Worlds,88KG,4F,2008
2019,1322,Gregor Gracie,,Marcello Salazar,W,1,DQ,NoGi Worlds,88KG,SF,2008
2179,1322,Gregor Gracie,,Jason Ebarb,W,1,Collar choke,Pan American,88KG,4F,2009
2246,1322,Gregor Gracie,484,Murilo Santana,W,1,Pts: 3x0,ADCC,77KG,R1,2009
