match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
27152,13245,Adam Wardzinski,11754,Victor Nithael,L,0,Pts: 2x0,Copa Podio,70KG,RR,2021
27156,13245,Adam Wardzinski,,Julio Arantes,L,0,Pts: 2x0,Copa Podio,70KG,RR,2021
29701,13245,Adam Wardzinski,6599,Rafael Mansur,L,0,Pts: 7x2,Teams Cup,N/A,RR,2021
31115,13245,Adam Wardzinski,12348,Lucas Protasio,L,0,Pts: 9x2,Grand Slam LDN,77KG,F,2022
34599,13245,Adam Wardzinski,8884,Alex Sodre,L,0,Pts: 1x1,Grand Slam MIA,69KG,4F,2022
34609,13245,Adam Wardzinski,8884,Alex Sodre,L,0,Pts: 6x5,Grand Slam MIA,69KG,3RD,2022
36235,13245,Adam Wardzinski,11963,Diego Sodre,L,0,Pts: 1x0,WP Qualifier,69KG,RR,2022
37175,13245,Adam Wardzinski,8884,Alex Sodre,L,0,Pts: 13x10,European Open,70KG,R1,2023
38390,13245,Adam Wardzinski,10085,Johnatha Alves,L,0,Hashimoto choke,Pan American,76KG,8F,2023
39490,13245,Adam Wardzinski,10216,Natan Chueng,L,0,Pts: 8x2,Brasileiro,76KG,SF,2023
40119,13245,Adam Wardzinski,13458,Leandro Rounaud,L,0,Pts: 14x0,Floripa FO,76KG,F,2023
42880,13245,Adam Wardzinski,10408,Israel Sousa,L,0,Choke from back,ADGS Miami,69KG,SF,2023
27148,13245,Adam Wardzinski,,Patrick Possamai,D,0.5,---,Copa Podio,70KG,RR,2021
27159,13245,Adam Wardzinski,,Oziel Santos,W,1,Armbar,Copa Podio,70KG,RR,2021
29722,13245,Adam Wardzinski,11823,Diogo Reis,W,1,Pts: 5x4,Teams Cup,N/A,RR,2021
30751,13245,Adam Wardzinski,,Wojciech Kois,W,1,Pts: 6x0,Amsterdam Pro,85KG,4F,2022
30752,13245,Adam Wardzinski,,Ahmed Laaribi,W,1,Pts: 6x2,Amsterdam Pro,85KG,SF,2022
30753,13245,Adam Wardzinski,,Remo Corstjen,W,1,Pts: 1x0,Amsterdam Pro,85KG,F,2022
31105,13245,Adam Wardzinski,,Ellis Younger,W,1,Pts: 4x2,Grand Slam LDN,77KG,R1,2022
31110,13245,Adam Wardzinski,,Adrian Sozisz,W,1,Referee Decision,Grand Slam LDN,77KG,4F,2022
31113,13245,Adam Wardzinski,10216,Natan Chueng,W,1,Pts: 3x2,Grand Slam LDN,77KG,SF,2022
32361,13245,Adam Wardzinski,,Adriano Araujo,W,1,Referee Decision,Grand Slam AD,77KG,4F,2022
32363,13245,Adam Wardzinski,,Jonatham Silva,W,1,Pts: 9x0,Grand Slam AD,77KG,SF,2022
32364,13245,Adam Wardzinski,,Andre Cantanhede,W,1,Pts: 3x2,Grand Slam AD,77KG,F,2022
34507,13245,Adam Wardzinski,,Bruno Gambim,W,1,Armbar,Balneario Pro,77KG,F,2022
34593,13245,Adam Wardzinski,6368,Kevin Mahecha,W,1,Pts: 6x4,Grand Slam MIA,69KG,R1,2022
34605,13245,Adam Wardzinski,10953,Danilo Moreira,W,1,Pts: 3x0,Grand Slam MIA,69KG,RPC,2022
34607,13245,Adam Wardzinski,11015,Pablo Lavaselli,W,1,Botinha,Grand Slam MIA,69KG,RPC,2022
36233,13245,Adam Wardzinski,,Gustavo Oliveira,W,1,Botinha,WP Qualifier,69KG,RR,2022
36237,13245,Adam Wardzinski,,Mario Silva,W,1,Submission,WP Qualifier,69KG,RR,2022
36725,13245,Adam Wardzinski,,Vinko Roditi,W,1,Armbar,Dublin Open,76KG,4F,2022
36726,13245,Adam Wardzinski,,Krysztof Flak,W,1,Choke from back,Dublin Open,76KG,SF,2022
36728,13245,Adam Wardzinski,,Tyrone Elliott,W,1,Armbar,Dublin Open,76KG,F,2022
36738,13245,Adam Wardzinski,,Benjamin Robson,W,1,Botinha,Dublin Open,ABS,R1,2022
38385,13245,Adam Wardzinski,7664,Johnny Tama,W,1,Choke from back,Pan American,76KG,R1,2023
39481,13245,Adam Wardzinski,,Luiz Santos,W,1,Pts: 10x2,Brasileiro,76KG,8F,2023
39488,13245,Adam Wardzinski,9956,Vinicius Pereira,W,1,"Pts: 4x4, Adv",Brasileiro,76KG,4F,2023
40113,13245,Adam Wardzinski,,Murilo Silva,W,1,Armbar,Floripa FO,76KG,4F,2023
40118,13245,Adam Wardzinski,,Marlus Salgado,W,1,Pts: 10x0,Floripa FO,76KG,SF,2023
42873,13245,Adam Wardzinski,,JP Rocha,W,1,Pts: 5x0,ADGS Miami,69KG,8F,2023
42878,13245,Adam Wardzinski,,Isaias Higino,W,1,RNC,ADGS Miami,69KG,4F,2023
