match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
36384,13417,Vinicius Liberati,12346,Catriel Oliveira,L,0,Points,World Pro,94KG,4F,2022
37151,13417,Vinicius Liberati,8974,Kaynan Duarte,L,0,Short choke,European Open,ABS,4F,2023
37243,13417,Vinicius Liberati,10130,Marcus Ribeiro,L,0,Choke from back,European Open,100KG,4F,2023
38969,13417,Vinicius Liberati,8974,Kaynan Duarte,L,0,Choke from back,BJJ Stars,ABS,R1,2023
39526,13417,Vinicius Liberati,,Davi Souza,L,0,Pts: 2x0,Brasileiro,100KG,R1,2023
40659,13417,Vinicius Liberati,,Marcos Carrozzino,L,0,Pts: 1x0,Grand Slam RJ,94KG,F,2023
40952,13417,Vinicius Liberati,,Leandro Carlos,L,0,Pts: 2x0,Brasileiro CBJJE,94KG,SF,2023
36018,13417,Vinicius Liberati,,Henrique Cabral,W,1,Points,Rome Open,100KG,4F,2022
36019,13417,Vinicius Liberati,,Harry Loseby,W,1,Points,Rome Open,100KG,SF,2022
36020,13417,Vinicius Liberati,,Julian Stonjek,W,1,Katagatame,Rome Open,100KG,F,2022
36258,13417,Vinicius Liberati,,Igor Sousa,W,1,Points,WP Qualifier,94KG,4F,2022
36261,13417,Vinicius Liberati,,Matheus Marques,W,1,Pts: 10x3,WP Qualifier,94KG,SF,2022
36263,13417,Vinicius Liberati,2235,Renato Cardoso,W,1,Pts: 2x1,WP Qualifier,94KG,F,2022
36390,13417,Vinicius Liberati,,Basel Fanous,W,1,Pts: 13x0,World Pro,94KG,RPC,2022
36391,13417,Vinicius Liberati,,Anton Minenko,W,1,Pts: 5x3,World Pro,94KG,RPC,2022
36392,13417,Vinicius Liberati,,Javier Barter,W,1,Pts: 6x2,World Pro,94KG,RPC,2022
36393,13417,Vinicius Liberati,,Antonio Caiate,W,1,Pts: 8x0,World Pro,94KG,3RD,2022
37135,13417,Vinicius Liberati,12654,Tarik Hopstock,W,1,"Pts: 0x0, Adv",European Open,ABS,R1,2023
37241,13417,Vinicius Liberati,13190,Vinicius Lessa,W,1,Pts: 5x0,European Open,100KG,R1,2023
38963,13417,Vinicius Liberati,,Cleyton Flores,W,1,"Pts: 0x0, Adv",BJJS Confere,ABS,4F,2023
38965,13417,Vinicius Liberati,,Herico Hesley,W,1,Referee Decision,BJJS Confere,ABS,SF,2023
38966,13417,Vinicius Liberati,13392,Gabriel Volante,W,1,Referee Decision,BJJS Confere,ABS,F,2023
40643,13417,Vinicius Liberati,,Gabriel Antunes,W,1,Pts: 6x1,Grand Slam RJ,94KG,R1,2023
40645,13417,Vinicius Liberati,,Igor Sousa,W,1,Pts: 7x6,Grand Slam RJ,94KG,8F,2023
40653,13417,Vinicius Liberati,,Davi Souza,W,1,Pts: 3x1,Grand Slam RJ,94KG,4F,2023
40658,13417,Vinicius Liberati,,Javier Barter,W,1,Pts: 3x1,Grand Slam RJ,94KG,SF,2023
42047,13417,Vinicius Liberati,,Juares Santos,W,1,Ezekiel,Floripa WO,O100KG,SF,2023
42050,13417,Vinicius Liberati,,Leonardo Brocca,W,1,Pts: 5x0,Floripa WO,ABS,R1,2023
42057,13417,Vinicius Liberati,,Elionai Braz,W,1,Pts: 2x0,Floripa WO,ABS,4F,2023
42059,13417,Vinicius Liberati,13450,Vinicius Martins,W,1,Katagatame,Floripa WO,ABS,SF,2023
42758,13417,Vinicius Liberati,,Lucas Lopes,W,1,Choke from back,Sul Americano,94KG,R1,2023
42765,13417,Vinicius Liberati,9573,Marcos Martins,W,1,Pts: 2x0,Sul Americano,94KG,4F,2023
42767,13417,Vinicius Liberati,9117,Hygor Brito,W,1,Pts: 4x2,Sul Americano,94KG,F,2023
